LineNo,TimeUS,Id,Pri,Total,Free,Name
7020,1.6436e+09,12,60,656,256,0
17741,1.6462e+09,12,60,656,256,0
28042,1.6486e+09,12,60,656,256,0
38579,1.6511e+09,12,60,656,256,0
49187,1.6537e+09,12,60,656,256,0
59475,1.6563e+09,12,60,656,256,0
70029,1.6589e+09,12,60,656,256,0
80118,1.6614e+09,12,60,656,256,0
90582,1.664e+09,12,60,656,256,0
1.0102e+05,1.6666e+09,12,60,656,256,0
1.1132e+05,1.6691e+09,12,60,656,256,0
1.2176e+05,1.6717e+09,12,60,656,256,0
1.3217e+05,1.6742e+09,12,60,656,256,0
1.4266e+05,1.6768e+09,12,60,656,256,0
1.5314e+05,1.6794e+09,12,60,656,256,0
1.6344e+05,1.682e+09,12,60,656,256,0
1.7344e+05,1.6844e+09,12,60,656,256,0
1.8402e+05,1.6871e+09,12,60,656,256,0
1.9417e+05,1.6896e+09,12,60,656,256,0
2.0422e+05,1.6921e+09,12,60,656,256,0
2.1448e+05,1.6946e+09,12,60,656,256,0
2.2448e+05,1.6971e+09,12,60,656,256,0
2.3501e+05,1.6997e+09,12,60,656,256,0
2.4552e+05,1.7024e+09,12,60,656,256,0
2.5605e+05,1.705e+09,12,60,656,256,0
2.66e+05,1.7074e+09,12,60,656,256,0
2.7612e+05,1.71e+09,12,60,656,256,0
2.8668e+05,1.7126e+09,12,60,656,256,0
2.9715e+05,1.7152e+09,12,60,656,256,0
3.0769e+05,1.7178e+09,12,60,656,256,0
3.1763e+05,1.7203e+09,12,60,656,256,0
3.2796e+05,1.7228e+09,12,60,656,256,0
3.3807e+05,1.7253e+09,12,60,656,256,0
3.483e+05,1.7279e+09,12,60,656,256,0
3.587e+05,1.7305e+09,12,60,656,256,0
3.6897e+05,1.733e+09,12,60,656,256,0
3.7904e+05,1.7355e+09,12,60,656,256,0
3.8961e+05,1.7382e+09,12,60,656,256,0
4.0006e+05,1.7407e+09,12,60,656,256,0
4.1024e+05,1.7432e+09,12,60,656,256,0
4.2103e+05,1.7459e+09,12,60,656,256,0
4.311e+05,1.7484e+09,12,60,656,256,0
4.4149e+05,1.751e+09,12,60,656,256,0
4.5187e+05,1.7535e+09,12,60,656,256,0
4.6208e+05,1.756e+09,12,60,656,256,0
4.7228e+05,1.7584e+09,12,60,656,256,0
4.8235e+05,1.7609e+09,12,60,656,256,0
4.9331e+05,1.7635e+09,12,60,656,256,0
5.038e+05,1.766e+09,12,60,656,256,0
5.1433e+05,1.7685e+09,12,60,656,256,0
5.2478e+05,1.771e+09,12,60,656,256,0
5.3516e+05,1.7735e+09,12,60,656,256,0
5.4552e+05,1.776e+09,12,60,656,256,0
