LineNo,TimeUS,C15,C16,C17,C18
321,1.6419e+09,0,0,0,0
549,1.6419e+09,0,0,0,0
1003,1.642e+09,0,0,0,0
1117,1.6421e+09,0,0,0,0
1224,1.6422e+09,0,0,0,0
1335,1.6422e+09,0,0,0,0
1514,1.6423e+09,0,0,0,0
1696,1.6423e+09,0,0,0,0
1740,1.6423e+09,0,0,0,0
1785,1.6423e+09,0,0,0,0
1829,1.6423e+09,0,0,0,0
1874,1.6423e+09,0,0,0,0
1921,1.6424e+09,0,0,0,0
1964,1.6424e+09,0,0,0,0
2006,1.6424e+09,0,0,0,0
2054,1.6424e+09,0,0,0,0
2097,1.6424e+09,0,0,0,0
2139,1.6424e+09,0,0,0,0
2185,1.6424e+09,0,0,0,0
2229,1.6424e+09,0,0,0,0
2271,1.6425e+09,0,0,0,0
2315,1.6425e+09,0,0,0,0
2357,1.6425e+09,0,0,0,0
2400,1.6425e+09,0,0,0,0
2443,1.6425e+09,0,0,0,0
2489,1.6425e+09,0,0,0,0
2533,1.6425e+09,0,0,0,0
2575,1.6425e+09,0,0,0,0
2618,1.6425e+09,0,0,0,0
2663,1.6425e+09,0,0,0,0
2711,1.6426e+09,0,0,0,0
2756,1.6426e+09,0,0,0,0
2801,1.6426e+09,0,0,0,0
2846,1.6426e+09,0,0,0,0
2895,1.6426e+09,0,0,0,0
2939,1.6426e+09,0,0,0,0
2986,1.6426e+09,0,0,0,0
3030,1.6426e+09,0,0,0,0
3075,1.6426e+09,0,0,0,0
3119,1.6427e+09,0,0,0,0
3164,1.6427e+09,0,0,0,0
3209,1.6427e+09,0,0,0,0
3253,1.6427e+09,0,0,0,0
3300,1.6427e+09,0,0,0,0
3350,1.6427e+09,0,0,0,0
3396,1.6427e+09,0,0,0,0
3440,1.6427e+09,0,0,0,0
3485,1.6427e+09,0,0,0,0
3530,1.6427e+09,0,0,0,0
3577,1.6428e+09,0,0,0,0
3619,1.6428e+09,0,0,0,0
3663,1.6428e+09,0,0,0,0
3709,1.6428e+09,0,0,0,0
3754,1.6428e+09,0,0,0,0
3802,1.6428e+09,0,0,0,0
3847,1.6428e+09,0,0,0,0
3891,1.6428e+09,0,0,0,0
3936,1.6428e+09,0,0,0,0
3981,1.6429e+09,0,0,0,0
4025,1.6429e+09,0,0,0,0
4070,1.6429e+09,0,0,0,0
4114,1.6429e+09,0,0,0,0
4159,1.6429e+09,0,0,0,0
4204,1.6429e+09,0,0,0,0
4253,1.6429e+09,0,0,0,0
4298,1.6429e+09,0,0,0,0
4342,1.6429e+09,0,0,0,0
4385,1.6429e+09,0,0,0,0
4427,1.643e+09,0,0,0,0
4470,1.643e+09,0,0,0,0
4514,1.643e+09,0,0,0,0
4556,1.643e+09,0,0,0,0
4599,1.643e+09,0,0,0,0
4641,1.643e+09,0,0,0,0
4690,1.643e+09,0,0,0,0
4733,1.643e+09,0,0,0,0
4776,1.643e+09,0,0,0,0
4819,1.6431e+09,0,0,0,0
4861,1.6431e+09,0,0,0,0
4904,1.6431e+09,0,0,0,0
4947,1.6431e+09,0,0,0,0
4990,1.6431e+09,0,0,0,0
5033,1.6431e+09,0,0,0,0
5076,1.6431e+09,0,0,0,0
5123,1.6431e+09,0,0,0,0
