LineNo,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
306,1.6419e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
534,1.6419e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
986,1.642e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1100,1.6421e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1207,1.6422e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1318,1.6422e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1497,1.6423e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1679,1.6423e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1723,1.6423e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1768,1.6423e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1812,1.6423e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1857,1.6423e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1904,1.6424e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1949,1.6424e+09,0,0.14,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
1991,1.6424e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2039,1.6424e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2082,1.6424e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2124,1.6424e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2170,1.6424e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2214,1.6424e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2256,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2300,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2342,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2385,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2428,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2474,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2518,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2560,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2603,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2648,1.6425e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2694,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2739,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2784,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2829,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2878,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2922,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
2969,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3013,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3058,1.6426e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3102,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3147,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3192,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3236,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3283,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3333,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3379,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3423,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3468,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3513,1.6427e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3560,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3602,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3646,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3690,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3737,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3785,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3830,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3874,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3919,1.6428e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
3964,1.6429e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4008,1.6429e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4053,1.6429e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4097,1.6429e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4142,1.6429e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4187,1.6429e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4236,1.6429e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4281,1.6429e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4325,1.6429e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4370,1.6429e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4412,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4455,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4499,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4541,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4584,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4626,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4675,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4718,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4761,1.643e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4804,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4846,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4889,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4932,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
4975,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5018,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5061,1.6431e+09,0,0.15,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5108,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5151,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5194,1.6431e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5232,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5276,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5321,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5365,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5410,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5454,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5499,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5548,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5593,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5637,1.6432e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5682,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5727,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5771,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5817,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5864,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5909,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
5953,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6003,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6047,1.6433e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6090,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6134,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6179,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6226,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6271,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6315,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6360,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
6407,1.6434e+09,0,0.16,0.01,0.04,0,0,200,12,352,0,0,0,0,0,0
