LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
2.8547e+05,1.7123e+09,2,32,-208,477,-399,44,42,0,0,0,1,1.7123e+09
2.8588e+05,1.7124e+09,2,38,-190,461,-399,44,42,0,0,0,1,1.7124e+09
2.8633e+05,1.7125e+09,2,47,-196,463,-399,44,42,0,0,0,1,1.7125e+09
2.8677e+05,1.7126e+09,2,37,-210,475,-399,44,42,0,0,0,1,1.7126e+09
2.8718e+05,1.7127e+09,2,50,-192,458,-399,44,42,0,0,0,1,1.7127e+09
2.8763e+05,1.7128e+09,2,46,-166,462,-399,44,42,0,0,0,1,1.7128e+09
2.8807e+05,1.7129e+09,2,53,-141,460,-399,44,42,0,0,0,1,1.7129e+09
2.8852e+05,1.713e+09,2,62,-110,459,-399,44,42,0,0,0,1,1.713e+09
2.8896e+05,1.7131e+09,2,86,-82,459,-399,44,42,0,0,0,1,1.7131e+09
2.894e+05,1.7132e+09,2,10,-36,452,-399,44,42,0,0,0,1,1.7132e+09
2.8985e+05,1.7134e+09,2,43,-13,446,-399,44,42,0,0,0,1,1.7134e+09
2.9026e+05,1.7135e+09,2,49,-20,448,-399,44,42,0,0,0,1,1.7135e+09
2.907e+05,1.7136e+09,2,48,-40,460,-399,44,42,0,0,0,1,1.7136e+09
2.9112e+05,1.7137e+09,2,37,-59,473,-399,44,42,0,0,0,1,1.7137e+09
2.9155e+05,1.7138e+09,2,47,-61,464,-399,44,42,0,0,0,1,1.7138e+09
2.9199e+05,1.7139e+09,2,42,-83,469,-399,44,42,0,0,0,1,1.7139e+09
2.9241e+05,1.714e+09,2,46,-130,474,-399,44,42,0,0,0,1,1.714e+09
2.9285e+05,1.7141e+09,2,34,-159,467,-399,44,42,0,0,0,1,1.7141e+09
2.9329e+05,1.7142e+09,2,40,-177,470,-399,44,42,0,0,0,1,1.7142e+09
2.9373e+05,1.7143e+09,2,39,-190,476,-399,44,42,0,0,0,1,1.7143e+09
2.9418e+05,1.7144e+09,2,25,-196,475,-399,44,42,0,0,0,1,1.7144e+09
2.9459e+05,1.7145e+09,2,25,-188,471,-399,44,42,0,0,0,1,1.7145e+09
2.9503e+05,1.7147e+09,2,38,-162,464,-399,44,42,0,0,0,1,1.7147e+09
