LineNo,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc
314,1.6419e+09,1,0,-0.02,0.02,0.18,0.07,0,0,0,0,1.44,0,0.0059661,0.00053977
542,1.6419e+09,1,0,-0.02,0.02,0.18,0.07,0,0,0,0,1.44,0,0.0059694,0.00053977
996,1.642e+09,1,0.01,-0.03,0,0.18,0.07,0.14,0,0,0,2.21,0,0.0060588,0.00057936
1110,1.6421e+09,1,0.01,-0.03,0,0.18,0.07,0.14,0,0,0,2.21,0,0.0060853,0.00057936
1217,1.6422e+09,1,0.01,-0.03,0,0.18,0.07,0.14,0,0,0,2.21,0,0.0061316,0.00057936
1328,1.6422e+09,1,0,-0.02,0.05,0.18,0.07,0.14,0,0,0,2.21,0,0.0061316,0.00071092
1507,1.6423e+09,1,0,-0.02,0.05,0.18,0.07,0.09,0,0,0,1.03,0,0.0061316,0.00071092
1689,1.6423e+09,1,0,-0.02,0.05,0.18,0.07,0.09,0,0,0,1.03,0,0.0061316,0.00071092
1733,1.6423e+09,1,0,-0.02,0.05,0.18,0.07,0.09,0,0,0,1.03,0,0.0061316,0.00071092
1778,1.6423e+09,1,0,-0.02,0.05,0.18,0.07,0.09,0,0,0,1.03,0,0.0061316,0.00071092
1822,1.6423e+09,1,0,-0.02,0.05,0.18,0.07,0.09,0,0,0,1.03,0,0.0061316,0.00071092
1867,1.6423e+09,1,0,-0.02,0.05,0.18,0.07,0.03,0,0,0,2.61,0,0.0061316,0.00071092
1914,1.6424e+09,1,0,-0.02,0.05,0.18,0.07,0.03,0,0,0,2.61,0,0.0061316,0.00071092
1957,1.6424e+09,1,0.01,-0.03,-0.34,0.18,0.06,0.03,0,0,0,2.61,0,0.0061316,0.0085848
1999,1.6424e+09,1,0.01,-0.03,-0.34,0.18,0.06,0.03,0,0,0,2.61,0,0.0061316,0.0085848
2047,1.6424e+09,1,0.01,-0.03,-0.34,0.18,0.06,0.03,0,0,0,2.61,0,0.0061316,0.0085848
2090,1.6424e+09,1,0.01,-0.03,-0.34,0.18,0.06,0.03,0,0,0,2.61,0,0.0061316,0.0085848
2132,1.6424e+09,1,0.01,-0.03,-0.34,0.18,0.06,0.03,0,0,0,2.61,0,0.0061316,0.0085848
2178,1.6424e+09,1,0.01,-0.03,-0.34,0.18,0.06,0.03,0,0,0,2.61,0,0.0061316,0.0085848
2222,1.6424e+09,1,0.01,-0.03,-0.34,0.18,0.06,0.03,0,0,0,2.61,0,0.0061316,0.0085848
2264,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2308,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2350,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2393,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2436,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2482,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2526,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2568,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2611,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.3,0,0,0,3.86,0,0.0061316,0.0085848
2656,1.6425e+09,1,0.01,-0.03,-0.34,0.18,0.06,-0.12,0,0,0,3.86,0,0.0061316,0.0085848
2704,1.6426e+09,1,-0.01,-0.03,-0.29,0.19,0.07,-0.12,0,0,0,2.01,0,0.0083111,0.0062953
2749,1.6426e+09,1,-0.01,-0.03,-0.29,0.19,0.07,-0.12,0,0,0,2.01,0,0.0083111,0.0062953
2794,1.6426e+09,1,-0.01,-0.03,-0.29,0.19,0.07,-0.12,0,0,0,2.01,0,0.0083111,0.0062953
2839,1.6426e+09,1,-0.01,-0.03,-0.29,0.19,0.07,-0.12,0,0,0,2.01,0,0.0083111,0.0062953
2888,1.6426e+09,1,-0.01,-0.03,-0.29,0.19,0.07,-0.12,0,0,0,2.01,0,0.0083111,0.0062953
