LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
5644,1.6432e+09,1,0,0,0,0,0,0,0,0,0,0
5689,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
5734,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
5778,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
5826,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
5871,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
5916,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
5960,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
6010,1.6433e+09,1,0,0,0,0,0,0,0,0,0,0
6054,1.6433e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6097,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6141,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6186,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6233,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6278,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6322,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6367,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6414,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6461,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6505,1.6434e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6549,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6597,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6641,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6686,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6731,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6776,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6821,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6869,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
6916,1.6435e+09,1,-1.2023,0.60062,1.5735,0.37189,-1.3437,-1.0472,-1.4843,0.095248,1.5087,0.80262
7750,1.6437e+09,1,0,0,0,0,0,0,0,0,0,0
7792,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
7838,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
7885,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
7930,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
7974,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
8019,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
8063,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
8108,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
8158,1.6438e+09,1,0,0,0,0,0,0,0,0,0,0
8202,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8248,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8292,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8338,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8382,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8427,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8472,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8517,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8562,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8610,1.6439e+09,1,0,0,0,0,0,0,0,0,0,0
8654,1.644e+09,1,0,0,0,0,0,0,0,0,0,0
8695,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
8740,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
8786,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
8827,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
8873,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
8917,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
8961,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9007,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9055,1.644e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9101,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9145,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9190,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9234,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
