LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
302,1.6419e+09,0,0.01,0.02,0,0,0,0.0059314,-0.04188,0.18728,0,48,1.1347e+05,0,0
530,1.6419e+09,0,0.01,0.02,0,0,0,0.0059664,-0.04188,0.18728,0,48,1.1347e+05,0,0
982,1.642e+09,0,0.01,0.02,0,0.01,0,0.0059127,-0.04188,0.18728,0,48,1.1347e+05,0,0
1096,1.6421e+09,0,0.01,0.02,0,0.01,0,0.0059346,-0.04188,0.18728,0,48,1.1347e+05,0,0
1203,1.6422e+09,0,0.02,0.02,0,0.01,0,0.0059794,-0.04188,0.18728,0,48,1.0938e+05,0,0
1314,1.6422e+09,0,0.02,0.02,0,0.01,0,0.0058571,-0.04188,0.18728,0,48,1.0938e+05,0,0
1493,1.6423e+09,0,0.02,0.02,0,0,0,0.0059324,-0.04188,0.18728,0,48,1.0938e+05,0,0
1675,1.6423e+09,0,0.02,0.02,0,0,0,0.0059606,-0.04188,0.18728,0,48,1.0938e+05,0,0
1719,1.6423e+09,0,0.02,0.02,0,0,0,0.0059923,-0.04188,0.18728,0,48,1.0938e+05,0,0
1764,1.6423e+09,0,0.02,0.02,0,0,0,0.0059923,-0.04188,0.18728,0,48,1.0938e+05,0,0
1808,1.6423e+09,0,0.02,0.02,0,0,0,0.0060009,-0.04188,0.18728,0,48,1.0938e+05,0,0
1853,1.6423e+09,0,0.02,0.02,0,0.01,0,0.0060282,-0.04188,0.18728,0,48,1.0938e+05,0,0
1900,1.6424e+09,0,0.02,0.02,0,0.01,0,0.0060372,-0.04188,0.18728,0,48,1.0938e+05,0,0
1945,1.6424e+09,0,0.12,0.03,0,0.01,0,0.0060456,-0.04188,0.18728,0,48,1.0938e+05,0,0
1987,1.6424e+09,0,0.12,0.03,0,0.01,0,0.0059085,-0.04188,0.18728,0,48,1.0938e+05,0,0
2035,1.6424e+09,0,0.12,0.03,0,0.01,0,0.0059178,-0.04188,0.18728,0,48,1.0938e+05,0,0
2078,1.6424e+09,0,0.12,0.03,0,0.01,0,0.0059271,-0.04188,0.18728,0,48,1.0938e+05,0,0
2120,1.6424e+09,0,0.12,0.03,0,0.01,0,0.0059374,-0.04188,0.18728,0,48,1.0938e+05,0,0
2166,1.6424e+09,0,0.12,0.03,0.01,0.02,0,0.0059476,-0.04188,0.18728,0,48,1.0938e+05,0,0
2210,1.6424e+09,0,0.12,0.03,0.01,0.02,0,0.0059574,-0.04188,0.18728,0,48,1.0938e+05,0,0
2252,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.0059676,-0.04188,0.18728,0,48,1.0938e+05,0,0
2296,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.0059676,-0.04188,0.18728,0,48,1.0938e+05,0,0
2338,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.0059779,-0.04188,0.18728,0,48,1.0938e+05,0,0
2381,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.0059863,-0.04188,0.18728,0,48,1.0938e+05,0,0
2424,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.0059967,-0.04188,0.18728,0,48,1.0938e+05,0,0
2470,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.006007,-0.04188,0.18728,0,48,1.0938e+05,0,0
2514,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.006007,-0.04188,0.18728,0,48,1.0938e+05,0,0
2556,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.0060155,-0.04188,0.18728,0,48,1.0938e+05,0,0
2599,1.6425e+09,0,0.12,0.03,0.01,0.02,0,0.0060236,-0.04188,0.18728,0,48,1.0938e+05,0,0
2644,1.6425e+09,0,0.12,0.03,0,0,0,0.0060335,-0.04188,0.18728,0,48,1.0938e+05,0,0
2690,1.6426e+09,0,0.1,0.03,0,0,0,0.0060416,-0.04188,0.18728,0,48,1.0938e+05,0,0
2735,1.6426e+09,0,0.1,0.03,0,0,0,0.005912,-0.04188,0.18728,0,48,1.0938e+05,0,0
2780,1.6426e+09,0,0.1,0.03,0,0,0,0.0059222,-0.04188,0.18728,0,48,1.0938e+05,0,0
2825,1.6426e+09,0,0.1,0.03,0,0,0,0.0059325,-0.04188,0.18728,0,48,1.0938e+05,0,0
2874,1.6426e+09,0,0.1,0.03,0,0,0,0.0059427,-0.04188,0.18728,0,48,1.0938e+05,0,0
2918,1.6426e+09,0,0.1,0.03,0,0,0,0.005953,-0.04188,0.18728,0,48,1.0938e+05,0,0
2965,1.6426e+09,0,0.1,0.03,0,0,0,0.0059622,-0.04188,0.18728,0,48,1.0938e+05,0,0
3009,1.6426e+09,0,0.1,0.03,0,0,0,0.0059622,-0.04188,0.18728,0,48,1.0938e+05,0,0
3054,1.6426e+09,0,0.1,0.03,0,0,0,0.0059724,-0.04188,0.18728,0,48,1.0938e+05,0,0
3098,1.6427e+09,0,0.1,0.03,0,0,0,0.0059823,-0.04188,0.18728,0,48,1.0938e+05,0,0
3143,1.6427e+09,0,0.1,0.03,0,0,0,0.0059908,-0.04188,0.18728,0,48,1.0938e+05,0,0
3188,1.6427e+09,0,0.1,0.03,0,0,0,0.0059908,-0.04188,0.18728,0,48,1.0938e+05,0,0
3232,1.6427e+09,0,0.1,0.03,0,0,0,0.0059994,-0.04188,0.18728,0,48,1.0938e+05,0,0
3279,1.6427e+09,0,0.1,0.03,0,0,0,0.0060098,-0.04188,0.18728,0,48,1.0938e+05,0,0
3329,1.6427e+09,0,0.1,0.03,0,0,0,0.0060192,-0.04188,0.18728,0,48,1.0938e+05,0,0
3375,1.6427e+09,0,0.1,0.03,0,0,0,0.0060277,-0.04188,0.18728,0,48,1.0938e+05,0,0
3419,1.6427e+09,0,0.1,0.03,0,0,0,0.0060277,-0.04188,0.18728,0,48,1.0938e+05,0,0
3464,1.6427e+09,0,0.1,0.03,0,0,0,0.0060362,-0.04188,0.18728,0,48,1.0938e+05,0,0
3509,1.6427e+09,0,0.1,0.03,0,0,0,0.0060464,-0.04188,0.18728,0,48,1.0938e+05,0,0
3556,1.6428e+09,0,0.1,0.03,0,0.01,0,0.0060586,-0.04188,0.18728,0,48,1.0938e+05,0,0
3598,1.6428e+09,0,0.11,0.03,0,0.01,0,0.0060683,-0.04188,0.18728,0,48,1.0938e+05,0,0
3642,1.6428e+09,0,0.11,0.03,0,0.01,0,0.0059434,-0.04188,0.18728,0,48,1.0938e+05,0,0
3686,1.6428e+09,0,0.11,0.03,0,0.01,0,0.0059527,-0.04188,0.18728,0,48,1.0938e+05,0,0
3733,1.6428e+09,0,0.11,0.03,0,0.01,0,0.005963,-0.04188,0.18728,0,48,1.0938e+05,0,0
3781,1.6428e+09,0,0.11,0.03,0,0.01,0,0.0059733,-0.04188,0.18728,0,48,1.0938e+05,0,0
3826,1.6428e+09,0,0.11,0.03,0,0.01,0,0.0059733,-0.04188,0.18728,0,48,1.0938e+05,0,0
3870,1.6428e+09,0,0.11,0.03,0,0.01,0,0.0059837,-0.04188,0.18728,0,48,1.0938e+05,0,0
3915,1.6428e+09,0,0.11,0.03,0,0.01,0,0.0059931,-0.04188,0.18728,0,48,1.0938e+05,0,0
3960,1.6429e+09,0,0.11,0.03,0,0.01,0,0.0060034,-0.04188,0.18728,0,48,1.0938e+05,0,0
4004,1.6429e+09,0,0.11,0.03,0,0.01,0,0.0060115,-0.04188,0.18728,0,48,1.0938e+05,0,0
4049,1.6429e+09,0,0.11,0.03,0,0.01,0,0.0060201,-0.04188,0.18728,0,48,1.0938e+05,0,0
