LineNo,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc
307,1.6419e+09,0,0,-0.02,0.03,0.17,0.06,0.01,0,0,0,0.24,0,0,0.00053949
535,1.6419e+09,0,0,-0.02,0.03,0.17,0.06,0.01,0,0,0,0.24,0,0,0.00053949
987,1.642e+09,0,0.02,-0.03,0.02,0.17,0.06,0.15,0,0,0,0.98,0,0,0.00057605
1101,1.6421e+09,0,0.02,-0.03,0.02,0.17,0.06,0.15,0,0,0,0.98,0,0,0.00057605
1208,1.6422e+09,0,0,-0.01,0.07,0.17,0.06,0.15,0,0,0,0.98,0,0,0.00075769
1319,1.6422e+09,0,0,-0.01,0.07,0.17,0.06,0.15,0,0,0,0.98,0,0,0.00075769
1498,1.6423e+09,0,0,-0.01,0.07,0.17,0.06,0.1,0,0,0,-0.33,0,0,0.00075769
1680,1.6423e+09,0,0,-0.01,0.07,0.17,0.06,0.1,0,0,0,-0.33,0,0,0.00075769
1724,1.6423e+09,0,0,-0.01,0.07,0.17,0.06,0.1,0,0,0,-0.33,0,0,0.00075769
1769,1.6423e+09,0,0,-0.01,0.07,0.17,0.06,0.1,0,0,0,-0.33,0,0,0.00075769
1813,1.6423e+09,0,0,-0.01,0.07,0.17,0.06,0.1,0,0,0,-0.33,0,0,0.00075769
1858,1.6423e+09,0,0,-0.01,0.07,0.17,0.06,0.03,0,0,0,0.98,0,0,0.00075769
1905,1.6424e+09,0,0,-0.01,0.07,0.17,0.06,0.03,0,0,0,0.98,0,0,0.00075769
1950,1.6424e+09,0,0.04,-0.02,-0.35,0.18,0.05,0.03,0,0,0,0.98,0,0,0.00867
1992,1.6424e+09,0,0.04,-0.02,-0.35,0.18,0.05,0.03,0,0,0,0.98,0,0,0.00867
2040,1.6424e+09,0,0.04,-0.02,-0.35,0.18,0.05,0.03,0,0,0,0.98,0,0,0.00867
2083,1.6424e+09,0,0.04,-0.02,-0.35,0.18,0.05,0.03,0,0,0,0.98,0,0,0.00867
2125,1.6424e+09,0,0.04,-0.02,-0.35,0.18,0.05,0.03,0,0,0,0.98,0,0,0.00867
2171,1.6424e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2215,1.6424e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2257,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2301,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2343,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2386,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2429,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2475,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2519,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2561,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2604,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.28,0,0,0,2.16,0,0,0.00867
2649,1.6425e+09,0,0.04,-0.02,-0.35,0.18,0.05,-0.11,0,0,0,0.2,0,0,0.00867
2695,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
2740,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
2785,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
2830,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
2879,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
2923,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
2970,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
3014,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.11,0,0,0,0.2,0,0,0.0064054
3059,1.6426e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.04,0,0,0,0.05,0,0,0.0064054
3103,1.6427e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.04,0,0,0,0.05,0,0,0.0064054
3148,1.6427e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.04,0,0,0,0.05,0,0,0.0064054
3193,1.6427e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.04,0,0,0,0.05,0,0,0.0064054
3237,1.6427e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.04,0,0,0,0.05,0,0,0.0064054
3284,1.6427e+09,0,0.03,-0.01,-0.29,0.19,0.06,-0.04,0,0,0,0.05,0,0,0.0064054
