LineNo,TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
4350,1.6429e+09,102,0,100,106,0,0,0
8230,1.6439e+09,102,0,100,106,0,0,0
12200,1.6448e+09,102,0,100,109,0,0,0
16876,1.6459e+09,104,0,100,105,0,0,0
20758,1.6469e+09,104,0,100,107,0,0,0
24640,1.6478e+09,104,0,100,106,0,0,0
29469,1.6489e+09,104,0,100,103,0,0,0
33329,1.6499e+09,104,0,100,103,0,0,0
37170,1.6508e+09,104,0,100,104,0,0,0
41986,1.652e+09,104,0,100,105,0,0,0
45732,1.6529e+09,104,0,100,107,0,0,0
49409,1.6538e+09,104,0,100,103,0,0,0
54009,1.655e+09,104,0,100,103,0,0,0
57778,1.6559e+09,104,0,100,104,0,0,0
61495,1.6568e+09,104,0,100,103,0,0,0
66156,1.658e+09,104,0,100,105,0,0,0
69888,1.6589e+09,104,0,100,104,0,0,0
73617,1.6598e+09,104,0,100,105,0,0,0
78286,1.661e+09,104,0,100,104,0,0,0
82041,1.6619e+09,104,0,100,105,0,0,0
85831,1.6628e+09,104,0,100,105,0,0,0
90492,1.664e+09,104,0,100,102,0,0,0
94248,1.6649e+09,104,0,100,103,0,0,0
97981,1.6658e+09,104,0,100,103,0,0,0
1.0267e+05,1.667e+09,104,0,100,103,0,0,0
1.0647e+05,1.6679e+09,104,0,100,105,0,0,0
1.102e+05,1.6688e+09,104,0,100,102,0,0,0
1.1482e+05,1.67e+09,104,0,100,104,0,0,0
1.1863e+05,1.6709e+09,104,0,100,105,0,0,0
1.2239e+05,1.6718e+09,104,0,100,104,0,0,0
1.271e+05,1.673e+09,104,0,100,104,0,0,0
1.3087e+05,1.6739e+09,104,0,100,104,0,0,0
1.3458e+05,1.6748e+09,104,0,100,104,0,0,0
1.3926e+05,1.676e+09,104,0,100,105,0,0,0
1.4306e+05,1.6769e+09,104,0,100,105,0,0,0
1.4677e+05,1.6778e+09,104,0,100,104,0,0,0
1.5143e+05,1.679e+09,104,0,100,103,0,0,0
1.5518e+05,1.6799e+09,104,0,100,104,0,0,0
1.589e+05,1.6808e+09,104,0,100,104,0,0,0
1.6359e+05,1.682e+09,104,0,100,106,0,0,0
1.673e+05,1.6829e+09,104,0,100,106,0,0,0
1.7103e+05,1.6839e+09,104,0,100,106,0,0,0
1.7569e+05,1.685e+09,104,0,100,105,0,0,0
1.7949e+05,1.6859e+09,104,0,100,104,0,0,0
1.8317e+05,1.6869e+09,104,0,100,103,0,0,0
1.878e+05,1.688e+09,104,0,100,106,0,0,0
1.9153e+05,1.6889e+09,104,0,100,105,0,0,0
1.952e+05,1.6899e+09,104,0,100,104,0,0,0
1.9892e+05,1.6908e+09,104,0,100,103,0,0,0
2.0356e+05,1.6919e+09,104,0,100,104,0,0,0
2.0729e+05,1.6929e+09,104,0,100,104,0,0,0
2.1098e+05,1.6938e+09,104,0,100,105,0,0,0
2.1563e+05,1.6949e+09,104,0,100,105,0,0,0
2.1939e+05,1.6959e+09,104,0,100,101,0,0,0
2.2314e+05,1.6968e+09,104,0,100,106,0,0,0
2.2779e+05,1.698e+09,104,0,100,105,0,0,0
2.3157e+05,1.6989e+09,104,0,100,105,0,0,0
2.3525e+05,1.6998e+09,104,0,100,103,0,0,0
2.3991e+05,1.701e+09,104,0,100,104,0,0,0
2.4359e+05,1.7019e+09,104,0,100,105,0,0,0
2.4726e+05,1.7028e+09,104,0,100,105,0,0,0
2.5196e+05,1.704e+09,104,0,100,106,0,0,0
2.5575e+05,1.7049e+09,104,0,100,105,0,0,0
2.5942e+05,1.7058e+09,104,0,100,103,0,0,0
2.6408e+05,1.707e+09,104,0,100,105,0,0,0
2.6787e+05,1.7079e+09,104,0,100,103,0,0,0
2.7154e+05,1.7088e+09,104,0,100,103,0,0,0
2.762e+05,1.71e+09,104,0,100,104,0,0,0
2.7996e+05,1.7109e+09,104,0,100,104,0,0,0
2.8363e+05,1.7118e+09,104,0,100,104,0,0,0
2.8829e+05,1.713e+09,104,0,100,105,0,0,0
2.9204e+05,1.7139e+09,104,0,100,104,0,0,0
2.9574e+05,1.7148e+09,104,0,100,105,0,0,0
3.0041e+05,1.716e+09,104,0,100,106,0,0,0
3.0412e+05,1.7169e+09,104,0,100,105,0,0,0
3.0786e+05,1.7178e+09,104,0,100,104,0,0,0
3.1249e+05,1.719e+09,105,0,100,104,0,0,0
3.1611e+05,1.7199e+09,105,0,100,106,0,0,0
3.1987e+05,1.7208e+09,105,0,100,103,0,0,0
3.2456e+05,1.722e+09,105,0,100,103,0,0,0
3.2831e+05,1.7229e+09,105,0,100,102,0,0,0
3.3207e+05,1.7238e+09,105,0,100,105,0,0,0
3.3672e+05,1.725e+09,105,0,100,101,0,0,0
3.4045e+05,1.7259e+09,105,0,100,105,0,0,0
3.4419e+05,1.7269e+09,105,0,100,104,0,0,0
3.4885e+05,1.728e+09,105,0,100,106,0,0,0
3.5259e+05,1.7289e+09,105,0,100,103,0,0,0
3.5625e+05,1.7299e+09,105,0,100,104,0,0,0
3.609e+05,1.731e+09,105,0,100,102,0,0,0
3.6462e+05,1.7319e+09,105,0,100,104,0,0,0
3.6831e+05,1.7329e+09,105,0,100,105,0,0,0
3.7299e+05,1.734e+09,105,0,100,104,0,0,0
3.7676e+05,1.7349e+09,105,0,100,105,0,0,0
3.8051e+05,1.7359e+09,105,0,100,104,0,0,0
3.8413e+05,1.7368e+09,105,0,100,105,0,0,0
3.8875e+05,1.7379e+09,105,0,100,104,0,0,0
3.9255e+05,1.7389e+09,105,0,100,102,0,0,0
3.9627e+05,1.7398e+09,105,0,100,104,0,0,0
4.0099e+05,1.7409e+09,105,0,100,104,0,0,0
4.0474e+05,1.7419e+09,105,0,100,106,0,0,0
4.085e+05,1.7428e+09,105,0,100,104,0,0,0
4.1315e+05,1.744e+09,105,0,100,106,0,0,0
4.169e+05,1.7449e+09,105,0,100,104,0,0,0
4.2067e+05,1.7458e+09,105,0,100,105,0,0,0
4.2529e+05,1.747e+09,105,0,100,102,0,0,0
4.2901e+05,1.7479e+09,105,0,100,106,0,0,0
4.3274e+05,1.7488e+09,105,0,100,103,0,0,0
4.3743e+05,1.75e+09,105,0,100,105,0,0,0
4.4118e+05,1.7509e+09,105,0,100,107,0,0,0
4.4493e+05,1.7518e+09,105,0,100,107,0,0,0
4.4975e+05,1.753e+09,105,0,100,105,0,0,0
4.5356e+05,1.7539e+09,105,0,100,106,0,0,0
4.5736e+05,1.7548e+09,105,0,100,106,0,0,0
4.6216e+05,1.756e+09,105,0,100,106,0,0,0
4.6594e+05,1.7569e+09,105,0,100,105,0,0,0
4.6978e+05,1.7578e+09,105,0,100,106,0,0,0
4.7456e+05,1.759e+09,105,0,100,106,0,0,0
4.7836e+05,1.7599e+09,105,0,100,107,0,0,0
4.8218e+05,1.7608e+09,105,0,100,107,0,0,0
4.8698e+05,1.762e+09,105,0,100,104,0,0,0
4.9087e+05,1.7629e+09,105,0,100,105,0,0,0
4.9472e+05,1.7638e+09,105,0,100,106,0,0,0
4.996e+05,1.765e+09,105,0,100,105,0,0,0
5.0348e+05,1.7659e+09,105,0,100,105,0,0,0
5.0738e+05,1.7668e+09,105,0,100,106,0,0,0
5.1218e+05,1.768e+09,105,0,100,106,0,0,0
5.1606e+05,1.7689e+09,105,0,100,96,0,0,0
5.1987e+05,1.7698e+09,105,0,100,98,0,0,0
5.247e+05,1.771e+09,105,0,100,94,0,0,0
5.2854e+05,1.7719e+09,105,0,100,89,0,0,0
5.3235e+05,1.7728e+09,105,0,100,90,0,0,0
5.3717e+05,1.774e+09,105,0,100,85,0,0,0
5.4104e+05,1.7749e+09,105,0,100,92,0,0,0
5.449e+05,1.7759e+09,105,0,100,89,0,0,0
