LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
4518,1.643e+09,0.010113,0.00059203,0.023539,0.00060595,0.56138
4560,1.643e+09,0.010284,0.00058987,0.023403,0.00059545,0.55498
4603,1.643e+09,0.010452,0.00058308,0.023257,0.00060529,0.54855
4645,1.643e+09,0.010621,0.00058339,0.023118,0.00059534,0.54208
4694,1.643e+09,0.010799,0.00059226,0.022981,0.00058821,0.53558
4737,1.643e+09,0.010974,0.00058725,0.022842,0.00058712,0.52904
4780,1.643e+09,0.011163,0.00061172,0.022709,0.00057677,0.52248
4823,1.6431e+09,0.011357,0.0006216,0.022574,0.00057183,0.51588
4865,1.6431e+09,0.011545,0.0006159,0.022438,0.00057372,0.50926
4908,1.6431e+09,0.011726,0.00060736,0.022303,0.00056574,0.50263
4951,1.6431e+09,0.011892,0.00059651,0.022172,0.00055579,0.49602
4994,1.6431e+09,0.01205,0.00058605,0.02204,0.00055326,0.48943
5037,1.6431e+09,0.012189,0.00058186,0.021913,0.00054931,0.48288
5080,1.6431e+09,0.012328,0.00057333,0.02179,0.0005408,0.4764
5127,1.6431e+09,0.012447,0.00057054,0.021674,0.00053187,0.46998
5170,1.6431e+09,0.012561,0.00056155,0.021559,0.00052241,0.46365
5213,1.6431e+09,0.01268,0.00055696,0.021445,0.00051308,0.45741
5253,1.6432e+09,0.01278,0.00055619,0.021334,0.00050451,0.45126
5297,1.6432e+09,0.012878,0.00054628,0.021233,0.00049959,0.44522
5342,1.6432e+09,0.012977,0.00053908,0.021138,0.0004923,0.43928
5386,1.6432e+09,0.013068,0.00052962,0.021049,0.00048558,0.43344
5431,1.6432e+09,0.013166,0.00052824,0.020965,0.00047718,0.42772
5475,1.6432e+09,0.013266,0.00052594,0.020881,0.00046974,0.42212
5520,1.6432e+09,0.013356,0.00051678,0.020798,0.00046296,0.41663
5569,1.6432e+09,0.013434,0.00051114,0.020713,0.00046118,0.41126
5614,1.6432e+09,0.01351,0.00050165,0.020636,0.00045621,0.406
5658,1.6432e+09,0.013585,0.0004925,0.020561,0.00044834,0.40087
5703,1.6433e+09,0.013664,0.0004948,0.020481,0.00044857,0.39585
5748,1.6433e+09,0.013728,0.00048993,0.020415,0.00045995,0.39095
5792,1.6433e+09,0.01379,0.00048085,0.020343,0.00046501,0.38617
5840,1.6433e+09,0.013848,0.0004726,0.020289,0.00048067,0.38151
5885,1.6433e+09,0.013903,0.00046326,0.020239,0.0004743,0.37695
5930,1.6433e+09,0.013953,0.00045573,0.020181,0.00047567,0.37222
5974,1.6433e+09,0.01399,0.00047045,0.020127,0.00046676,0.36711
6024,1.6433e+09,0.014014,0.00053325,0.020081,0.00047909,0.36164
6068,1.6433e+09,0.014056,0.00057376,0.020029,0.00047992,0.35591
6111,1.6434e+09,0.014081,0.00092948,0.019979,0.00075165,0.34998
6155,1.6434e+09,0.014154,0.001673,0.019943,0.00093565,0.34394
6200,1.6434e+09,0.014227,0.0022012,0.019902,0.0010903,0.33782
6247,1.6434e+09,0.014255,0.0024159,0.019861,0.0012718,0.33014
6292,1.6434e+09,0.014276,0.0028351,0.019857,0.0014558,0.32401
6336,1.6434e+09,0.014387,0.0037234,0.019807,0.0014591,0.31791
6381,1.6434e+09,0.014452,0.0039756,0.019759,0.0016769,0.31187
6428,1.6434e+09,0.014521,0.0043923,0.019725,0.0017811,0.30588
6475,1.6434e+09,0.014636,0.004635,0.019632,0.0018538,0.29998
6519,1.6434e+09,0.014692,0.0052539,0.019603,0.0018811,0.29415
6563,1.6435e+09,0.01467,0.0053396,0.019562,0.0020175,0.28842
6611,1.6435e+09,0.014702,0.005584,0.019535,0.0023053,0.28137
6655,1.6435e+09,0.014732,0.005753,0.019503,0.002372,0.27583
6700,1.6435e+09,0.014761,0.0057485,0.0195,0.0027378,0.2704
6745,1.6435e+09,0.014778,0.0056908,0.019493,0.0029769,0.26505
6790,1.6435e+09,0.014803,0.0056079,0.019476,0.0029733,0.25981
6835,1.6435e+09,0.014828,0.0055429,0.019461,0.0029534,0.25466
6883,1.6435e+09,0.01479,0.0055133,0.019431,0.0029697,0.24961
6930,1.6435e+09,0.014775,0.005432,0.019392,0.0030635,0.24466
6973,1.6436e+09,0.014745,0.0053266,0.019308,0.0030683,0.23741
7015,1.6436e+09,0.014722,0.0052934,0.019319,0.0031061,0.23269
7063,1.6436e+09,0.014757,0.0053072,0.019298,0.0031214,0.22693
7106,1.6436e+09,0.014861,0.0053244,0.019304,0.0030849,0.22242
7148,1.6436e+09,0.014889,0.0052486,0.019272,0.0030618,0.218
7192,1.6436e+09,0.014883,0.0053054,0.01922,0.0030312,0.21366
7235,1.6436e+09,0.014844,0.0053515,0.019313,0.0033218,0.20942
7281,1.6436e+09,0.014847,0.005345,0.019278,0.003471,0.20525
7324,1.6436e+09,0.014914,0.0056446,0.019251,0.0034747,0.20117
7367,1.6437e+09,0.015014,0.005788,0.019274,0.0035542,0.19716
7412,1.6437e+09,0.015025,0.0058127,0.019207,0.0036186,0.19324
7454,1.6437e+09,0.014862,0.0062118,0.019229,0.0041632,0.1894
7494,1.6437e+09,0.01486,0.0068161,0.019199,0.0041187,0.18563
7536,1.6437e+09,0.014962,0.0069105,0.019174,0.0042757,0.18193
7580,1.6437e+09,0.01508,0.0069768,0.019145,0.0042465,0.17831
7623,1.6437e+09,0.014907,0.0074371,0.019086,0.0045003,0.17477
7666,1.6437e+09,0.014812,0.0076565,0.019188,0.0046256,0.17129
7718,1.6437e+09,0.014889,0.0078153,0.01912,0.0053509,0.16704
7764,1.6438e+09,0.015202,0.0087055,0.019069,0.0055441,0.16289
7806,1.6438e+09,0.014996,0.0093565,0.019184,0.0061491,0.15965
7852,1.6438e+09,0.015021,0.0093941,0.019179,0.0065127,0.15647
7899,1.6438e+09,0.015182,0.0095428,0.019235,0.0067863,0.15336
7944,1.6438e+09,0.015536,0.010166,0.01907,0.0072199,0.15031
7988,1.6438e+09,0.015283,0.011382,0.019223,0.0079324,0.14732
8033,1.6438e+09,0.015285,0.011444,0.019246,0.0083376,0.14439
8077,1.6438e+09,0.015287,0.011301,0.019305,0.0086351,0.14151
8122,1.6438e+09,0.015682,0.012149,0.019184,0.0097297,0.1387
8172,1.6438e+09,0.015422,0.012917,0.019447,0.011047,0.13594
8216,1.6439e+09,0.015341,0.012843,0.0193,0.01192,0.13323
8262,1.6439e+09,0.015359,0.01317,0.019562,0.012516,0.13058
8306,1.6439e+09,0.015393,0.013918,0.019257,0.013533,0.12798
8352,1.6439e+09,0.015284,0.013814,0.019805,0.015179,0.12544
8396,1.6439e+09,0.015159,0.01385,0.019569,0.015789,0.12294
8441,1.6439e+09,0.015351,0.014494,0.019803,0.016029,0.12049
8486,1.6439e+09,0.015258,0.015269,0.019568,0.016689,0.1181
8531,1.6439e+09,0.015361,0.015232,0.019901,0.01753,0.11575
8576,1.6439e+09,0.015253,0.015161,0.019773,0.017786,0.11344
8624,1.6439e+09,0.015632,0.015619,0.019849,0.018134,0.11118
8668,1.644e+09,0.01544,0.016302,0.01986,0.018563,0.10897
8709,1.644e+09,0.015651,0.016345,0.019896,0.018898,0.1068
8754,1.644e+09,0.015558,0.016255,0.019943,0.018848,0.10468
8800,1.644e+09,0.01575,0.016297,0.019779,0.019197,0.10259
8841,1.644e+09,0.015556,0.016578,0.020052,0.019581,0.10055
8887,1.644e+09,0.015678,0.016531,0.019833,0.019692,0.098552
8931,1.644e+09,0.015674,0.016517,0.019966,0.019524,0.096591
8975,1.644e+09,0.015697,0.017068,0.019773,0.019661,0.094669
9021,1.644e+09,0.015565,0.017037,0.019956,0.019742,0.092786
9069,1.644e+09,0.015569,0.016995,0.019928,0.019793,0.090939
9115,1.6441e+09,0.015701,0.017006,0.019826,0.019845,0.08913
9159,1.6441e+09,0.015595,0.017399,0.019928,0.019713,0.087356
9204,1.6441e+09,0.01567,0.01734,0.019822,0.019453,0.085618
