LineNo,TimeUS,Id,Label
1378,1.6422e+09,45,0
1379,1.6422e+09,63,0
1380,1.6422e+09,65,0
1381,1.6422e+09,97,0
1382,1.6422e+09,100,0
1383,1.6422e+09,98,0
1384,1.6422e+09,107,0
1385,1.6422e+09,68,0
1386,1.6422e+09,101,0
1387,1.6422e+09,69,0
1388,1.6422e+09,71,0
1389,1.6422e+09,104,0
1390,1.6422e+09,105,0
1391,1.6422e+09,74,0
1392,1.6422e+09,76,0
1393,1.6422e+09,109,0
1394,1.6422e+09,110,0
1395,1.6422e+09,111,0
1399,1.6423e+09,79,0
1400,1.6423e+09,37,0
1401,1.6423e+09,83,0
1402,1.6423e+09,115,0
1403,1.6423e+09,113,0
1404,1.6423e+09,114,0
1405,1.6423e+09,85,0
1406,1.6423e+09,117,0
1407,1.6423e+09,118,0
1408,1.6423e+09,80,0
1409,1.6423e+09,119,0
1410,1.6423e+09,87,0
1411,1.6423e+09,88,0
1412,1.6423e+09,89,0
1413,1.6423e+09,122,0
1414,1.6423e+09,35,0
