LineNo,TimeUS,Id,Pri,Total,Free,Name
8849,1.644e+09,16,183,1360,616,0
19523,1.6466e+09,16,183,1360,616,0
29810,1.649e+09,16,183,1360,616,0
40479,1.6516e+09,16,183,1360,616,0
50892,1.6542e+09,16,183,1360,616,0
61179,1.6567e+09,16,183,1360,616,0
71862,1.6594e+09,16,183,1360,616,0
81949,1.6619e+09,16,183,1360,616,0
92462,1.6645e+09,16,183,1360,616,0
1.0289e+05,1.667e+09,16,183,1360,616,0
1.1311e+05,1.6696e+09,16,183,1360,616,0
1.2359e+05,1.6721e+09,16,183,1360,616,0
1.3403e+05,1.6747e+09,16,183,1360,616,0
1.444e+05,1.6773e+09,16,183,1360,616,0
1.5479e+05,1.6798e+09,16,183,1360,616,0
1.651e+05,1.6824e+09,16,183,1360,616,0
1.7524e+05,1.6849e+09,16,183,1360,616,0
1.8576e+05,1.6875e+09,16,183,1360,616,0
1.9587e+05,1.69e+09,16,183,1360,616,0
2.0592e+05,1.6925e+09,16,183,1360,616,0
2.1603e+05,1.695e+09,16,183,1360,616,0
2.2647e+05,1.6976e+09,16,183,1360,616,0
2.3684e+05,1.7002e+09,16,183,1360,616,0
2.4727e+05,1.7028e+09,16,183,1360,616,0
2.5775e+05,1.7054e+09,16,183,1360,616,0
2.6792e+05,1.7079e+09,16,183,1360,616,0
2.7802e+05,1.7104e+09,16,183,1360,616,0
2.8843e+05,1.713e+09,16,183,1360,616,0
2.9897e+05,1.7156e+09,16,183,1360,616,0
3.094e+05,1.7182e+09,16,183,1360,616,0
3.1942e+05,1.7207e+09,16,183,1360,616,0
3.2985e+05,1.7233e+09,16,183,1360,616,0
3.3994e+05,1.7258e+09,16,183,1360,616,0
3.5018e+05,1.7283e+09,16,183,1360,616,0
3.6054e+05,1.7309e+09,16,183,1360,616,0
3.707e+05,1.7334e+09,16,183,1360,616,0
3.8079e+05,1.7359e+09,16,183,1360,616,0
3.9147e+05,1.7386e+09,16,183,1360,616,0
4.0171e+05,1.7411e+09,16,183,1360,616,0
4.1212e+05,1.7437e+09,16,183,1360,616,0
4.2269e+05,1.7463e+09,16,183,1360,616,0
4.3295e+05,1.7489e+09,16,183,1360,616,0
4.4328e+05,1.7514e+09,16,183,1360,616,0
4.537e+05,1.7539e+09,16,183,1360,616,0
4.6391e+05,1.7564e+09,16,183,1360,616,0
4.7397e+05,1.7588e+09,16,183,1360,616,0
4.8412e+05,1.7613e+09,16,183,1360,616,0
4.9512e+05,1.7639e+09,16,183,1360,616,0
5.0586e+05,1.7665e+09,16,183,1360,616,0
5.1629e+05,1.769e+09,16,183,1360,616,0
5.265e+05,1.7714e+09,16,183,1360,616,0
5.3694e+05,1.7739e+09,16,183,1360,616,0
5.4714e+05,1.7764e+09,16,183,1360,616,0
