LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
4.2024e+05,1.7457e+09,-3.9554,1.5613,-0.1238,-0.32058,-2.9665,0.027768,1.2466,0.22081,-0.096964,-8.0364,-1.8742,0.25574
4.2028e+05,1.7457e+09,-3.0944,-12.359,0.022482,-1.0913,-3.6649,0.026522,1.1401,2.5628,-0.09705,-4.5765,3.5118,0.25581
4.2032e+05,1.7457e+09,-3.16,5.8385,-0.13038,-1.2306,4.2964,-0.050995,1.1041,-0.3575,-0.096995,-4.5821,-9.367,0.25573
4.2037e+05,1.7457e+09,-3.8423,-1.6097,-0.090122,-0.46054,2.0494,-0.024654,0.94925,3.2334,-0.097793,-7.8572,1.6004,0.25609
4.2041e+05,1.7457e+09,-3.046,-6.7061,-0.049154,-0.92283,1.8591,-0.015675,0.844,3.1004,-0.09825,-7.8505,-18.013,0.25615
4.2045e+05,1.7458e+09,-3.0521,4.5705,-0.14077,-1.2597,5.6763,-0.057948,0.79315,1.821,-0.098342,-7.9057,4.4484,0.25649
4.205e+05,1.7458e+09,-3.2382,-5.6599,-0.075979,-0.92171,-0.95099,0.0063283,0.7957,0.73852,-0.098649,-7.7678,6.6086,0.25679
4.2054e+05,1.7458e+09,-1.5774,-9.4603,-0.026988,-1.9937,-0.60882,0.0064334,0.60814,3.8451,-0.099424,-7.2639,-28.945,0.25683
4.2058e+05,1.7458e+09,-0.83353,-7.5775,-0.018768,-1.8087,5.5551,-0.054651,0.52737,1.8967,-0.099496,-7.2857,9.3282,0.25731
4.2063e+05,1.7458e+09,-0.62592,-6.5494,-0.062918,-1.5426,-3.132,0.020199,0.4477,2.2268,-0.10021,-6.9523,-6.92,0.25721
4.2068e+05,1.7458e+09,0.11681,-8.8623,-0.039198,-1.5302,-1.1316,0.0053913,0.35945,0.79655,-0.10071,-6.3849,-32.348,0.25733
4.2072e+05,1.7458e+09,0.26636,-9.2188,-0.026498,-1.5898,7.4147,-0.068944,0.18663,2.8632,-0.10098,-8.8721,12.677,0.25786
4.2077e+05,1.7458e+09,-0.3504,-5.8566,-0.068889,-1.4292,1.8992,-0.024844,0.029961,3.5197,-0.10212,-13.212,-5.3384,0.25803
4.2081e+05,1.7458e+09,-0.27217,-5.6045,-0.070344,-1.0109,-7.3736,0.060742,-0.12312,2.714,-0.10262,-16.629,21.433,0.25815
4.2085e+05,1.7459e+09,0.46605,0.047911,-0.13802,-0.85339,-4.1328,0.034209,-0.27123,1.7501,-0.10358,-21.227,-17.165,0.25766
4.209e+05,1.7459e+09,1.5234,-10.936,-0.021407,-0.73736,3.5683,-0.045221,-0.46811,3.6493,-0.10432,-26.088,-14.443,0.25723
4.2094e+05,1.7459e+09,1.5603,-9.2728,-0.024403,-0.17285,0.54063,-0.01576,-0.58577,3.2156,-0.10452,-31.292,-0.10643,0.25663
4.2099e+05,1.7459e+09,1.1539,0.30849,-0.12429,-0.29441,-3.5114,0.020001,-0.73306,4.1161,-0.10563,-36.586,-4.1541,0.25563
4.2103e+05,1.7459e+09,2.4348,-7.6506,-0.061526,-0.28716,-1.1971,0.0002027,-0.9135,3.4429,-0.10623,-37.305,-25.443,0.25431
4.2108e+05,1.7459e+09,2.5639,0.10767,-0.10418,0.51129,3.8613,-0.049098,-1.024,3.0442,-0.10657,-40.109,0.20599,0.25333
4.2113e+05,1.7459e+09,2.19,-3.251,-0.087068,0.90925,-7.133,0.052039,-1.056,2.1373,-0.10687,-40.034,-16.444,0.25214
4.2117e+05,1.7459e+09,2.8898,-2.5328,-0.067674,0.75032,-9.9608,0.084114,-1.2089,3.4672,-0.10703,-40.296,-17.312,0.25115
4.2122e+05,1.7459e+09,3.0102,-6.075,-0.03346,1.2943,-5.2059,0.029928,-1.4892,4.0616,-0.10818,-39.972,-22.14,0.24993
4.2127e+05,1.746e+09,3.3333,-7.7875,-0.0050905,1.7591,0.6149,-0.029587,-1.6393,2.5723,-0.10852,-41.722,-10.255,0.24935
4.213e+05,1.746e+09,2.7352,4.564,-0.13426,2.3828,-7.0166,0.039993,-1.7235,1.4044,-0.10889,-41.573,-17.65,0.2486
4.2135e+05,1.746e+09,3.6083,-8.375,-0.0046018,3.8927,-1.0893,-0.012854,-1.8707,2.6031,-0.10942,-41.571,-25.555,0.24788
4.214e+05,1.746e+09,4.2325,-3.0157,-0.030517,6.1534,-5.6859,0.044474,-1.9873,1.9118,-0.10955,-40.104,-19.318,0.24774
4.2144e+05,1.746e+09,4.2819,11.523,-0.17866,8.1702,-1.1859,0.0058265,-2.1111,1.0773,-0.10989,-40.268,-16.102,0.24771
4.2149e+05,1.746e+09,4.4819,-2.7889,-0.048191,10.759,2.815,-0.016387,-2.2045,3.0828,-0.11042,-39.837,-41.206,0.24761
4.2153e+05,1.746e+09,4.7636,-11.177,0.072821,12.105,2.5828,-0.0071754,-2.292,3.9037,-0.11029,-39.764,-17.449,0.24806
4.2157e+05,1.746e+09,4.416,4.6881,-0.098104,11.821,4.1264,-0.030915,-2.3,-0.088368,-0.11008,-39.384,-35.93,0.24818
