LineNo,TimeUS,C,Q1,Q2,Q3,Q4
4722,1.643e+09,0,-0.98491,0.025934,-0.0049444,-0.17103
4765,1.643e+09,0,-0.98491,0.025947,-0.004953,-0.17104
4808,1.6431e+09,0,-0.98491,0.025962,-0.0049583,-0.17104
4850,1.6431e+09,0,-0.98491,0.025964,-0.0049547,-0.17105
4893,1.6431e+09,0,-0.98491,0.025973,-0.0049574,-0.17105
4936,1.6431e+09,0,-0.9849,0.025975,-0.0049559,-0.17107
4979,1.6431e+09,0,-0.9849,0.025974,-0.0049551,-0.17107
5022,1.6431e+09,0,-0.9849,0.025974,-0.0049484,-0.17108
5065,1.6431e+09,0,-0.9849,0.02597,-0.0049494,-0.17108
5112,1.6431e+09,0,-0.9849,0.025957,-0.0049483,-0.17108
5155,1.6431e+09,0,-0.9849,0.025955,-0.0049437,-0.17108
5198,1.6431e+09,0,-0.9849,0.025951,-0.004936,-0.17107
5236,1.6432e+09,0,-0.9849,0.025937,-0.0049331,-0.17108
5280,1.6432e+09,0,-0.9849,0.025932,-0.0049332,-0.17108
5325,1.6432e+09,0,-0.9849,0.025927,-0.00494,-0.17109
5369,1.6432e+09,0,-0.9849,0.025924,-0.0049479,-0.17109
5414,1.6432e+09,0,-0.9849,0.025929,-0.0049535,-0.17109
5458,1.6432e+09,0,-0.9849,0.025942,-0.004952,-0.1711
5503,1.6432e+09,0,-0.9849,0.025943,-0.0049584,-0.1711
5552,1.6432e+09,0,-0.9849,0.025941,-0.0049513,-0.1711
5597,1.6432e+09,0,-0.9849,0.02594,-0.0049573,-0.17109
5641,1.6432e+09,0,-0.9849,0.025944,-0.0049537,-0.17109
5686,1.6433e+09,0,-0.9849,0.025946,-0.0049514,-0.1711
5731,1.6433e+09,0,-0.9849,0.025946,-0.0049487,-0.17109
5775,1.6433e+09,0,-0.9849,0.025944,-0.0049517,-0.17108
5821,1.6433e+09,0,-0.9849,0.025941,-0.004965,-0.17109
5868,1.6433e+09,0,-0.9849,0.025942,-0.0049789,-0.17109
5913,1.6433e+09,0,-0.9849,0.025936,-0.0049787,-0.1711
5957,1.6433e+09,0,-0.98489,0.025924,-0.0049936,-0.17114
6007,1.6433e+09,0,-0.98488,0.025887,-0.0049992,-0.1712
