LineNo,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
3358,1.6427e+09,1151,3357,1.4693e+05,859,16294,7659
7587,1.6437e+09,1151,4228,1.8504e+05,7640,15944,12571
11889,1.6447e+09,1151,4301,1.8856e+05,8594,16300,12606
15913,1.6457e+09,1360,4023,1.7606e+05,980,15904,12088
20127,1.6467e+09,1360,4213,1.8476e+05,8834,16248,12899
24358,1.6477e+09,1360,4230,1.856e+05,7994,16246,12687
28544,1.6487e+09,1360,4185,1.8308e+05,8016,16266,12344
32715,1.6497e+09,1360,4170,1.8269e+05,4961,16240,12032
36898,1.6507e+09,1360,4182,1.8276e+05,6982,16102,12022
41073,1.6517e+09,1360,4174,1.83e+05,7256,16290,12369
45112,1.6527e+09,1360,4038,1.7658e+05,4559,16291,11669
49147,1.6537e+09,1360,4034,1.7624e+05,5326,15979,11214
53123,1.6547e+09,1360,3975,1.7396e+05,6984,16110,11906
57156,1.6557e+09,1360,4032,1.7608e+05,3599,15948,11044
61229,1.6567e+09,1360,4072,1.7785e+05,5765,16131,11797
65295,1.6577e+09,1360,4065,1.7795e+05,4755,16017,11528
69305,1.6587e+09,1378,4009,1.7518e+05,991,16011,9624
73342,1.6597e+09,1378,4036,1.7687e+05,3452,16154,11388
77393,1.6607e+09,1378,4050,1.7699e+05,5292,16145,11871
81460,1.6618e+09,1378,4066,1.7816e+05,4887,16188,11647
85564,1.6628e+09,1378,4103,1.7968e+05,4997,16076,11589
89643,1.6638e+09,1378,4078,1.7812e+05,5080,16038,12009
93714,1.6648e+09,1378,4070,1.7828e+05,4981,15983,11538
97748,1.6658e+09,1378,4033,1.7672e+05,2931,15935,11095
1.0187e+05,1.6668e+09,1378,4117,1.8038e+05,7234,16206,11768
1.0594e+05,1.6678e+09,1378,4070,1.7828e+05,4299,16174,11040
1.0997e+05,1.6688e+09,1378,4032,1.7672e+05,7826,16118,12332
1.1401e+05,1.6698e+09,1378,4035,1.7679e+05,5883,16281,11881
1.1809e+05,1.6708e+09,1378,4084,1.7895e+05,6049,16151,11934
1.222e+05,1.6718e+09,1378,4103,1.7962e+05,4425,16114,11452
1.2625e+05,1.6728e+09,1378,4050,1.7759e+05,2212,15994,10896
1.3036e+05,1.6738e+09,1378,4111,1.8007e+05,7311,16087,11916
1.344e+05,1.6748e+09,1378,4037,1.7696e+05,3054,16144,11794
1.3844e+05,1.6758e+09,1378,4040,1.7707e+05,4857,15606,11304
1.4252e+05,1.6768e+09,1378,4077,1.787e+05,6974,16030,12215
1.4656e+05,1.6778e+09,1378,4040,1.7712e+05,5030,16073,11747
1.5062e+05,1.6788e+09,1378,4061,1.779e+05,5583,16002,11805
1.5466e+05,1.6798e+09,1378,4037,1.7694e+05,5738,16065,11731
1.5871e+05,1.6808e+09,1378,4056,1.7743e+05,7641,15924,12176
1.6278e+05,1.6818e+09,1378,4062,1.7786e+05,4522,16032,11816
1.668e+05,1.6828e+09,1378,4020,1.7521e+05,6896,16165,12194
1.7084e+05,1.6838e+09,1378,4047,1.7703e+05,5007,16136,11434
1.7487e+05,1.6848e+09,1378,4025,1.7552e+05,5365,16093,11166
1.7898e+05,1.6858e+09,1378,4110,1.796e+05,3981,16112,11282
1.8298e+05,1.6868e+09,1378,4002,1.7462e+05,6934,15881,12058
1.8702e+05,1.6878e+09,1378,4035,1.7649e+05,6206,15983,11541
1.9103e+05,1.6888e+09,1378,4004,1.7479e+05,7086,16106,12101
1.9506e+05,1.6898e+09,1378,4035,1.7596e+05,5574,16055,12000
1.9908e+05,1.6908e+09,1378,4020,1.7563e+05,3381,16100,11056
2.0309e+05,1.6918e+09,1378,4007,1.7498e+05,7441,16044,12022
2.0713e+05,1.6928e+09,1378,4034,1.7596e+05,1500,16102,11466
2.1119e+05,1.6938e+09,1378,4066,1.7726e+05,2232,16116,10944
2.1522e+05,1.6948e+09,1378,4028,1.7571e+05,6236,15961,11713
2.1929e+05,1.6958e+09,1378,4067,1.7762e+05,6967,16308,12107
2.2332e+05,1.6968e+09,1378,4025,1.7546e+05,7659,16012,12351
2.274e+05,1.6978e+09,1378,4079,1.7799e+05,7729,16124,12290
2.3147e+05,1.6989e+09,1378,4076,1.7775e+05,6286,15870,11771
2.3547e+05,1.6999e+09,1378,3996,1.7434e+05,7299,15846,12244
2.3951e+05,1.7009e+09,1378,4036,1.7602e+05,6921,16052,11948
2.435e+05,1.7019e+09,1378,3992,1.7411e+05,2304,16001,10803
2.475e+05,1.7029e+09,1378,3996,1.7431e+05,4479,16067,11432
2.5156e+05,1.7039e+09,1378,4058,1.7685e+05,6362,16045,12010
2.5566e+05,1.7049e+09,1378,4101,1.7914e+05,4399,15814,11722
2.5969e+05,1.7059e+09,1378,4032,1.7585e+05,3238,15751,11172
2.6372e+05,1.7069e+09,1378,4026,1.7555e+05,4271,16003,11215
2.6779e+05,1.7079e+09,1378,4069,1.7782e+05,5884,15771,11796
2.7181e+05,1.7089e+09,1378,4025,1.7546e+05,4430,16163,12139
2.7584e+05,1.7099e+09,1378,4022,1.7533e+05,5823,16136,12125
2.799e+05,1.7109e+09,1378,4062,1.77e+05,3354,15913,11015
2.839e+05,1.7119e+09,1378,4000,1.7501e+05,5740,15841,11608
2.8793e+05,1.7129e+09,1378,4027,1.756e+05,5807,15958,11917
2.9195e+05,1.7139e+09,1378,4022,1.7534e+05,6841,16149,12298
2.96e+05,1.7149e+09,1378,4043,1.764e+05,4769,16042,11657
3.0004e+05,1.7159e+09,1378,4044,1.7657e+05,5659,16159,12126
3.0407e+05,1.7169e+09,1378,4026,1.7557e+05,7073,16247,12277
3.0814e+05,1.7179e+09,1378,4068,1.7784e+05,4438,16096,11725
3.1216e+05,1.7189e+09,1378,4026,1.7554e+05,2953,16312,11431
3.1607e+05,1.7199e+09,1493,3902,1.7018e+05,987,16085,10293
3.2014e+05,1.7209e+09,1493,4073,1.7802e+05,6204,16062,12076
3.2424e+05,1.7219e+09,1493,4101,1.7875e+05,6798,16009,12011
3.2831e+05,1.7229e+09,1493,4070,1.7792e+05,7129,15958,12210
3.3242e+05,1.7239e+09,1493,4101,1.7862e+05,5496,15929,11648
3.3642e+05,1.7249e+09,1493,3998,1.7501e+05,6885,16145,12009
3.4048e+05,1.7259e+09,1493,4069,1.7735e+05,6580,16118,11895
3.4454e+05,1.7269e+09,1493,4057,1.7725e+05,7580,15801,12147
3.4853e+05,1.7279e+09,1527,3988,1.7391e+05,978,16031,11336
3.5259e+05,1.7289e+09,1527,4061,1.7751e+05,5775,16237,11315
3.566e+05,1.7299e+09,1527,4004,1.7474e+05,6015,16009,11911
3.6067e+05,1.7309e+09,1527,4072,1.7805e+05,3703,16107,11607
3.6467e+05,1.7319e+09,1527,3994,1.7422e+05,1982,16061,11248
3.6867e+05,1.7329e+09,1527,4002,1.7462e+05,7146,16128,12127
3.7276e+05,1.734e+09,1527,4091,1.7884e+05,7259,16164,12396
3.7681e+05,1.735e+09,1527,4044,1.7645e+05,5779,16104,12054
3.8088e+05,1.736e+09,1527,4070,1.7738e+05,5740,16110,11715
3.8487e+05,1.737e+09,1583,3994,1.742e+05,1000,16258,10743
3.8889e+05,1.738e+09,1583,4015,1.753e+05,4836,16288,12097
3.9296e+05,1.739e+09,1583,4065,1.7767e+05,6992,15938,12137
3.9706e+05,1.74e+09,1583,4100,1.7865e+05,6714,15989,12170
4.0112e+05,1.741e+09,1583,4068,1.7776e+05,7380,16096,11760
4.0519e+05,1.742e+09,1583,4061,1.7753e+05,6692,16160,11892
4.0929e+05,1.743e+09,1583,4104,1.7885e+05,7061,16157,12128
4.1333e+05,1.744e+09,1583,4041,1.7676e+05,2677,16223,11427
4.1736e+05,1.745e+09,1583,4022,1.7544e+05,6648,16205,12081
4.2142e+05,1.746e+09,1583,4066,1.7763e+05,3878,16022,11213
4.2543e+05,1.747e+09,1583,4009,1.7501e+05,8009,16269,12097
4.2945e+05,1.748e+09,1583,4019,1.7519e+05,5406,16162,11908
4.3351e+05,1.749e+09,1583,4058,1.7686e+05,7523,16158,12288
4.3761e+05,1.75e+09,1583,4100,1.7914e+05,6304,16206,12084
