LineNo,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
38348,1.6511e+09,1,2,300,0,13.84,0.84388,-1.3656
49945,1.6539e+09,1,3,300,0,13.961,0.32767,-3.3601
67261,1.6582e+09,1,4,300,0,13.01,-0.91426,-5.0678
72996,1.6597e+09,1,5,300,0,11.267,-2.2192,-5.624
81726,1.6618e+09,1,6,300,0,9.6381,-3.2152,-6.4629
91928,1.6643e+09,1,7,300,0,9.1115,-5.0142,-7.3311
99186,1.6661e+09,1,8,300,0,7.1679,-6.0788,-7.5031
1.1956e+05,1.6711e+09,1,9,300,0,9.0699,-4.8905,-7.6516
1.2535e+05,1.6726e+09,1,10,300,0,11.084,-4.5064,-7.4768
1.37e+05,1.6754e+09,1,11,300,0,13.181,-4.5043,-7.3372
1.5304e+05,1.6794e+09,1,12,300,0,15.217,-3.9748,-7.3907
1.6019e+05,1.6812e+09,1,13,300,0,15.333,-1.6278,-7.464
1.66e+05,1.6826e+09,1,14,300,0,15.235,0.42572,-7.5086
1.7324e+05,1.6844e+09,1,15,300,0,15.104,2.7542,-7.4984
1.9908e+05,1.6908e+09,1,16,300,0,14.84,4.799,-7.4782
2.0623e+05,1.6926e+09,1,17,300,0,14.706,7.0295,-7.4698
2.1627e+05,1.6951e+09,1,18,300,0,14.268,9.1598,-7.4911
2.3653e+05,1.7001e+09,1,19,300,0,11.925,8.8369,-7.471
2.4224e+05,1.7015e+09,1,20,300,0,9.3727,8.4726,-7.4455
2.465e+05,1.7026e+09,1,21,300,0,7.3104,8.1354,-7.4988
2.5227e+05,1.704e+09,1,22,300,0,4.9119,7.7996,-7.3383
2.7244e+05,1.709e+09,1,23,300,0,3.5818,5.9187,-7.3294
2.7825e+05,1.7105e+09,1,24,300,0,3.961,3.2311,-7.393
2.8252e+05,1.7115e+09,1,25,300,0,4.2289,0.6331,-7.4554
2.8538e+05,1.7123e+09,1,26,300,0,4.4144,-1.3854,-7.5486
2.8825e+05,1.713e+09,1,27,300,0,4.5969,-3.5482,-7.5837
2.9552e+05,1.7148e+09,1,28,300,0,4.8506,-5.6345,-7.4709
3.1995e+05,1.7209e+09,1,29,300,0,6.7405,-4.3859,-7.4344
3.3148e+05,1.7237e+09,1,30,300,0,7.1814,-2.3148,-7.4215
3.5023e+05,1.7283e+09,1,31,300,0,8.1168,-0.4997,-7.436
3.7316e+05,1.7341e+09,1,32,300,0,9.2703,0.77191,-6.3602
3.7894e+05,1.7355e+09,1,33,300,0,9.3874,0.69451,-4.3286
3.8609e+05,1.7373e+09,1,34,300,0,9.195,0.8497,-2.3053
4.2072e+05,1.7458e+09,1,35,300,0,10.089,0.84945,-0.48374
