LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
319,1.6419e+09,0.97252,0.98303,1,0.02586,2
547,1.6419e+09,0.97247,0.983,1,0.02586,2
1001,1.642e+09,0.97242,0.98297,1,0.02586,2
1115,1.6421e+09,0.97241,0.98296,1,0.02586,2
1222,1.6422e+09,0.97238,0.98294,1,0.02586,2
1333,1.6422e+09,0.97237,0.98293,1,0.02586,2
1512,1.6423e+09,0.97235,0.98292,1,0.02586,2
1694,1.6423e+09,0.97235,0.98292,1,0.02586,2
1738,1.6423e+09,0.97236,0.98293,1,0.02586,2
1783,1.6423e+09,0.97236,0.98293,1,0.02586,2
1827,1.6423e+09,0.97237,0.98293,1,0.02586,2
1872,1.6423e+09,0.97237,0.98294,1,0.02586,2
1919,1.6424e+09,0.97237,0.98294,1,0.02586,2
1962,1.6424e+09,0.97238,0.98294,1,0.02586,2
2004,1.6424e+09,0.97239,0.98295,1,0.02586,2
2052,1.6424e+09,0.97239,0.98295,1,0.02586,2
2095,1.6424e+09,0.97238,0.98294,1,0.02586,2
2137,1.6424e+09,0.97238,0.98294,1,0.02586,2
2183,1.6424e+09,0.97238,0.98294,1,0.02586,2
2227,1.6424e+09,0.97238,0.98294,1,0.02586,2
2269,1.6425e+09,0.97238,0.98294,1,0.02586,2
2313,1.6425e+09,0.97237,0.98294,1,0.02586,2
2355,1.6425e+09,0.97237,0.98294,1,0.02586,2
2398,1.6425e+09,0.97237,0.98294,1,0.02586,2
2441,1.6425e+09,0.97237,0.98294,1,0.02586,2
2487,1.6425e+09,0.97237,0.98293,1,0.02586,2
2531,1.6425e+09,0.97237,0.98293,1,0.02586,2
2573,1.6425e+09,0.97236,0.98293,1,0.02586,2
2616,1.6425e+09,0.97236,0.98293,1,0.02586,2
2661,1.6425e+09,0.97236,0.98293,1,0.02586,2
2709,1.6426e+09,0.97236,0.98293,1,0.02586,2
2754,1.6426e+09,0.97236,0.98293,1,0.02586,2
2799,1.6426e+09,0.97236,0.98293,1,0.02586,2
2844,1.6426e+09,0.97236,0.98293,1,0.02586,2
2893,1.6426e+09,0.97236,0.98293,1,0.02586,2
2937,1.6426e+09,0.97236,0.98293,1,0.02586,2
2984,1.6426e+09,0.97237,0.98294,1,0.02586,2
3028,1.6426e+09,0.97237,0.98294,1,0.02586,2
3073,1.6426e+09,0.97238,0.98294,1,0.02586,2
3117,1.6427e+09,0.97238,0.98294,1,0.02586,2
3162,1.6427e+09,0.97239,0.98295,1,0.02586,2
3207,1.6427e+09,0.97239,0.98295,1,0.02586,2
3251,1.6427e+09,0.97239,0.98295,1,0.02586,2
3298,1.6427e+09,0.9724,0.98295,1,0.02586,2
3348,1.6427e+09,0.9724,0.98296,1,0.02586,2
3394,1.6427e+09,0.97239,0.98295,1,0.02586,2
3438,1.6427e+09,0.97239,0.98295,1,0.02586,2
3483,1.6427e+09,0.97239,0.98295,1,0.02586,2
3528,1.6427e+09,0.97238,0.98294,1,0.02586,2
3575,1.6428e+09,0.97238,0.98294,1,0.02586,2
3617,1.6428e+09,0.97237,0.98294,1,0.02586,2
3661,1.6428e+09,0.97237,0.98293,1,0.02586,2
3707,1.6428e+09,0.97236,0.98293,1,0.02586,2
3752,1.6428e+09,0.97236,0.98293,1,0.02586,2
3800,1.6428e+09,0.97236,0.98293,1,0.02586,2
3845,1.6428e+09,0.97235,0.98293,1,0.02586,2
3889,1.6428e+09,0.97235,0.98292,1,0.02586,2
3934,1.6428e+09,0.97235,0.98292,1,0.02586,2
3979,1.6429e+09,0.97234,0.98292,1,0.02586,2
4023,1.6429e+09,0.97234,0.98292,1,0.02586,2
4068,1.6429e+09,0.97234,0.98292,1,0.02586,2
4112,1.6429e+09,0.97233,0.98291,1,0.02586,2
4157,1.6429e+09,0.97233,0.98291,1,0.02586,2
4202,1.6429e+09,0.97233,0.98291,1,0.02586,2
4251,1.6429e+09,0.97232,0.98291,1,0.02586,2
4296,1.6429e+09,0.97232,0.9829,1,0.02586,2
