LineNo,TimeUS,Instance,ofsI,magI,ofsQ,magQ
14368,1.6454e+09,0,8,140,-8,136
35342,1.6503e+09,0,5,138,1,134
55570,1.6553e+09,0,14,143,-7,131
75812,1.6604e+09,0,7,138,-9,136
95999,1.6653e+09,0,8,146,-3,137
1.163e+05,1.6703e+09,0,13,141,-5,135
1.3669e+05,1.6754e+09,0,7,137,-7,135
1.5686e+05,1.6803e+09,0,7,140,-1,137
1.7706e+05,1.6853e+09,0,8,141,-3,137
1.9712e+05,1.6903e+09,0,9,138,-5,131
2.1724e+05,1.6953e+09,0,6,138,-13,139
2.3749e+05,1.7004e+09,0,2,144,-2,140
2.5762e+05,1.7054e+09,0,9,140,-6,130
2.7776e+05,1.7104e+09,0,8,137,-9,138
2.9782e+05,1.7153e+09,0,3,144,12,149
3.1785e+05,1.7203e+09,0,8,147,-7,134
3.3815e+05,1.7254e+09,0,4,139,-8,134
3.5824e+05,1.7303e+09,0,4,148,-9,137
3.7833e+05,1.7353e+09,0,11,145,-1,137
3.9855e+05,1.7404e+09,0,2,145,-6,135
4.1883e+05,1.7454e+09,0,3,143,-13,139
4.3895e+05,1.7503e+09,0,11,142,-1,136
4.5961e+05,1.7554e+09,0,11,144,-10,136
4.8023e+05,1.7604e+09,0,3,152,-7,146
5.0112e+05,1.7653e+09,0,2,140,-3,130
5.2197e+05,1.7703e+09,0,13,137,-11,132
5.4279e+05,1.7753e+09,0,9,135,-8,129
