LineNo,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
14568,1.6454e+09,0,394,0.0025,0.0025,0.012294,0.013722,0.010988,0.031965,0.009989,0.031965
35587,1.6504e+09,0,411,0.0025,0.0025,0.012022,0.012458,0.010988,0.017981,0.009989,0.01798
55902,1.6554e+09,0,413,0.0025,0.0025,0.011955,0.01238,0.010988,0.01798,0.009989,0.017981
76098,1.6604e+09,0,408,0.0025,0.0025,0.012069,0.012452,0.010988,0.01798,0.009989,0.01798
96376,1.6654e+09,0,412,0.0025,0.0025,0.011969,0.012358,0.010988,0.01798,0.009989,0.01798
1.1668e+05,1.6704e+09,0,412,0.0025,0.0025,0.011952,0.012397,0.010988,0.015983,0.009989,0.015983
1.3703e+05,1.6754e+09,0,409,0.0025,0.0025,0.01199,0.012468,0.010988,0.01798,0.009989,0.01798
1.573e+05,1.6805e+09,0,410,0.0025,0.0025,0.011964,0.012484,0.010988,0.015983,0.009989,0.015983
1.7753e+05,1.6855e+09,0,410,0.0025,0.0025,0.012013,0.012472,0.010988,0.019978,0.0099891,0.019978
1.9761e+05,1.6905e+09,0,408,0.0025,0.0025,0.011951,0.012572,0.010988,0.016981,0.009989,0.016981
2.1775e+05,1.6955e+09,0,409,0.0025,0.0025,0.012079,0.012411,0.010988,0.01798,0.009989,0.01798
2.3796e+05,1.7005e+09,0,410,0.0025,0.0025,0.011943,0.012494,0.010988,0.019978,0.009989,0.019978
2.5807e+05,1.7055e+09,0,412,0.0025,0.0025,0.011866,0.012375,0.010988,0.020977,0.0099891,0.020977
2.7827e+05,1.7105e+09,0,408,0.0025,0.0025,0.012075,0.01243,0.010988,0.020977,0.009989,0.020977
2.9836e+05,1.7155e+09,0,409,0.0025,0.0025,0.012072,0.012467,0.010988,0.01798,0.0099891,0.01798
3.1846e+05,1.7205e+09,0,408,0.0025,0.0025,0.012022,0.012637,0.010988,0.020977,0.009989,0.020977
3.3875e+05,1.7255e+09,0,410,0.0025,0.0025,0.011944,0.012676,0.010988,0.01798,0.0099891,0.01798
3.589e+05,1.7305e+09,0,413,0.0025,0.0025,0.011919,0.012405,0.010988,0.016981,0.0099889,0.016981
3.7906e+05,1.7355e+09,0,407,0.0025,0.0025,0.012044,0.012594,0.010988,0.01798,0.009989,0.01798
3.9923e+05,1.7405e+09,0,411,0.0025,0.0025,0.012002,0.01244,0.010988,0.01798,0.009989,0.01798
4.1952e+05,1.7455e+09,0,409,0.0025,0.0025,0.011993,0.012625,0.010988,0.017981,0.009989,0.01798
4.3976e+05,1.7505e+09,0,414,0.0025,0.0025,0.011919,0.012265,0.010988,0.01798,0.009989,0.01798
4.604e+05,1.7555e+09,0,406,0.0025,0.0025,0.012029,0.012531,0.010988,0.01798,0.009989,0.01798
4.8106e+05,1.7605e+09,0,404,0.0025,0.0025,0.012159,0.01256,0.010988,0.016981,0.009989,0.016982
5.0196e+05,1.7655e+09,0,411,0.0025,0.0025,0.011904,0.012545,0.010988,0.015983,0.0099891,0.015983
5.2284e+05,1.7705e+09,0,411,0.0025,0.0025,0.011942,0.012369,0.010988,0.015982,0.009989,0.015983
5.4363e+05,1.7756e+09,0,414,0.0025,0.0025,0.011901,0.012298,0.010988,0.01798,0.009989,0.01798
