LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1085,1.6421e+09,1,127,-10,298,47,-57,-99,0,0,0,1,1.6421e+09
2016,1.6424e+09,1,127,-9,300,47,-57,-99,0,0,0,1,1.6424e+09
2449,1.6425e+09,1,127,-10,299,47,-57,-99,0,0,0,1,1.6425e+09
2859,1.6426e+09,1,127,-11,298,47,-57,-99,0,0,0,1,1.6426e+09
3312,1.6427e+09,1,128,-9,301,47,-57,-99,0,0,0,1,1.6427e+09
3763,1.6428e+09,1,127,-9,298,47,-57,-99,0,0,0,1,1.6428e+09
4214,1.6429e+09,1,127,-10,299,47,-57,-99,0,0,0,1,1.6429e+09
4647,1.643e+09,1,127,-9,298,47,-57,-99,0,0,0,1,1.643e+09
5082,1.6431e+09,1,127,-9,297,47,-57,-99,0,0,0,1,1.6431e+09
5522,1.6432e+09,1,128,-8,300,47,-57,-99,0,0,0,1,1.6432e+09
5976,1.6433e+09,1,127,-9,300,47,-57,-99,0,0,0,1,1.6433e+09
6392,1.6434e+09,1,126,-12,301,47,-57,-99,0,0,0,1,1.6434e+09
6843,1.6435e+09,1,126,-13,301,47,-57,-99,0,0,0,1,1.6435e+09
7247,1.6436e+09,1,126,-17,305,47,-57,-99,0,0,0,1,1.6436e+09
7678,1.6437e+09,1,125,-18,304,47,-57,-99,0,0,0,1,1.6437e+09
8128,1.6438e+09,1,125,-14,301,47,-57,-99,0,0,0,1,1.6438e+09
8581,1.6439e+09,1,126,-12,302,47,-57,-99,0,0,0,1,1.6439e+09
9026,1.644e+09,1,126,-12,301,47,-57,-99,0,0,0,1,1.644e+09
9477,1.6441e+09,1,127,-13,301,47,-57,-99,0,0,0,1,1.6441e+09
9877,1.6442e+09,1,126,-13,303,47,-57,-99,0,0,0,1,1.6442e+09
10311,1.6444e+09,1,126,-13,304,47,-57,-99,0,0,0,1,1.6444e+09
10763,1.6445e+09,1,126,-13,300,47,-57,-99,0,0,0,1,1.6445e+09
11211,1.6446e+09,1,126,-12,302,47,-57,-99,0,0,0,1,1.6446e+09
11666,1.6447e+09,1,126,-15,302,47,-57,-99,0,0,0,1,1.6447e+09
12114,1.6448e+09,1,127,-16,302,47,-57,-99,0,0,0,1,1.6448e+09
12549,1.6449e+09,1,126,-16,301,47,-57,-99,0,0,0,1,1.6449e+09
12949,1.645e+09,1,126,-13,302,47,-57,-99,0,0,0,1,1.645e+09
13399,1.6451e+09,1,126,-15,301,47,-57,-99,0,0,0,1,1.6451e+09
13632,1.6452e+09,1,126,-15,304,47,-57,-99,0,0,0,1,1.6452e+09
14054,1.6453e+09,1,126,-16,303,47,-57,-99,0,0,0,1,1.6453e+09
14497,1.6454e+09,1,127,-16,298,47,-57,-99,0,0,0,1,1.6454e+09
14928,1.6455e+09,1,126,-12,298,47,-57,-99,0,0,0,1,1.6455e+09
15362,1.6456e+09,1,126,-16,300,47,-57,-99,0,0,0,1,1.6456e+09
15783,1.6457e+09,1,126,-17,299,47,-57,-99,0,0,0,1,1.6457e+09
16235,1.6458e+09,1,126,-15,300,47,-57,-99,0,0,0,1,1.6458e+09
16687,1.6459e+09,1,126,-18,297,47,-57,-99,0,0,0,1,1.6459e+09
17128,1.646e+09,1,127,-15,303,47,-57,-99,0,0,0,1,1.646e+09
17559,1.6461e+09,1,127,-17,299,47,-57,-99,0,0,0,1,1.6461e+09
17969,1.6462e+09,1,127,-16,300,47,-57,-99,0,0,0,1,1.6462e+09
18392,1.6463e+09,1,127,-14,298,47,-57,-99,0,0,0,1,1.6463e+09
18840,1.6464e+09,1,127,-19,296,47,-57,-99,0,0,0,1,1.6464e+09
19292,1.6465e+09,1,126,-16,297,47,-57,-99,0,0,0,1,1.6465e+09
