LineNo,TimeUS,Temp,Targ,P,I,Out
4695,1.643e+09,45.035,45,-7.0702,19.759,12.689
8986,1.644e+09,45.041,45,-8.1001,19.747,11.647
13260,1.645e+09,45.016,45,-3.2143,19.738,16.524
17345,1.6461e+09,44.94,45,11.91,19.748,31.658
21581,1.6471e+09,44.931,45,13.845,19.766,33.611
25857,1.6481e+09,44.902,45,19.537,19.795,39.332
30022,1.6491e+09,44.967,45,6.6238,19.816,26.439
34260,1.6501e+09,44.985,45,2.9694,19.823,22.793
38444,1.6511e+09,44.807,45,38.53,19.854,58.384
42621,1.6521e+09,44.673,45,65.424,19.938,85.361
46654,1.6531e+09,44.761,45,47.701,20.029,67.73
50712,1.6541e+09,44.64,45,72.097,20.117,92.214
54762,1.6551e+09,44.568,45,86.435,20.244,100
58854,1.6561e+09,44.725,45,55.045,20.357,75.402
62887,1.6572e+09,44.741,45,51.753,20.423,72.177
67003,1.6582e+09,44.622,45,75.53,20.525,96.055
71051,1.6592e+09,44.732,45,53.692,20.617,74.308
75135,1.6602e+09,44.586,45,82.768,20.729,100
79220,1.6612e+09,44.537,45,92.683,20.863,100
83322,1.6622e+09,44.558,45,88.443,21.001,100
87408,1.6632e+09,44.591,45,81.766,21.13,100
91482,1.6642e+09,44.622,45,75.597,21.248,96.845
95553,1.6652e+09,44.549,45,90.229,21.375,100
99716,1.6662e+09,44.557,45,88.647,21.493,100
1.0379e+05,1.6673e+09,44.575,45,84.988,21.617,100
1.079e+05,1.6683e+09,44.586,45,82.773,21.749,100
1.1195e+05,1.6693e+09,44.567,45,86.507,21.873,100
1.1602e+05,1.6703e+09,44.683,45,63.406,21.993,85.398
1.2014e+05,1.6713e+09,44.867,45,26.558,22.058,48.616
1.2427e+05,1.6723e+09,45.079,45,-15.867,22.059,6.1918
1.2838e+05,1.6733e+09,45.084,45,-16.875,22.035,5.1595
1.3243e+05,1.6743e+09,44.84,45,31.947,22.043,53.99
1.3652e+05,1.6753e+09,44.883,45,23.336,22.1,45.436
1.4063e+05,1.6763e+09,45.014,45,-2.7191,22.107,19.388
1.4472e+05,1.6773e+09,45.027,45,-5.3909,22.1,16.709
1.488e+05,1.6783e+09,45.011,45,-2.1461,22.097,19.951
1.5287e+05,1.6794e+09,45.044,45,-8.7967,22.087,13.291
1.5696e+05,1.6804e+09,45.069,45,-13.73,22.07,8.3397
1.6103e+05,1.6814e+09,45.078,45,-15.574,22.048,6.4742
1.6514e+05,1.6824e+09,45.067,45,-13.452,22.027,8.5751
1.6918e+05,1.6834e+09,45.064,45,-12.815,22.007,9.1916
1.7326e+05,1.6844e+09,45.059,45,-11.819,21.987,10.169
1.7734e+05,1.6854e+09,45.046,45,-9.1599,21.972,12.812
1.814e+05,1.6864e+09,45.032,45,-6.3858,21.956,15.57
1.8549e+05,1.6874e+09,45.012,45,-2.3468,21.954,19.607
1.8951e+05,1.6884e+09,44.987,45,2.6878,21.956,24.644
1.9356e+05,1.6895e+09,44.977,45,4.5746,21.962,26.536
1.9759e+05,1.6905e+09,44.987,45,2.5421,21.966,24.509
2.0166e+05,1.6915e+09,45.009,45,-1.7143,21.967,20.252
2.0569e+05,1.6925e+09,45.015,45,-3.0342,21.963,18.929
2.0978e+05,1.6935e+09,45.014,45,-2.8526,21.959,19.106
2.1383e+05,1.6945e+09,45.015,45,-3.0617,21.954,18.892
2.1791e+05,1.6955e+09,45.021,45,-4.2259,21.951,17.725
2.2198e+05,1.6965e+09,44.951,45,9.8907,21.951,31.842
2.2611e+05,1.6975e+09,44.873,45,25.385,21.977,47.362
2.3018e+05,1.6985e+09,44.884,45,23.175,22.021,45.196
2.3421e+05,1.6995e+09,44.777,45,44.598,22.071,66.669
2.3826e+05,1.7006e+09,44.767,45,46.609,22.142,68.75
2.4229e+05,1.7016e+09,44.68,45,64.011,22.223,86.234
2.4632e+05,1.7026e+09,44.708,45,58.435,22.321,80.756
2.5039e+05,1.7036e+09,44.726,45,54.798,22.407,77.205
2.545e+05,1.7046e+09,44.585,45,83.059,22.509,100
2.5857e+05,1.7056e+09,44.626,45,74.843,22.623,97.466
2.6265e+05,1.7066e+09,44.646,45,70.872,22.735,93.607
2.6671e+05,1.7076e+09,44.745,45,50.982,22.832,73.814
2.7078e+05,1.7086e+09,44.79,45,42.014,22.89,64.905
2.7482e+05,1.7096e+09,44.69,45,61.945,22.967,84.913
