LineNo,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
3318,1.6427e+09,2,43.601,13.482,100,86.112,0.10519,0,224,-1.5474
7684,1.6437e+09,2,43.601,13.482,100,86.114,0.24499,0,224,-1.5474
12112,1.6448e+09,2,43.601,13.482,100,86.115,0.29337,0,224,-1.5474
16230,1.6458e+09,2,43.601,13.482,100,86.117,0.31104,0,224,-1.5474
20574,1.6468e+09,2,43.601,13.482,100,86.119,0.32573,0,224,-1.5474
24939,1.6479e+09,2,43.601,13.482,100,86.12,0.30425,0,224,-1.5474
29327,1.6489e+09,2,43.601,13.482,100,86.122,0.37091,0,224,-1.5474
33723,1.65e+09,2,43.601,13.482,100,86.118,1.1061,0,224,-1.5474
38160,1.651e+09,2,43.601,13.482,100,86.117,1.8706,0,224,-1.5474
42534,1.6521e+09,2,43.601,13.482,100,86.121,2.7684,0,224,-1.5474
46863,1.6532e+09,2,43.601,13.482,100,86.126,3.5115,0,224,-1.5474
51213,1.6543e+09,2,43.601,13.482,100,86.124,4.0329,0,224,-1.5474
55565,1.6553e+09,2,43.601,13.482,100,86.121,4.4816,0,224,-1.5474
59884,1.6564e+09,2,43.601,13.482,100,86.127,4.9228,0,224,-1.5474
64225,1.6575e+09,2,43.601,13.482,100,86.144,5.2871,0,224,-1.5474
68567,1.6586e+09,2,43.601,13.482,100,86.177,5.7415,0,224,-1.5474
72896,1.6596e+09,2,43.601,13.482,100,86.221,6.0539,0,224,-1.5474
77218,1.6607e+09,2,43.601,13.482,100,86.258,6.4244,0,224,-1.5474
81597,1.6618e+09,2,43.601,13.482,100,86.271,6.8388,0,224,-1.5474
85978,1.6629e+09,2,43.601,13.482,100,86.284,7.213,0,224,-1.5474
90361,1.6639e+09,2,43.601,13.482,100,86.307,7.6035,0,224,-1.5474
94707,1.665e+09,2,43.601,13.482,100,86.401,7.6539,0,224,-1.5474
99089,1.6661e+09,2,43.601,13.482,100,86.546,7.6189,0,224,-1.5474
1.0347e+05,1.6672e+09,2,43.601,13.482,100,86.656,7.4961,0,224,-1.5474
1.0786e+05,1.6683e+09,2,43.601,13.482,100,86.722,7.3612,0,224,-1.5474
1.1221e+05,1.6693e+09,2,43.601,13.482,100,86.657,7.326,0,224,-1.5474
1.1656e+05,1.6704e+09,2,43.601,13.482,100,86.473,7.783,0,224,-1.5474
1.2095e+05,1.6715e+09,2,43.601,13.482,100,86.303,7.9498,0,224,-1.5474
1.2531e+05,1.6726e+09,2,43.601,13.482,100,86.271,7.8679,0,224,-1.5474
1.2973e+05,1.6736e+09,2,43.601,13.482,100,86.256,7.6128,0,224,-1.5474
1.3409e+05,1.6747e+09,2,43.601,13.482,100,86.236,7.5301,0,224,-1.5474
1.3844e+05,1.6758e+09,2,43.601,13.482,100,86.232,7.8898,0,224,-1.5474
1.4284e+05,1.6769e+09,2,43.601,13.482,100,86.232,8.2268,0,224,-1.5474
1.4719e+05,1.678e+09,2,43.601,13.482,100,86.221,8.0147,0,224,-1.5474
1.5157e+05,1.679e+09,2,43.601,13.482,100,86.195,7.9147,0,224,-1.5474
1.5588e+05,1.6801e+09,2,43.601,13.482,100,86.164,7.895,0,224,-1.5474
1.602e+05,1.6812e+09,2,43.601,13.482,100,86.138,7.9863,0,224,-1.5474
1.6457e+05,1.6822e+09,2,43.601,13.482,100,86.11,8.0495,0,224,-1.5474
1.6891e+05,1.6833e+09,2,43.601,13.482,100,86.083,8.0896,0,224,-1.5474
1.7325e+05,1.6844e+09,2,43.601,13.482,100,86.059,8.1,0,224,-1.5474
1.776e+05,1.6855e+09,2,43.601,13.482,100,86.038,8.0754,0,224,-1.5474
1.8191e+05,1.6865e+09,2,43.601,13.482,100,86.026,8.0283,0,224,-1.5474
1.8622e+05,1.6876e+09,2,43.601,13.482,100,86.027,8.0733,0,224,-1.5474
1.9049e+05,1.6887e+09,2,43.601,13.482,100,86.026,8.1142,0,224,-1.5474
1.9484e+05,1.6898e+09,2,43.601,13.482,100,86.027,8.0932,0,224,-1.5474
1.9917e+05,1.6908e+09,2,43.601,13.482,100,86.025,8.1144,0,224,-1.5474
2.0346e+05,1.6919e+09,2,43.601,13.482,100,86.003,8.1271,0,224,-1.5474
2.0779e+05,1.693e+09,2,43.601,13.482,100,85.976,8.1395,0,224,-1.5474
2.121e+05,1.6941e+09,2,43.601,13.482,100,85.96,8.1087,0,224,-1.5474
2.1639e+05,1.6951e+09,2,43.601,13.482,100,85.951,8.1993,0,224,-1.5474
2.2077e+05,1.6962e+09,2,43.601,13.482,100,85.947,8.0941,0,224,-1.5474
2.251e+05,1.6973e+09,2,43.601,13.482,100,85.946,8.0999,0,224,-1.5474
2.2947e+05,1.6984e+09,2,43.601,13.482,100,85.959,8.1781,0,224,-1.5474
2.338e+05,1.6994e+09,2,43.601,13.482,100,85.978,8.1843,0,224,-1.5474
2.3812e+05,1.7005e+09,2,43.601,13.482,100,86.006,8.1219,0,224,-1.5474
2.4242e+05,1.7016e+09,2,43.601,13.482,100,86.044,8.0623,0,224,-1.5474
2.4668e+05,1.7027e+09,2,43.601,13.482,100,86.253,7.9062,0,224,-1.5474
2.5102e+05,1.7037e+09,2,43.601,13.482,100,86.455,7.6005,0,224,-1.5474
2.5543e+05,1.7048e+09,2,43.601,13.482,100,86.599,7.4249,0,224,-1.5474
2.5974e+05,1.7059e+09,2,43.601,13.482,100,86.636,7.4884,0,224,-1.5474
2.6404e+05,1.707e+09,2,43.601,13.482,100,86.651,7.4552,0,224,-1.5474
2.6844e+05,1.708e+09,2,43.601,13.482,100,86.671,7.3546,0,224,-1.5474
2.7275e+05,1.7091e+09,2,43.601,13.482,100,86.687,7.3078,0,224,-1.5474
2.7708e+05,1.7102e+09,2,43.601,13.482,100,86.696,7.3425,0,224,-1.5474
2.8139e+05,1.7113e+09,2,43.601,13.482,100,86.722,7.3848,0,224,-1.5474
2.8566e+05,1.7123e+09,2,43.601,13.482,100,86.754,7.4671,0,224,-1.5474
2.9004e+05,1.7134e+09,2,43.601,13.482,100,86.787,7.5724,0,224,-1.5474
2.9437e+05,1.7145e+09,2,43.601,13.482,100,86.792,7.3909,0,224,-1.5474
2.987e+05,1.7156e+09,2,43.601,13.482,100,86.798,7.2495,0,224,-1.5474
3.0304e+05,1.7166e+09,2,43.601,13.482,100,86.791,7.3622,0,224,-1.5474
3.0741e+05,1.7177e+09,2,43.601,13.482,100,86.775,7.2907,0,224,-1.5474
3.1173e+05,1.7188e+09,2,43.601,13.482,100,86.705,7.339,0,224,-1.5474
3.1594e+05,1.7199e+09,2,43.601,13.482,100,86.618,7.4268,0,224,-1.5474
3.2032e+05,1.721e+09,2,43.601,13.482,100,86.557,7.5449,0,224,-1.5474
3.2469e+05,1.722e+09,2,43.601,13.482,100,86.496,7.5653,0,224,-1.5474
3.2903e+05,1.7231e+09,2,43.601,13.482,100,86.468,7.5774,0,224,-1.5474
3.334e+05,1.7242e+09,2,43.601,13.482,100,86.473,7.6646,0,224,-1.5474
3.377e+05,1.7252e+09,2,43.601,13.482,100,86.449,7.7735,0,224,-1.5474
3.4204e+05,1.7263e+09,2,43.601,13.482,100,86.407,7.7399,0,224,-1.5474
3.4642e+05,1.7274e+09,2,43.601,13.482,100,86.358,7.7568,0,224,-1.5474
3.5068e+05,1.7285e+09,2,43.601,13.482,100,86.333,7.7554,0,224,-1.5474
3.5499e+05,1.7295e+09,2,43.601,13.482,100,86.31,7.8175,0,224,-1.5474
3.5937e+05,1.7306e+09,2,43.601,13.482,100,86.266,7.8842,0,224,-1.5474
3.6364e+05,1.7317e+09,2,43.601,13.482,100,86.226,7.8882,0,224,-1.5474
3.6794e+05,1.7328e+09,2,43.601,13.482,100,86.202,7.9194,0,224,-1.5474
3.7228e+05,1.7338e+09,2,43.601,13.482,100,86.198,7.1517,0,224,-1.5474
3.7663e+05,1.7349e+09,2,43.601,13.482,100,86.197,5.5907,0,224,-1.5474
3.8097e+05,1.736e+09,2,43.601,13.482,100,86.2,4.1606,0,224,-1.5474
3.8524e+05,1.7371e+09,2,43.601,13.482,100,86.199,2.9468,0,224,-1.5474
3.8952e+05,1.7381e+09,2,43.601,13.482,100,86.202,2.0479,0,224,-1.5474
3.9382e+05,1.7392e+09,2,43.601,13.482,100,86.194,1.6132,0,224,-1.5474
3.9822e+05,1.7403e+09,2,43.601,13.482,100,86.19,1.2584,0,224,-1.5474
4.0256e+05,1.7413e+09,2,43.601,13.482,100,86.186,0.98867,0,224,-1.5474
4.0692e+05,1.7424e+09,2,43.601,13.482,100,86.187,0.96341,0,224,-1.5474
4.1124e+05,1.7435e+09,2,43.601,13.482,100,86.191,0.98764,0,224,-1.5474
4.1561e+05,1.7446e+09,2,43.601,13.482,100,86.189,0.9855,0,224,-1.5474
4.1996e+05,1.7456e+09,2,43.601,13.482,100,86.183,0.96293,0,224,-1.5474
4.243e+05,1.7467e+09,2,43.601,13.482,100,86.179,0.87293,0,224,-1.5474
4.286e+05,1.7478e+09,2,43.601,13.482,100,86.172,0.57287,0,224,-1.5474
4.3295e+05,1.7489e+09,2,43.601,13.482,100,86.169,0.43245,0,224,-1.5474
4.3734e+05,1.7499e+09,2,43.601,13.482,100,86.165,0.35754,0,224,-1.5474
4.4172e+05,1.751e+09,2,43.601,13.482,100,86.163,0.38227,0,224,-1.5474
4.4606e+05,1.7521e+09,2,43.601,13.482,100,86.163,0.32966,0,224,-1.5474
4.504e+05,1.7531e+09,2,43.601,13.482,100,86.164,0.27648,0,224,-1.5474
4.5477e+05,1.7542e+09,2,43.601,13.482,100,86.165,0.26389,0,224,-1.5474
4.5907e+05,1.7552e+09,2,43.601,13.482,100,86.166,0.24837,0,224,-1.5474
4.6342e+05,1.7563e+09,2,43.601,13.482,100,86.167,0.2224,0,224,-1.5474
4.6777e+05,1.7573e+09,2,43.601,13.482,100,86.168,0.23048,0,224,-1.5474
4.721e+05,1.7584e+09,2,43.601,13.482,100,86.169,0.26615,0,224,-1.5474
4.7647e+05,1.7594e+09,2,43.601,13.482,100,86.169,0.28481,0,224,-1.5474
4.8081e+05,1.7605e+09,2,43.601,13.482,100,86.169,0.28625,0,224,-1.5474
4.8515e+05,1.7615e+09,2,43.601,13.482,100,86.17,0.30651,0,224,-1.5474
4.8958e+05,1.7626e+09,2,43.601,13.482,100,86.17,0.24281,0,224,-1.5474
4.9397e+05,1.7637e+09,2,43.601,13.482,100,86.171,0.17656,0,224,-1.5474
4.9838e+05,1.7647e+09,2,43.601,13.482,100,86.171,0.19066,0,224,-1.5474
5.028e+05,1.7657e+09,2,43.601,13.482,100,86.171,0.17133,0,224,-1.5474
5.0719e+05,1.7668e+09,2,43.601,13.482,100,86.17,0.15588,0,224,-1.5474
5.115e+05,1.7678e+09,2,43.601,13.482,100,86.169,0.11875,0,224,-1.5474
5.1584e+05,1.7689e+09,2,43.601,13.482,100,86.167,0.11934,0,224,-1.5474
5.2018e+05,1.7699e+09,2,43.601,13.482,100,86.178,1.0602,0,224,-1.5474
5.2456e+05,1.771e+09,2,43.601,13.482,100,86.194,1.2821,0,224,-1.5474
5.2886e+05,1.772e+09,2,43.601,13.482,100,86.254,1.5104,0,224,-1.5474
5.332e+05,1.773e+09,2,43.601,13.482,100,86.352,1.3871,0,224,-1.5474
5.3757e+05,1.7741e+09,2,43.601,13.482,100,86.423,1.25,0,224,-1.5474
5.4194e+05,1.7751e+09,2,43.601,13.482,100,86.494,1.2143,0,224,-1.5474
5.4625e+05,1.7762e+09,2,43.601,13.482,100,86.554,1.0542,0,224,-1.5474
