LineNo,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
14575,1.6454e+09,1,372,0.0025,0.0025,0.012352,0.014526,0.010759,0.035762,0.009894,0.036039
35594,1.6504e+09,1,381,0.0025,0.0025,0.01285,0.013723,0.010756,0.023187,0.009904,0.02387
55911,1.6554e+09,1,379,0.0025,0.0025,0.012898,0.013604,0.010768,0.021071,0.009947,0.021966
76105,1.6604e+09,1,384,0.0025,0.0025,0.012668,0.013505,0.010839,0.024018,0.009412,0.024024
96385,1.6654e+09,1,377,0.0025,0.0025,0.012669,0.01378,0.010803,0.024023,0.009966,0.02403
1.1669e+05,1.6704e+09,1,375,0.0025,0.0025,0.013003,0.013772,0.010752,0.023231,0.01001,0.023957
1.3704e+05,1.6754e+09,1,376,0.0025,0.0025,0.012832,0.013896,0.010793,0.023977,0.009932,0.024048
1.573e+05,1.6805e+09,1,379,0.0025,0.0025,0.012678,0.013464,0.010761,0.024977,0.010002,0.024904
1.7754e+05,1.6855e+09,1,379,0.0025,0.0025,0.012799,0.013818,0.010811,0.024021,0.00996,0.024027
1.9762e+05,1.6905e+09,1,368,0.0025,0.0025,0.012964,0.014023,0.010756,0.023084,0.00998,0.023976
2.1776e+05,1.6955e+09,1,375,0.0025,0.0025,0.012904,0.013901,0.010767,0.024,0.009992,0.024
2.3797e+05,1.7005e+09,1,375,0.0025,0.0025,0.013035,0.013775,0.010819,0.02406,0.009923,0.025032
2.5808e+05,1.7055e+09,1,377,0.0025,0.0025,0.012962,0.013906,0.010777,0.023056,0.009957,0.024027
2.7828e+05,1.7105e+09,1,383,0.0025,0.0025,0.012697,0.013532,0.010854,0.023886,0.009922,0.023847
2.9837e+05,1.7155e+09,1,373,0.0025,0.0025,0.01288,0.013843,0.010822,0.024964,0.009025,0.024961
3.1847e+05,1.7205e+09,1,379,0.0025,0.0025,0.012979,0.013601,0.010753,0.024969,0.009948,0.02499
3.3876e+05,1.7255e+09,1,377,0.0025,0.0025,0.012671,0.013694,0.010832,0.023003,0.009912,0.023953
3.5891e+05,1.7305e+09,1,372,0.0025,0.0025,0.012947,0.014113,0.010753,0.024005,0.009973,0.024019
3.7907e+05,1.7355e+09,1,380,0.0025,0.0025,0.012908,0.013616,0.010788,0.024963,0.009944,0.024963
3.9924e+05,1.7405e+09,1,377,0.0025,0.0025,0.01289,0.013841,0.010808,0.023051,0.010001,0.023051
4.1953e+05,1.7455e+09,1,378,0.0025,0.0025,0.012751,0.013997,0.010751,0.023978,0.009928,0.023031
4.3977e+05,1.7505e+09,1,374,0.0025,0.0025,0.012816,0.01402,0.010899,0.02498,0.009946,0.024993
4.6041e+05,1.7555e+09,1,378,0.0025,0.0025,0.012896,0.013726,0.010757,0.023984,0.00992,0.022994
4.8106e+05,1.7605e+09,1,377,0.0025,0.0025,0.012933,0.013638,0.010774,0.024016,0.009946,0.024003
5.0197e+05,1.7655e+09,1,378,0.0025,0.0025,0.012864,0.013788,0.010757,0.023993,0.009989,0.023989
5.2285e+05,1.7705e+09,1,392,0.0025,0.0025,0.012311,0.013374,0.010786,0.022017,0.009904,0.02202
5.4364e+05,1.7756e+09,1,389,0.0025,0.0025,0.012584,0.013194,0.010751,0.024017,0.009986,0.024018
