LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
1.1593e+05,1.0784e+08,0,0,0,0,0,0,0,0,0,0,0
1.1597e+05,1.0785e+08,0,0,0,0,0,0,0,0,0,0,0
1.1602e+05,1.0786e+08,0,0,0,0,0,0,0,0,0,0,0
1.1606e+05,1.0787e+08,0,0,0,0,0,0,0,0,0,0,0
1.1611e+05,1.0788e+08,0,0,0,0,0,0,0,0,0,0,0
1.1615e+05,1.0789e+08,0,0,0,0,0,0,0,0,0,0,0
1.162e+05,1.0791e+08,0,0,0,0,0,0,0,0,0,0,0
1.1624e+05,1.0791e+08,0,0,0,0,0,0,0,0,0,0,0
1.1629e+05,1.0792e+08,0,0,0,0,0,0,0,0,0,0,0
1.1634e+05,1.0794e+08,0,0,0,0,0,0,0,0,0,0,0
1.1638e+05,1.0795e+08,0,0,0,0,0,0,0,0,0,0,0
1.1642e+05,1.0796e+08,0,0,0,0,0,0,0,0,0,0,0
1.1647e+05,1.0797e+08,0,0,0,0,0,0,0,0,0,0,0
1.1652e+05,1.0798e+08,0,0,0,0,0,0,0,0,0,0,0
1.1656e+05,1.0799e+08,0,0,0,0,0,0,0,0,0,0,0
1.1661e+05,1.08e+08,0,0,0,0,0,0,0,0,0,0,0
1.1665e+05,1.0801e+08,0,0,0,0,0,0,0,0,0,0,0
1.167e+05,1.0802e+08,0,0,0,0,0,0,0,0,0,0,0
1.1675e+05,1.0803e+08,0,0,0,0,0,0,0,0,0,0,0
1.1679e+05,1.0804e+08,0,-0.057541,-0.012863,0.026098,0.0054991,-0.046192,-0.017522,-0.043971,-0.0096537,0.038005,0.033142
1.1683e+05,1.0805e+08,0,-0.057541,-0.012863,0.026098,0.0054991,-0.046192,-0.017522,-0.043971,-0.0096537,0.038005,0.033142
1.1688e+05,1.0806e+08,0,-0.057541,-0.012863,0.026098,0.0054991,-0.046192,-0.017522,-0.043971,-0.0096537,0.038005,0.033142
1.1692e+05,1.0807e+08,0,-0.057541,-0.012863,0.026098,0.0054991,-0.046192,-0.017522,-0.043971,-0.0096537,0.038005,0.033142
1.1697e+05,1.0808e+08,0,-0.057541,-0.012863,0.026098,0.0054991,-0.046192,-0.017522,-0.043971,-0.0096537,0.038005,0.033142
1.1701e+05,1.0809e+08,0,-0.057541,-0.012863,0.026098,0.0054991,-0.046192,-0.017522,-0.043971,-0.0096537,0.038005,0.033142
