LineNo,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1566,1.9847e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,81.83,0.014,0,0.015,0,1
2354,2.0051e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,81.87,0.018,0,-0.003,0,1
3176,2.0253e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,81.91,0.023,0,0.043,0,1
4005,2.0459e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,81.95,0.021,0,0.003,0,1
4749,2.0642e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,81.98,0.021,0,0.068,0,1
5545,2.0844e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.02,0.029,0,-0.019,0,1
6365,2.1045e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.08,0.006,0,0.002,0,1
7186,2.125e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.13,0.05,0,0.026,0,1
7987,2.1453e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.18,0.025,0,-0.005,0,1
8720,2.1636e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.23,0.016,0,-0.018,0,1
10203,2.2043e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.35,0.013,0,-0.032,0,1
11027,2.2246e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.41,0.026,0,-0.002,0,1
11856,2.2453e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.45,0.013,0,-0.012,0,1
12597,2.2637e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.5,0.014,0,0.065,0,1
13387,2.284e+07,0,3,4.6889e+08,2230,16,0.69,43.601,13.482,82.54,0.033,0,-0.015,0,1
14212,2.3043e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.6,0.023,0,0.042,0,1
15037,2.3249e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.65,0.004,0,0.09,0,1
15777,2.3433e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.69,0.054,0,0.028,0,1
16575,2.3638e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.75,0.017,0,0.016,0,1
17391,2.3841e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.79,0.044,0,0.041,0,1
18191,2.4046e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.84,0.03,0,0.133,0,1
19011,2.4249e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.88,0.008,0,0.017,0,1
19806,2.4452e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.93,0.028,0,-0.02,0,1
20547,2.4636e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,82.98,0.006,0,0.041,0,1
21377,2.4841e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.03,0.017,0,0.052,0,1
22205,2.5045e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.07,0.043,0,0.017,0,1
23029,2.5251e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.11,0.022,0,0.043,0,1
23778,2.5436e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.14,0.017,0,0.013,0,1
24609,2.5643e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.17,0.008,0,0.051,0,1
25439,2.5849e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.19,0.023,0,0.087,0,1
26181,2.6033e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.21,0.019,0,0.065,0,1
26999,2.6237e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.23,0.007,0,0.046,0,1
27792,2.6438e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.26,0.038,0,0.076,0,1
28611,2.6642e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.29,0.013,0,0.04,0,1
29439,2.6844e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.32,0.03,0,0.123,0,1
30263,2.705e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.36,0.048,0,0.024,0,1
31002,2.7236e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.39,0.022,0,0.029,0,1
31796,2.7439e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.41,0.034,0,0,0,1
32610,2.7641e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.46,0.029,0,0.065,0,1
33436,2.7845e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.49,0.068,0,0.009,0,1
34230,2.8052e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.52,0.017,0,0.029,0,1
34974,2.8238e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.56,0.027,0,0.033,0,1
35799,2.8444e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.59,0.038,0,0.007,0,1
36624,2.8648e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.62,0.037,0,0.036,0,1
37449,2.8851e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.66,0.015,0,0.03,0,1
38189,2.9037e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.69,0.019,0,-0.043,0,1
39008,2.924e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.73,0.035,0,0.044,0,1
40286,2.9564e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.76,0.029,0,0.05,0,1
40616,2.9645e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.79,0.006,0,0.048,0,1
41439,2.9852e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.82,0.019,0,0.075,0,1
42183,3.0034e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.85,0.008,0,-0.012,0,1
43010,3.0236e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.88,0.027,0,0.042,0,1
43808,3.0439e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.9,0.015,0,0.101,0,1
44633,3.0641e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.94,0.016,0,-0.032,0,1
45539,3.0867e+07,0,3,4.689e+08,2230,16,0.69,43.601,13.482,83.99,0.033,0,0.042,0,1
