LineNo,TimeUS,Type,Lat,Lng,Alt
24644,2.5646e+07,0,43.601,13.482,83.62
1.1583e+05,1.0782e+08,0,43.601,13.482,83.62
1.984e+05,1.7388e+08,0,43.601,13.482,83.62
2.5508e+05,1.8709e+08,0,43.601,13.482,83.62
