LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
3848,2.0418e+07,-0.15723,-0.0017771,-0.15546,-0.020987,0,0.00029962,0,1,0,1
3888,2.0428e+07,-0.15716,-0.0017361,-0.15543,-0.020983,0,0.00010058,0,1,0,1
3929,2.0438e+07,-0.1571,-0.0012262,-0.15588,-0.021043,0,-5.044e-05,0,1,0,1
3970,2.0448e+07,-0.15703,-0.0032806,-0.15375,-0.020756,0,0.00068404,0,1,0,1
4012,2.0459e+07,-0.15696,-0.0013943,-0.15557,-0.021002,0,4.5657e-05,0,1,0,1
4058,2.0469e+07,-0.15694,0.00057183,-0.15751,-0.021264,0,-0.00045068,0,1,0,1
4098,2.048e+07,-0.15691,0.00040114,-0.15731,-0.021237,0,-0.00041858,0,1,0,1
4140,2.049e+07,-0.15694,0.002154,-0.1591,-0.021478,0,-0.00057098,0,1,0,1
4181,2.05e+07,-0.15698,-0.00049399,-0.15648,-0.021125,0,0.00044659,0,1,0,1
4218,2.051e+07,-0.157,0.0016088,-0.15861,-0.021412,0,-0.00040729,0,1,0,1
4260,2.052e+07,-0.1571,0.001523,-0.15862,-0.021414,0,0.00017024,0,1,0,1
4300,2.053e+07,-0.15718,0.00034192,-0.15752,-0.021265,0,0.0005353,0,1,0,1
4341,2.054e+07,-0.15723,0.001141,-0.15837,-0.02138,0,-2.4428e-05,0,1,0,1
4381,2.055e+07,-0.15727,-0.00070381,-0.15656,-0.021136,0,0.00049312,0,1,0,1
4422,2.056e+07,-0.1573,0.0017255,-0.15903,-0.021469,0,-0.00040149,0,1,0,1
4469,2.0571e+07,-0.15735,-4.0602e-05,-0.15731,-0.021237,0,0.00039331,0,1,0,1
4509,2.0581e+07,-0.15735,-0.0018157,-0.15553,-0.020997,0,0.00065128,0,1,0,1
4551,2.0591e+07,-0.15732,-0.00076284,-0.15656,-0.021136,0,7.9168e-05,0,1,0,1
4594,2.0603e+07,-0.15728,-0.00083096,-0.15645,-0.021121,0,6.9527e-05,0,1,0,1
4638,2.0616e+07,-0.15724,-0.0010707,-0.15617,-0.021083,0,6.5293e-05,0,1,0,1
4679,2.0626e+07,-0.15722,1.3739e-05,-0.15724,-0.021227,0,-0.00014302,0,1,0,1
4719,2.0636e+07,-0.15723,2.0689e-06,-0.15723,-0.021226,0,1.4406e-05,0,1,0,1
4762,2.0646e+07,-0.15726,0.0015756,-0.15884,-0.021443,0,-0.00033916,0,1,0,1
4803,2.0656e+07,-0.15731,0.0018367,-0.15914,-0.021484,0,-0.00037255,0,1,0,1
