LineNo,TimeUS,RSErr,Mem,TS,NPkt,Nerr,Nerr2,NDel
5334,2.0785e+07,0,608,20686,6075,0,0,0
9340,2.1789e+07,0,608,21691,6558,0,0,0
13379,2.2834e+07,0,608,22735,7061,0,0,0
17560,2.3883e+07,0,608,23785,7566,0,0,0
21708,2.4924e+07,0,608,24826,8070,0,0,0
25970,2.5975e+07,0,608,25877,8569,0,0,0
30146,2.7024e+07,0,608,26925,9076,0,0,0
34346,2.8074e+07,0,608,27976,9582,0,0,0
38517,2.9118e+07,0,608,29020,10085,0,0,0
42549,3.0122e+07,0,608,30023,10569,0,0,0
46528,3.1123e+07,0,608,31024,11054,0,0,0
50714,3.2165e+07,0,608,32067,11557,0,0,0
54895,3.3209e+07,0,608,33110,12060,0,0,0
59071,3.4254e+07,0,608,34156,12566,0,0,0
63228,3.5301e+07,0,608,35203,13075,0,0,0
67355,3.635e+07,0,608,36252,13587,0,0,0
71505,3.7399e+07,0,608,37301,14097,0,0,0
75652,3.8444e+07,0,608,38346,14602,0,0,0
79671,3.9444e+07,0,608,39346,15088,0,0,0
83860,4.0495e+07,0,608,40396,15600,0,0,0
87819,4.1498e+07,0,608,41400,16088,0,0,0
91929,4.2536e+07,0,608,42438,16592,0,0,0
95882,4.3541e+07,0,608,43443,17079,0,0,0
1.0006e+05,4.459e+07,0,608,44492,17589,0,0,0
1.0419e+05,4.5634e+07,0,608,45536,18095,0,0,0
1.0832e+05,4.6682e+07,0,608,46584,18603,0,0,0
1.1228e+05,4.7681e+07,0,608,47583,19089,0,0,0
1.1732e+05,1.0816e+08,0,608,1.0806e+05,48761,0,0,0
1.2178e+05,1.092e+08,0,608,1.0911e+05,49264,0,0,0
1.2639e+05,1.1025e+08,0,608,1.1016e+05,49767,0,0,0
1.3081e+05,1.113e+08,0,608,1.1121e+05,50271,0,0,0
1.353e+05,1.1234e+08,0,608,1.1224e+05,50766,0,0,0
1.3979e+05,1.1338e+08,0,608,1.1329e+05,51271,0,0,0
1.4396e+05,1.1443e+08,0,608,1.1433e+05,51775,0,0,0
1.4806e+05,1.1547e+08,0,608,1.1538e+05,52274,0,0,0
1.5223e+05,1.1652e+08,0,608,1.1642e+05,52774,0,0,0
1.5638e+05,1.1756e+08,0,608,1.1747e+05,53277,0,0,0
1.6056e+05,1.1862e+08,0,608,1.1852e+05,53778,0,0,0
1.6469e+05,1.1966e+08,0,608,1.1957e+05,54278,0,0,0
1.6878e+05,1.207e+08,0,608,1.2061e+05,54779,0,0,0
1.7294e+05,1.2174e+08,0,608,1.2165e+05,55281,0,0,0
1.7712e+05,1.2279e+08,0,608,1.2269e+05,55782,0,0,0
1.8126e+05,1.2382e+08,0,608,1.2372e+05,56282,0,0,0
1.8545e+05,1.2487e+08,0,608,1.2478e+05,56783,0,0,0
1.896e+05,1.2592e+08,0,608,1.2582e+05,57286,0,0,0
1.9364e+05,1.2695e+08,0,608,1.2686e+05,57785,0,0,0
1.9782e+05,1.28e+08,0,608,1.279e+05,58290,0,0,0
2.0096e+05,1.7447e+08,0,608,1.7438e+05,81026,0,0,0
2.0548e+05,1.7552e+08,0,608,1.7543e+05,81530,0,0,0
2.0995e+05,1.7657e+08,0,608,1.7648e+05,82037,0,0,0
2.1457e+05,1.7763e+08,0,608,1.7753e+05,82544,0,0,0
2.1912e+05,1.7867e+08,0,608,1.7858e+05,83045,0,0,0
2.2363e+05,1.7971e+08,0,608,1.7962e+05,83542,0,0,0
2.2814e+05,1.8076e+08,0,608,1.8067e+05,84046,0,0,0
2.326e+05,1.8181e+08,0,608,1.8171e+05,84543,0,0,0
2.3712e+05,1.8285e+08,0,608,1.8275e+05,85042,0,0,0
2.4161e+05,1.839e+08,0,608,1.838e+05,85540,0,0,0
2.4604e+05,1.8494e+08,0,608,1.8485e+05,86033,0,0,0
2.5041e+05,1.8598e+08,0,608,1.8589e+05,86524,0,0,0
2.5481e+05,1.8702e+08,0,608,1.8693e+05,87014,0,0,0
2.5927e+05,1.8807e+08,0,608,1.8797e+05,87515,0,0,0
2.638e+05,1.8911e+08,0,608,1.8902e+05,88016,0,0,0
2.6828e+05,1.9015e+08,0,608,1.9006e+05,88513,0,0,0
2.7258e+05,1.912e+08,0,608,1.9111e+05,89013,0,0,0
2.7704e+05,1.9224e+08,0,608,1.9215e+05,89512,0,0,0
2.8139e+05,1.9328e+08,0,608,1.9318e+05,89998,0,0,0
2.8578e+05,1.9432e+08,0,608,1.9423e+05,90489,0,0,0
