LineNo,TimeUS,C15,C16,C17,C18
8301,2.1528e+07,0,0,0,0
8342,2.1539e+07,0,0,0,0
8382,2.1548e+07,0,0,0,0
8423,2.1559e+07,0,0,0,0
8464,2.1568e+07,0,0,0,0
8514,2.1582e+07,0,0,0,0
8555,2.1592e+07,0,0,0,0
8596,2.1602e+07,0,0,0,0
8637,2.1612e+07,0,0,0,0
8674,2.1622e+07,0,0,0,0
8715,2.1634e+07,0,0,0,0
8757,2.1645e+07,0,0,0,0
8798,2.1655e+07,0,0,0,0
8840,2.1665e+07,0,0,0,0
8881,2.1675e+07,0,0,0,0
8926,2.1685e+07,0,0,0,0
8966,2.1695e+07,0,0,0,0
9007,2.1705e+07,0,0,0,0
9047,2.1715e+07,0,0,0,0
9088,2.1725e+07,0,0,0,0
9126,2.1735e+07,0,0,0,0
9166,2.1746e+07,0,0,0,0
9207,2.1756e+07,0,0,0,0
9247,2.1766e+07,0,0,0,0
9288,2.1776e+07,0,0,0,0
9332,2.1786e+07,0,0,0,0
9376,2.1796e+07,0,0,0,0
9417,2.1806e+07,0,0,0,0
9457,2.1815e+07,0,0,0,0
9496,2.1825e+07,0,0,0,0
9541,2.1876e+07,0,0,0,0
9586,2.1886e+07,0,0,0,0
9627,2.1896e+07,0,0,0,0
9668,2.1906e+07,0,0,0,0
9708,2.1916e+07,0,0,0,0
9742,2.1926e+07,0,0,0,0
9783,2.1936e+07,0,0,0,0
9824,2.1946e+07,0,0,0,0
9865,2.1956e+07,0,0,0,0
9906,2.1966e+07,0,0,0,0
9947,2.1975e+07,0,0,0,0
9992,2.1986e+07,0,0,0,0
10033,2.1996e+07,0,0,0,0
10074,2.2006e+07,0,0,0,0
10114,2.2016e+07,0,0,0,0
10152,2.2026e+07,0,0,0,0
10192,2.2036e+07,0,0,0,0
10235,2.2046e+07,0,0,0,0
10275,2.2056e+07,0,0,0,0
10317,2.2066e+07,0,0,0,0
10357,2.2076e+07,0,0,0,0
10403,2.2086e+07,0,0,0,0
10443,2.2096e+07,0,0,0,0
10485,2.2106e+07,0,0,0,0
10526,2.2116e+07,0,0,0,0
10563,2.2126e+07,0,0,0,0
10604,2.2136e+07,0,0,0,0
10644,2.2147e+07,0,0,0,0
10686,2.2158e+07,0,0,0,0
10726,2.2168e+07,0,0,0,0
10768,2.2178e+07,0,0,0,0
10813,2.2188e+07,0,0,0,0
10853,2.2198e+07,0,0,0,0
10894,2.2209e+07,0,0,0,0
