LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
323,1.9493e+07,0.021203,0.00034847,0.011772,0.00037292,0.0007309
667,1.9559e+07,0.021212,0.000352,0.011782,0.00036436,0.00073407
894,1.9604e+07,0.021214,0.00034898,0.011787,0.00035438,0.00073541
1236,1.9765e+07,0.021202,0.00037258,0.011799,0.00033988,0.0007309
1512,1.9836e+07,0.021206,0.00038621,0.011779,0.00035012,0.00073497
1607,1.9858e+07,0.021231,0.00038485,0.011785,0.00034891,0.00074858
1647,1.9868e+07,0.021237,0.00038113,0.011785,0.00034629,0.00075559
1689,1.9878e+07,0.021253,0.00038128,0.011789,0.00034128,0.00076195
1730,1.9888e+07,0.021263,0.00037735,0.011795,0.00033607,0.00076841
1770,1.9901e+07,0.021252,0.00041835,0.0118,0.00033161,0.00077507
1811,1.9912e+07,0.021246,0.00041134,0.011801,0.00032697,0.0007799
1851,1.9922e+07,0.021248,0.00041419,0.011797,0.0003239,0.00078392
1893,1.9932e+07,0.021242,0.00040961,0.011791,0.00032091,0.00078614
1933,1.9942e+07,0.02123,0.00041359,0.011787,0.00032188,0.00078665
1974,1.9952e+07,0.021222,0.00041101,0.011788,0.00032208,0.00078576
2019,1.9962e+07,0.021219,0.00040618,0.01178,0.00032614,0.00078415
2062,1.9973e+07,0.021213,0.00040096,0.01177,0.00033662,0.0007793
2103,1.9983e+07,0.021203,0.00040162,0.011778,0.00036101,0.00076987
2143,1.9993e+07,0.021211,0.00042401,0.011787,0.00036392,0.00075634
2184,2.0004e+07,0.021225,0.0004327,0.01179,0.00035986,0.00074155
2225,2.0014e+07,0.021233,0.00042524,0.011791,0.00035374,0.00072683
2266,2.0024e+07,0.021244,0.00042062,0.011787,0.00035135,0.00071298
2307,2.0034e+07,0.021253,0.00041389,0.011781,0.00035301,0.00070108
2347,2.0044e+07,0.021259,0.00040873,0.011768,0.00035724,0.00069158
2390,2.0054e+07,0.021263,0.00040289,0.011763,0.00035512,0.00068489
2434,2.0064e+07,0.02126,0.00040253,0.011762,0.00035435,0.00068151
2475,2.0075e+07,0.021259,0.00039934,0.011755,0.00034987,0.00068189
2518,2.0085e+07,0.021255,0.00039417,0.011749,0.00034374,0.00068528
2558,2.0095e+07,0.021247,0.0003915,0.011751,0.00034793,0.00069228
2598,2.0105e+07,0.021245,0.00038632,0.01176,0.00035072,0.00070192
2636,2.0115e+07,0.021248,0.0003851,0.011757,0.00035537,0.0007134
2677,2.0125e+07,0.021245,0.00038405,0.01177,0.00037802,0.00072596
2718,2.0135e+07,0.021246,0.00038925,0.011772,0.00037777,0.0007404
2759,2.0146e+07,0.021253,0.00039229,0.011778,0.00037199,0.0007551
2800,2.0155e+07,0.021259,0.00038469,0.011784,0.00036573,0.00077056
2844,2.0165e+07,0.021267,0.0003811,0.011788,0.00036392,0.00078709
2886,2.0175e+07,0.021273,0.0003751,0.011791,0.00036071,0.00080461
