LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
4229,2.0509e+07,1,0,0,0.03,0,0,0.028616,0,0,0,50,65703,0,0
4271,2.0518e+07,1,0,0,0,0,0,0.028693,0,0,0,50,65703,0,0
4311,2.0529e+07,1,0,0,0,0.01,0,0.027339,0,0,0,50,65703,0,0
4352,2.0539e+07,1,0,0,0,0.01,0,0.027339,0,0,0,50,65703,0,0
4392,2.0549e+07,1,0,0,0,0.01,0,0.027412,0,0,0,50,65703,0,0
4433,2.0559e+07,1,0,0,0,0.01,0,0.027487,0,0,0,50,65703,0,0
4480,2.057e+07,1,0,0,0,0.01,0,0.027562,0,0,0,50,65703,0,0
4520,2.058e+07,1,0,0,0,0.01,0,0.027636,0,0,0,50,65703,0,0
4562,2.059e+07,1,0,0,0,0.01,0,0.027636,0,0,0,50,65703,0,0
4605,2.0602e+07,1,0,0,0,0.01,0,0.027712,0,0,0,50,65703,0,0
4649,2.0615e+07,1,0,0,0.01,0.01,0,0.027787,0,0,0,50,65703,0,0
4690,2.0625e+07,1,0,0,0.01,0.01,0,0.026513,0,0,0,50,65703,0,0
4730,2.0635e+07,1,0,0,0.01,0.01,0,0.026513,0,0,0,50,65703,0,0
4773,2.0645e+07,1,0,0,0.01,0.01,0,0.026585,0,0,0,50,65703,0,0
4814,2.0655e+07,1,0,0,0.01,0.01,0,0.026654,0,0,0,50,65703,0,0
4855,2.0665e+07,1,0,0,0.01,0.01,0,0.026726,0,0,0,50,65703,0,0
4900,2.0676e+07,1,0,0,0.01,0.01,0,0.026726,0,0,0,50,65703,0,0
4941,2.0686e+07,1,0,0,0.01,0.01,0,0.026798,0,0,0,50,65703,0,0
4982,2.0696e+07,1,0,0,0.01,0.01,0,0.02687,0,0,0,50,65703,0,0
5023,2.0706e+07,1,0,0,0.01,0.01,0,0.026941,0,0,0,50,65703,0,0
5064,2.0719e+07,1,0,0,0.01,0.01,0,0.027013,0,0,0,50,65703,0,0
5104,2.0729e+07,1,0,0,0.01,0.01,0,0.027013,0,0,0,50,65703,0,0
5146,2.0739e+07,1,0,0,0.01,0,0,0.025796,0,0,0,50,65703,0,0
5187,2.0749e+07,1,0,0,0.01,0,0,0.025864,0,0,0,50,65703,0,0
5227,2.0759e+07,1,0,0,0.01,0,0,0.025933,0,0,0,50,65703,0,0
5272,2.0769e+07,1,0,0,0.01,0,0,0.025933,0,0,0,50,65703,0,0
5313,2.078e+07,1,0,0,0.01,0,0,0.026002,0,0,0,50,65703,0,0
5357,2.079e+07,1,0,0,0.01,0,0,0.026071,0,0,0,50,65703,0,0
5400,2.08e+07,1,0,0,0.01,0,0,0.02614,0,0,0,50,65703,0,0
5440,2.081e+07,1,0,0,0.01,0,0,0.026209,0,0,0,50,65703,0,0
5478,2.0822e+07,1,0,0,0.01,0,0,0.026278,0,0,0,50,65703,0,0
5519,2.0832e+07,1,0,0,0.01,0,0,0.025093,0,0,0,50,65703,0,0
5563,2.0842e+07,1,0,0,0.01,0,0,0.025093,0,0,0,50,65703,0,0
5604,2.0853e+07,1,0,0,0.01,0,0,0.025159,0,0,0,50,65703,0,0
5644,2.0863e+07,1,0,0,0.01,0,0,0.025225,0,0,0,50,65703,0,0
5689,2.0873e+07,1,0,0,0.01,0,0,0.025225,0,0,0,50,65703,0,0
5729,2.0883e+07,1,0,0,0.01,0,0,0.025292,0,0,0,50,65703,0,0
5772,2.0893e+07,1,0,0,0.01,0,0,0.025358,0,0,0,50,65703,0,0
5812,2.0903e+07,1,0,0,0.01,0,0,0.025424,0,0,0,50,65703,0,0
5850,2.0914e+07,1,0,0,0.01,0,0,0.025424,0,0,0,50,65703,0,0
5889,2.0924e+07,1,0,0,0,0,0,0.025491,0,0,0,50,65703,0,0
5929,2.0934e+07,1,0,0,0,0,0,0.024397,0,0,0,50,65703,0,0
5971,2.0944e+07,1,0,0,0,0,0,0.024458,0,0,0,50,65703,0,0
6012,2.0954e+07,1,0,0,0,0,0,0.024523,0,0,0,50,65703,0,0
6052,2.0964e+07,1,0,0,0,0,0,0.024523,0,0,0,50,65703,0,0
6097,2.0974e+07,1,0,0,0,0,0,0.024586,0,0,0,50,65703,0,0
6137,2.0984e+07,1,0,0,0,0,0,0.024653,0,0,0,50,65703,0,0
6179,2.0994e+07,1,0,0,0,0,0,0.024717,0,0,0,50,65703,0,0
6220,2.1004e+07,1,0,0,0,0,0,0.024782,0,0,0,50,65703,0,0
6260,2.1014e+07,1,0,0,0,0,0,0.024782,0,0,0,50,65703,0,0
6298,2.1024e+07,1,0,0,0.04,0,0,0.024846,0,0,0,50,65703,0,0
6339,2.1034e+07,1,0,0,0.04,0,0,0.02378,0,0,0,50,65703,0,0
6383,2.1044e+07,1,0,0,0.04,0,0,0.023842,0,0,0,50,65703,0,0
