LineNo,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
6.0397e+05,2.73e+08,3025,4091,1.7863e+05,5911,15934,11962
6.0804e+05,2.74e+08,3025,4067,1.7774e+05,6193,16005,11829
6.1212e+05,2.75e+08,3025,4082,1.7852e+05,5111,16042,11605
6.162e+05,2.7601e+08,3025,4078,1.7839e+05,3554,16103,11605
6.203e+05,2.7701e+08,3025,4096,1.7893e+05,2943,15595,10857
6.244e+05,2.7802e+08,3025,4108,1.7952e+05,3131,16071,11292
6.2847e+05,2.7903e+08,3025,4065,1.7774e+05,5019,16106,11477
6.3255e+05,2.8003e+08,3025,4075,1.7821e+05,6820,16081,11857
6.3665e+05,2.8103e+08,3025,4100,1.7914e+05,6752,16139,12035
6.4068e+05,2.8203e+08,3025,4030,1.7623e+05,5506,16272,11590
6.4471e+05,2.8303e+08,3025,4026,1.761e+05,6977,16058,12007
6.4877e+05,2.8403e+08,3025,4063,1.7756e+05,7276,16255,12328
6.5287e+05,2.8504e+08,3025,4101,1.7927e+05,7913,16067,12191
6.5693e+05,2.8604e+08,3025,4060,1.7737e+05,5563,16130,11978
6.611e+05,2.8704e+08,3025,4164,1.8204e+05,5506,15969,12383
6.6525e+05,2.8804e+08,3025,4155,1.8163e+05,5155,16177,12341
6.6948e+05,2.8905e+08,3025,4230,1.8514e+05,3996,16101,12036
6.7369e+05,2.9005e+08,3025,4207,1.8446e+05,7075,16240,12065
6.7793e+05,2.9105e+08,3025,4238,1.856e+05,1331,16323,12075
6.8214e+05,2.9206e+08,3025,4210,1.8466e+05,7207,16066,12405
6.8642e+05,2.9306e+08,3025,4276,1.8735e+05,7886,16027,12529
6.9065e+05,2.9407e+08,3025,4225,1.8505e+05,7455,16130,12360
6.9486e+05,2.9507e+08,3025,4210,1.8459e+05,8690,16267,12645
6.9909e+05,2.9607e+08,3025,4230,1.8548e+05,9246,16288,12997
7.0332e+05,2.9708e+08,3025,4236,1.8585e+05,7334,16285,12728
7.0756e+05,2.9808e+08,3025,4234,1.8574e+05,8669,16200,12791
7.1179e+05,2.9908e+08,3025,4230,1.8556e+05,8712,16063,12623
7.1602e+05,3.0008e+08,3025,4227,1.8536e+05,8945,16254,12635
7.2018e+05,3.0108e+08,3025,4165,1.8287e+05,6898,16160,12555
7.2442e+05,3.0209e+08,3025,4233,1.8569e+05,7348,16328,12721
7.2865e+05,3.0309e+08,3025,4231,1.8558e+05,8907,16065,12707
