LineNo,TimeUS,C,Q1,Q2,Q3,Q4
308,1.9491e+07,0,0.97723,0.0043725,0.0046953,0.21207
652,1.9556e+07,0,0.97719,0.0043849,0.0047151,0.21229
879,1.9602e+07,0,0.97714,0.0043786,0.0047218,0.21248
1221,1.9763e+07,0,0.97706,0.0043506,0.004733,0.21289
1497,1.9834e+07,0,0.97701,0.0043553,0.0047108,0.21312
1592,1.9856e+07,0,0.977,0.0043744,0.0047222,0.21316
1632,1.9866e+07,0,0.97699,0.0043855,0.0047226,0.21319
1674,1.9876e+07,0,0.97699,0.0043979,0.0047321,0.2132
1715,1.9886e+07,0,0.97698,0.0044,0.0047389,0.21322
1755,1.9899e+07,0,0.97698,0.0043851,0.0047402,0.21324
1796,1.9909e+07,0,0.97698,0.004385,0.0047382,0.21324
1836,1.992e+07,0,0.97697,0.0043853,0.0047325,0.21326
1878,1.993e+07,0,0.97697,0.0043816,0.0047249,0.21327
1918,1.994e+07,0,0.97697,0.0043661,0.0047242,0.21328
1959,1.995e+07,0,0.97697,0.0043646,0.0047193,0.21329
2004,1.996e+07,0,0.97697,0.0043634,0.0047057,0.2133
2047,1.9971e+07,0,0.97697,0.0043571,0.0047006,0.2133
2088,1.9981e+07,0,0.97696,0.0043561,0.0047088,0.21332
2128,1.9991e+07,0,0.97696,0.0043649,0.0047143,0.21332
2169,2.0002e+07,0,0.97696,0.0043775,0.0047137,0.21332
2210,2.0012e+07,0,0.97696,0.0043863,0.004716,0.21333
2251,2.0022e+07,0,0.97696,0.0043972,0.0047112,0.21335
2292,2.0032e+07,0,0.97695,0.0044088,0.0047007,0.21337
2332,2.0042e+07,0,0.97695,0.0044184,0.0046932,0.21338
2375,2.0052e+07,0,0.97694,0.004423,0.0046862,0.2134
2419,2.0062e+07,0,0.97694,0.0044181,0.0046842,0.21344
2460,2.0072e+07,0,0.97693,0.0044227,0.0046782,0.21346
2503,2.0082e+07,0,0.97692,0.0044179,0.0046724,0.21349
2543,2.0093e+07,0,0.97691,0.0044111,0.0046739,0.21354
2583,2.0103e+07,0,0.97691,0.0044101,0.0046792,0.21357
2621,2.0113e+07,0,0.9769,0.0044155,0.0046769,0.2136
2662,2.0123e+07,0,0.97689,0.0044076,0.0046858,0.21363
2703,2.0134e+07,0,0.97689,0.0044155,0.0046898,0.21367
2744,2.0144e+07,0,0.97688,0.0044176,0.0046976,0.2137
2785,2.0153e+07,0,0.97687,0.0044236,0.0047002,0.21374
2829,2.0164e+07,0,0.97686,0.0044282,0.0047079,0.21378
2871,2.0174e+07,0,0.97685,0.004437,0.0047104,0.21382
2912,2.0183e+07,0,0.97684,0.0044454,0.0047132,0.21386
2953,2.0193e+07,0,0.97683,0.0044506,0.0047112,0.21392
2994,2.0203e+07,0,0.97682,0.0044547,0.0047118,0.21396
3032,2.0214e+07,0,0.97681,0.0044592,0.0047108,0.214
3073,2.0224e+07,0,0.97681,0.0044645,0.0047063,0.21402
3113,2.0234e+07,0,0.9768,0.0044564,0.0047055,0.21405
3154,2.0244e+07,0,0.9768,0.004449,0.004707,0.21407
3197,2.0254e+07,0,0.97679,0.004455,0.0046962,0.2141
3242,2.0264e+07,0,0.97679,0.0044473,0.0046908,0.21412
3283,2.0274e+07,0,0.97678,0.0044467,0.0046882,0.21414
3324,2.0284e+07,0,0.97678,0.0044436,0.0046737,0.21416
3365,2.0294e+07,0,0.97677,0.0044342,0.0046664,0.21419
3405,2.0304e+07,0,0.97677,0.0044308,0.004666,0.21421
3447,2.0314e+07,0,0.97676,0.0044251,0.0046542,0.21423
3487,2.0324e+07,0,0.97676,0.0044243,0.0046549,0.21425
3528,2.0334e+07,0,0.97675,0.0044313,0.0046491,0.21428
3568,2.0344e+07,0,0.97674,0.0044275,0.0046502,0.21431
3610,2.0355e+07,0,0.97674,0.0044283,0.0046542,0.21435
3658,2.0365e+07,0,0.97673,0.0044265,0.0046591,0.21438
3698,2.0376e+07,0,0.97672,0.0044335,0.0046639,0.2144
3739,2.0386e+07,0,0.97672,0.0044386,0.0046737,0.21443
3783,2.0396e+07,0,0.97671,0.0044338,0.0046744,0.21446
3820,2.0406e+07,0,0.97671,0.0044274,0.0046715,0.21448
3858,2.0417e+07,0,0.9767,0.0044163,0.0046751,0.2145
3898,2.0427e+07,0,0.9767,0.0044118,0.0046669,0.21453
3939,2.0437e+07,0,0.97669,0.004408,0.0046606,0.21455
3980,2.0447e+07,0,0.97669,0.0043954,0.0046535,0.21457
4022,2.0458e+07,0,0.97668,0.0043959,0.0046372,0.2146
4068,2.0468e+07,0,0.97667,0.0043977,0.0046388,0.21463
4108,2.0478e+07,0,0.97667,0.0043967,0.0046361,0.21466
4150,2.0488e+07,0,0.97666,0.0044053,0.0046416,0.21469
4191,2.0499e+07,0,0.97666,0.0044023,0.0046448,0.21471
4228,2.0509e+07,0,0.97665,0.0044122,0.0046461,0.21473
4270,2.0518e+07,0,0.97665,0.0044222,0.0046457,0.21474
