LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
1567,1.9847e+07,0,1.13,1.37,1.9,0.19,0,1,19814,200,-43.043
2355,2.0051e+07,0,1.13,1.36,1.89,0.13,0,1,20014,200,-43.043
3177,2.0253e+07,0,1.13,1.35,1.88,0.21,0,1,20214,200,-43.043
4006,2.0459e+07,0,1.13,1.34,1.87,0.12,0,1,20414,200,-43.044
4750,2.0642e+07,0,1.13,1.34,1.86,0.21,0,1,20614,200,-43.043
5546,2.0844e+07,0,1.13,1.33,1.85,0.18,0,1,20814,200,-43.043
6366,2.1045e+07,0,1.13,1.32,1.84,0.14,0,1,21014,200,-43.043
7187,2.125e+07,0,1.13,1.31,1.83,0.16,0,1,21214,200,-43.044
7988,2.1453e+07,0,1.13,1.3,1.82,0.12,0,1,21414,200,-43.043
8721,2.1636e+07,0,1.13,1.3,1.81,0.18,0,1,21614,200,-43.043
10204,2.2043e+07,0,1.13,1.28,1.79,0.2,0,1,22014,200,-43.043
11028,2.2246e+07,0,1.13,1.28,1.78,0.13,0,1,22214,200,-43.043
11857,2.2453e+07,0,1.13,1.27,1.78,0.17,0,1,22414,200,-43.043
12598,2.2637e+07,0,1.13,1.26,1.77,0.2,0,1,22614,200,-43.043
13388,2.284e+07,0,1.13,1.25,1.76,0.17,0,1,22814,200,-43.043
14213,2.3043e+07,0,1.13,1.25,1.75,0.17,0,1,23014,200,-43.044
15038,2.3249e+07,0,1.13,1.24,1.74,0.2,0,1,23214,200,-43.043
15778,2.3433e+07,0,1.13,1.24,1.73,0.16,0,1,23414,200,-43.043
16576,2.3638e+07,0,1.13,1.23,1.73,0.18,0,1,23614,200,-43.043
17392,2.3841e+07,0,1.13,1.22,1.72,0.17,0,1,23814,200,-43.043
18192,2.4046e+07,0,1.13,1.22,1.71,0.21,0,1,24014,200,-43.044
19012,2.4249e+07,0,1.13,1.21,1.7,0.21,0,1,24214,200,-43.043
19807,2.4452e+07,0,1.13,1.21,1.7,0.18,0,1,24414,200,-43.043
20548,2.4636e+07,0,1.13,1.2,1.69,0.2,0,1,24614,200,-43.043
21378,2.4841e+07,0,1.13,1.2,1.68,0.21,0,1,24814,200,-43.043
22206,2.5045e+07,0,1.13,1.19,1.67,0.16,0,1,25014,200,-43.043
23030,2.5251e+07,0,1.13,1.18,1.67,0.21,0,1,25214,200,-43.043
23779,2.5436e+07,0,1.13,1.18,1.66,0.19,0,1,25414,200,-43.043
24610,2.5643e+07,0,1.13,1.17,1.65,0.2,0,1,25614,200,-43.043
25440,2.5849e+07,0,1.13,1.17,1.65,0.21,0,1,25814,200,-43.043
26182,2.6033e+07,0,1.13,1.16,1.64,0.19,0,1,26014,200,-43.043
27000,2.6237e+07,0,1.13,1.16,1.63,0.21,0,1,26214,200,-43.043
27793,2.6438e+07,0,1.13,1.15,1.63,0.2,0,1,26414,200,-43.043
28612,2.6642e+07,0,1.13,1.15,1.62,0.19,0,1,26614,200,-43.043
29440,2.6844e+07,0,1.13,1.14,1.62,0.21,0,1,26814,200,-43.043
30264,2.705e+07,0,1.13,1.14,1.61,0.14,0,1,27014,200,-43.043
31003,2.7236e+07,0,1.13,1.13,1.6,0.17,0,1,27214,200,-43.043
31797,2.7439e+07,0,1.13,1.13,1.6,0.13,0,1,27414,200,-43.044
32611,2.7641e+07,0,1.13,1.12,1.59,0.19,0,1,27614,200,-43.044
33437,2.7845e+07,0,1.13,1.12,1.59,0.1,0,1,27814,200,-43.043
34231,2.8052e+07,0,1.13,1.12,1.58,0.19,0,1,28014,200,-43.043
34975,2.8238e+07,0,1.13,1.11,1.57,0.19,0,1,28214,200,-43.043
35800,2.8444e+07,0,1.13,1.11,1.57,0.17,0,1,28414,200,-43.043
36625,2.8648e+07,0,1.13,1.1,1.56,0.16,0,1,28614,200,-43.043
37450,2.8851e+07,0,1.13,1.1,1.56,0.21,0,1,28814,200,-43.043
38190,2.9037e+07,0,1.13,1.1,1.55,0.2,0,1,29014,200,-43.043
39009,2.924e+07,0,1.13,1.09,1.55,0.2,0,1,29214,200,-43.043
40287,2.9564e+07,0,1.13,1.09,1.54,0.2,0,1,29542,328,-43.043
40617,2.9645e+07,0,1.13,1.08,1.54,0.2,0,1,29626,84,-43.043
41440,2.9852e+07,0,1.13,1.08,1.53,0.21,0,1,29826,200,-43.043
42184,3.0034e+07,0,1.13,1.08,1.53,0.15,0,1,30026,200,-43.043
43011,3.0236e+07,0,1.13,1.07,1.52,0.19,0,1,30226,200,-43.043
43809,3.0439e+07,0,1.13,1.07,1.52,0.21,0,1,30426,200,-43.043
44634,3.0641e+07,0,1.13,1.07,1.51,0.2,0,1,30626,200,-43.043
45540,3.0867e+07,0,1.13,1.06,1.51,0.19,0,1,30826,200,-43.043
46245,3.105e+07,0,1.13,1.06,1.5,0.15,0,1,31026,200,-43.043
47068,3.1256e+07,0,1.13,1.06,1.5,0.16,0,1,31226,200,-43.043
47899,3.1461e+07,0,1.13,1.05,1.49,0.18,0,1,31426,200,-43.043
48636,3.1645e+07,0,1.13,1.05,1.49,0.19,0,1,31622,196,-43.043
49382,3.1831e+07,0,1.13,1.05,1.49,0.2,0,1,31822,200,-43.043
50177,3.2033e+07,0,1.13,1.05,1.48,0.2,0,1,32022,200,-43.043
51005,3.2238e+07,0,1.13,1.04,1.48,0.19,0,1,32222,200,-43.043
51795,3.2439e+07,0,1.13,1.04,1.48,0.19,0,1,32422,200,-43.043
52617,3.2641e+07,0,1.13,1.04,1.47,0.17,0,1,32622,200,-43.043
53445,3.2844e+07,0,1.13,1.04,1.47,0.19,0,1,32822,200,-43.043
54185,3.303e+07,0,1.13,1.04,1.47,0.19,0,1,33020,198,-43.043
55089,3.3252e+07,0,1.13,1.03,1.46,0.2,0,1,33220,200,-43.043
55801,3.3435e+07,0,1.13,1.03,1.46,0.12,0,1,33420,200,-43.043
56591,3.3638e+07,0,1.13,1.03,1.46,0.2,0,1,33620,200,-43.044
57420,3.3846e+07,0,1.13,1.03,1.45,0.22,0,1,33820,200,-43.043
58245,3.4052e+07,0,1.13,1.03,1.45,0.19,0,1,34020,200,-43.043
58992,3.4237e+07,0,1.13,1.03,1.45,0.22,0,1,34220,200,-43.043
59818,3.4447e+07,0,1.13,1.02,1.44,0.19,0,1,34420,200,-43.043
60639,3.465e+07,0,1.13,1.02,1.44,0.21,0,1,34620,200,-43.044
61458,3.4854e+07,0,1.13,1.02,1.44,0.2,0,1,34820,200,-43.043
62247,3.5055e+07,0,1.13,1.02,1.43,0.19,0,1,35020,200,-43.043
62984,3.524e+07,0,1.13,1.02,1.43,0.15,0,1,35220,200,-43.044
63807,3.5443e+07,0,1.13,1.02,1.43,0.2,0,1,35420,200,-43.043
64627,3.5648e+07,0,1.13,1.01,1.42,0.21,0,1,35620,200,-43.044
65408,3.5851e+07,0,1.13,1.01,1.42,0.22,0,1,35820,200,-43.044
66205,3.6053e+07,0,1.13,1.01,1.42,0.2,0,1,36020,200,-43.043
66986,3.6255e+07,0,1.13,1.01,1.41,0.22,0,1,36220,200,-43.043
67718,3.6438e+07,0,1.13,1.01,1.41,0.12,0,1,36420,200,-43.043
68501,3.6639e+07,0,1.13,1.01,1.41,0.16,0,1,36620,200,-43.043
69317,3.6842e+07,0,1.13,1.01,1.41,0.21,0,1,36820,200,-43.044
70127,3.7044e+07,0,1.13,1.01,1.4,0.24,0,1,37019,199,-43.043
70905,3.7247e+07,0,1.13,1.01,1.4,0.24,0,1,37219,200,-43.043
71715,3.745e+07,0,1.13,1.01,1.4,0.2,0,1,37419,200,-43.043
72520,3.7652e+07,0,1.13,1.01,1.4,0.19,0,1,37619,200,-43.043
73243,3.7836e+07,0,1.13,1.01,1.39,0.18,0,1,37819,200,-43.044
74028,3.8038e+07,0,1.13,1.01,1.39,0.22,0,1,38019,200,-43.044
74843,3.8241e+07,0,1.13,1.01,1.39,0.22,0,1,38219,200,-43.043
75570,3.8425e+07,0,1.13,1.01,1.39,0.25,0,1,38417,198,-43.043
76463,3.8648e+07,0,1.22,1.01,1.39,0.28,0,1,38617,200,-43.043
77272,3.8851e+07,0,1.22,1.01,1.39,0.26,0,1,38817,200,-43.043
78082,3.9052e+07,0,1.22,1.01,1.39,0.27,0,1,39017,200,-43.044
78820,3.9232e+07,0,1.13,1.01,1.39,0.3,0,1,39217,200,-43.043
79629,3.9435e+07,0,1.13,1.02,1.4,0.23,0,1,39417,200,-43.043
80434,3.9635e+07,0,1.15,1.02,1.41,0.34,0,1,39617,200,-43.043
81215,3.9837e+07,0,1.13,1.03,1.42,0.36,0,1,39815,198,-43.043
82026,4.0039e+07,0,1.13,1.03,1.42,0.32,0,1,40015,200,-43.043
