LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
306,1.9491e+07,0,0,0,0,0,0.26,0.92,0,0,0.5,0.00060632,0.0084379,0.016837
650,1.9556e+07,0,0,0,0,0,0.25,0.92,0,0,0.5,0.0010957,0.014443,0.03006
877,1.9602e+07,0,0,0,0,0,0.25,0.92,0,0,0.5,0.00099179,0.013401,0.028022
1219,1.9763e+07,0,0,0,0,0,0.25,0.92,0,0,0.5,0.00087797,0.012305,0.0258
1495,1.9834e+07,0,0,0,0,0,0.22,0.92,0,0,0.5,0.0016701,0.021563,0.046608
1590,1.9856e+07,0,0,0,0,0,0.22,0.92,0,0,0.5,0.0015899,0.020328,0.043989
1630,1.9866e+07,0,0,0,0,0,0.22,0.92,0,0,0.5,0.0015899,0.020328,0.043989
1672,1.9876e+07,0,0,0,0,0,0.23,0.92,0,0,0.5,0.0015627,0.019749,0.04153
1713,1.9886e+07,0,0,0,0,0,0.24,0.92,0,0,0.5,0.0015353,0.019129,0.040292
1753,1.9899e+07,0,0,0,0,0,0.24,0.92,0,0,0.5,0.0015114,0.022033,0.047444
1794,1.9909e+07,0,0,0,0,0,0.25,0.92,0,0,0.5,0.0017492,0.021275,0.04593
1834,1.992e+07,0,0,0,0,0,0.26,0.92,0,0,0.5,0.0017272,0.020557,0.044587
1876,1.993e+07,0,0,0,0,0,0.26,0.92,0,0,0.5,0.0017272,0.020557,0.044587
1916,1.994e+07,0,0,0,0,0,0.26,0.92,0,0,0.5,0.0016782,0.019838,0.043189
1957,1.995e+07,0,0,0,0,0,0.27,0.92,0,0,0.5,0.0016395,0.019153,0.041797
2002,1.996e+07,0,0,0,0,0,0.27,0.92,0,0,0.5,0.0015957,0.0185,0.040436
2045,1.9971e+07,0,0,0,0,0,0.28,0.92,0,0,0.5,0.0015421,0.017878,0.039223
2086,1.9981e+07,0,0,0,0,0,0.29,0.92,0,0,0.5,0.001465,0.017284,0.038014
2126,1.9991e+07,0,0,0,0,0,0.29,0.92,0,0,0.5,0.001465,0.017284,0.038014
2167,2.0002e+07,0,0,0,0,0,0.31,0.92,0,0,0.5,0.0013899,0.0096761,0.020423
2208,2.0012e+07,0,0,0,0,0,0.32,0.92,0,0,0.5,0.0010944,0.0094816,0.020106
2249,2.0022e+07,0,0,0,0,0,0.32,0.92,0,0,0.5,0.00098615,0.0092951,0.01979
2290,2.0032e+07,0,0,0,0,0,0.33,0.92,0,0,0.5,0.00087397,0.0091171,0.019463
2330,2.0042e+07,0,0,0,0,0,0.33,0.92,0,0,0.5,0.000766,0.008945,0.01915
2373,2.0052e+07,0,0,0,0,0,0.33,0.92,0,0,0.5,0.000766,0.008945,0.01915
2417,2.0062e+07,0,0,0,0,0,0.34,0.92,0,0,0.5,0.00066274,0.0087817,0.018831
2458,2.0072e+07,0,0,0,0,0,0.34,0.92,0,0,0.5,0.00058339,0.00863,0.018503
2501,2.0082e+07,0,0,0,0,0,0.35,0.92,0,0,0.5,0.00048568,0.008482,0.018201
2541,2.0093e+07,0,0,0,0,0,0.36,0.92,0,0,0.5,0.0003918,0.0083389,0.017893
2581,2.0103e+07,0,0,0,0,0,0.36,0.92,0,0,0.5,0.0003918,0.0083389,0.017893
2619,2.0113e+07,0,0,0,0,0,0.35,0.92,0,0,0.5,0.0004329,0.0116,0.025505
2660,2.0123e+07,0,0,0,0,0,0.36,0.92,0,0,0.5,0.00036265,0.011311,0.02485
2701,2.0134e+07,0,0,0,0,0,0.37,0.92,0,0,0.5,0.0002987,0.011034,0.024209
2742,2.0144e+07,0,0,0,0,0,0.37,0.92,0,0,0.5,0.000242,0.010769,0.023606
2783,2.0153e+07,0,0,0,0,0,0.37,0.92,0,0,0.5,0.000242,0.010769,0.023606
2827,2.0164e+07,0,0,0,0,0,0.38,0.92,0,0,0.5,0.00019178,0.010514,0.023027
2869,2.0174e+07,0,0,0,0,0,0.38,0.92,0,0,0.5,0.00013998,0.010269,0.022493
2910,2.0183e+07,0,0,0,0,0,0.39,0.92,0,0,0.5,0.00010339,0.010032,0.021944
2951,2.0193e+07,0,0,0,0,0,0.4,0.92,0,0,0.5,7.9176e-05,0.0098058,0.021406
2992,2.0203e+07,0,0,0,0,0,0.4,0.92,0,0,0.5,7.9176e-05,0.0098058,0.021406
3030,2.0214e+07,0,0,0,0,0,0.38,0.92,0,0,0.5,0.00081623,0.019293,0.043925
3071,2.0224e+07,0,0,0,0,0,0.38,0.92,0,0,0.5,0.00079036,0.018591,0.042347
3111,2.0234e+07,0,0,0,0,0,0.39,0.92,0,0,0.5,0.00076909,0.017922,0.040858
3152,2.0244e+07,0,0,0,0,0,0.4,0.92,0,0,0.5,0.00075155,0.017282,0.039412
3195,2.0254e+07,0,0,0,0,0,0.4,0.92,0,0,0.5,0.00075155,0.017282,0.039412
3240,2.0264e+07,0,0,0,0,0,0.4,0.92,0,0,0.5,0.00073771,0.016673,0.038049
3281,2.0274e+07,0,0,0,0,0,0.41,0.92,0,0,0.5,0.00072685,0.01609,0.036726
3322,2.0284e+07,0,0,0,0,0,0.41,0.92,0,0,0.5,0.00071907,0.015534,0.035478
3363,2.0294e+07,0,0,0,0,0,0.42,0.92,0,0,0.5,0.00071358,0.015002,0.034265
3403,2.0304e+07,0,0,0,0,0,0.42,0.92,0,0,0.5,0.00071358,0.015002,0.034265
3445,2.0314e+07,0,0,0,0,0,0.43,0.92,0,0,0.5,0.00090563,0.012644,0.028656
3485,2.0324e+07,0,0,0,0,0,0.44,0.92,0,0,0.5,0.00085427,0.01223,0.027763
3526,2.0334e+07,0,0,0,0,0,0.44,0.92,0,0,0.5,0.00080459,0.011835,0.026885
3566,2.0344e+07,0,0,0,0,0,0.45,0.92,0,0,0.5,0.00075673,0.011456,0.026052
3608,2.0355e+07,0,0,0,0,0,0.45,0.92,0,0,0.5,0.00070932,0.011093,0.025234
3656,2.0365e+07,0,0,0,0,0,0.46,0.92,0,0,0.5,0.00066293,0.010744,0.024459
3696,2.0376e+07,0,0,0,0,0,0.46,0.92,0,0,0.5,0.00066293,0.010744,0.024459
3737,2.0386e+07,0,0,0,0,0,0.46,0.92,0,0,0.5,0.00061688,0.010412,0.023699
3781,2.0396e+07,0,0,0,0,0,0.47,0.92,0,0,0.5,0.00057123,0.010094,0.022978
3818,2.0406e+07,0,0,0,0,0,0.44,0.92,0,0,0.5,0.00080682,0.024297,0.057343
3856,2.0417e+07,0,0,0,0,0,0.45,0.92,0,0,0.5,0.00075025,0.023291,0.055023
3896,2.0427e+07,0,0,0,0,0,0.45,0.92,0,0,0.5,0.00075025,0.023291,0.055023
3937,2.0437e+07,0,0,0,0,0,0.45,0.92,0,0,0.5,0.00069705,0.022335,0.052834
3978,2.0447e+07,0,0,0,0,0,0.46,0.92,0,0,0.5,0.00064638,0.021418,0.050708
4020,2.0458e+07,0,0,0,0,0,0.46,0.92,0,0,0.5,0.00060878,0.020543,0.048651
4066,2.0468e+07,0,0,0,0,0,0.47,0.92,0,0,0.5,0.00057265,0.019706,0.046659
4106,2.0478e+07,0,0,0,0,0,0.47,0.92,0,0,0.5,0.00052995,0.018917,0.044856
4148,2.0488e+07,0,0,0,0,0,0.47,0.92,0,0,0.5,0.00052995,0.018917,0.044856
4189,2.0499e+07,0,0,0,0,0,0.48,0.92,0,0,0.5,0.00049022,0.01816,0.043083
4226,2.0509e+07,0,0,0,0,0,0.49,0.92,0,0,0.5,0.0012104,0.016425,0.038924
4268,2.0518e+07,0,0,0,0,0,0.49,0.92,0,0,0.5,0.0011592,0.015753,0.037408
4308,2.0529e+07,0,0,0,0,0,0.5,0.92,0,0,0.5,0.0011118,0.015111,0.035994
4349,2.0539e+07,0,0,0,0,0,0.5,0.92,0,0,0.5,0.001068,0.014499,0.034591
4389,2.0549e+07,0,0,0,0,0,0.5,0.92,0,0,0.5,0.001068,0.014499,0.034591
4430,2.0559e+07,0,0,0,0,0,0.51,0.92,0,0,0.5,0.0010273,0.013915,0.033258
4477,2.057e+07,0,0,0,0,0,0.52,0.92,0,0,0.5,0.00098996,0.013357,0.031954
4517,2.058e+07,0,0,0,0,0,0.52,0.92,0,0,0.5,0.00096243,0.012824,0.030682
4559,2.059e+07,0,0,0,0,0,0.53,0.92,0,0,0.5,0.00092998,0.012316,0.029496
4602,2.0602e+07,0,0,0,0,0,0.52,0.92,0,0,0.5,0.00090007,0.018171,0.043909
4646,2.0615e+07,0,0,0,0,0,0.52,0.92,0,0,0.5,0.0018062,0.0174,0.042053
4687,2.0625e+07,0,0,0,0,0,0.53,0.92,0,0,0.5,0.0017331,0.016666,0.040297
4727,2.0635e+07,0,0,0,0,0,0.53,0.92,0,0,0.5,0.0017331,0.016666,0.040297
4770,2.0645e+07,0,0,0,0,0,0.53,0.92,0,0,0.5,0.0016632,0.015966,0.038632
4811,2.0655e+07,0,0,0,0,0,0.54,0.92,0,0,0.5,0.0015961,0.015296,0.037032
4852,2.0665e+07,0,0,0,0,0,0.54,0.92,0,0,0.5,0.0015315,0.014656,0.035479
4897,2.0676e+07,0,0,0,0,0,0.55,0.92,0,0,0.5,0.0014821,0.014046,0.03397
4938,2.0686e+07,0,0,0,0,0,0.55,0.92,0,0,0.5,0.0014821,0.014046,0.03397
4979,2.0696e+07,0,0,0,0,0,0.55,0.92,0,0,0.5,0.0014216,0.013465,0.032542
5020,2.0706e+07,0,0,0,0,0,0.56,0.92,0,0,0.5,0.0013638,0.012911,0.031188
5061,2.0719e+07,0,0,0,0,0,0.58,0.92,0,0,0.5,0.00096568,0.0052758,0.012263
