LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
1.1594e+05,1.0784e+08,1,0,0,0,0,0,0,0,0,0,0
1.1598e+05,1.0785e+08,1,0,0,0,0,0,0,0,0,0,0
1.1603e+05,1.0786e+08,1,0,0,0,0,0,0,0,0,0,0
1.1607e+05,1.0787e+08,1,0,0,0,0,0,0,0,0,0,0
1.1612e+05,1.0788e+08,1,0,0,0,0,0,0,0,0,0,0
1.1616e+05,1.0789e+08,1,0,0,0,0,0,0,0,0,0,0
1.1621e+05,1.0791e+08,1,0,0,0,0,0,0,0,0,0,0
1.1625e+05,1.0791e+08,1,0,0,0,0,0,0,0,0,0,0
1.163e+05,1.0792e+08,1,0,0,0,0,0,0,0,0,0,0
1.1634e+05,1.0794e+08,1,0,0,0,0,0,0,0,0,0,0
1.1639e+05,1.0795e+08,1,0,0,0,0,0,0,0,0,0,0
1.1643e+05,1.0796e+08,1,0,0,0,0,0,0,0,0,0,0
1.1648e+05,1.0797e+08,1,0,0,0,0,0,0,0,0,0,0
1.1653e+05,1.0798e+08,1,0,0,0,0,0,0,0,0,0,0
1.1657e+05,1.0799e+08,1,0,0,0,0,0,0,0,0,0,0
1.1662e+05,1.08e+08,1,0,0,0,0,0,0,0,0,0,0
1.1666e+05,1.0801e+08,1,0,0,0,0,0,0,0,0,0,0
1.1671e+05,1.0802e+08,1,0,0,0,0,0,0,0,0,0,0
1.1676e+05,1.0803e+08,1,0,0,0,0,0,0,0,0,0,0
1.168e+05,1.0804e+08,1,0,0,0,0,0,0,0,0,0,0
1.1684e+05,1.0805e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1688e+05,1.0806e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1693e+05,1.0807e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1698e+05,1.0808e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1702e+05,1.0809e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1707e+05,1.081e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1711e+05,1.0811e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1716e+05,1.0812e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1721e+05,1.0813e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1725e+05,1.0814e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.173e+05,1.0815e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1734e+05,1.0817e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1739e+05,1.0818e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1743e+05,1.0819e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
1.1748e+05,1.082e+08,1,0.18681,-0.31528,-0.40516,0.041385,0.40725,0.37986,0.31122,-0.18751,-0.42711,-0.076456
