LineNo,TimeUS,C,MI,BI,GI,AI,SS
313,1.9491e+07,1,0,0,0,0,0
657,1.9556e+07,1,0,0,0,0,0
884,1.9602e+07,1,0,0,0,0,0
1226,1.9763e+07,1,0,0,0,0,0
1502,1.9834e+07,1,0,0,0,0,0
1597,1.9856e+07,1,0,0,0,0,0
1637,1.9866e+07,1,0,0,0,0,0
1679,1.9876e+07,1,0,0,0,0,0
1720,1.9886e+07,1,0,0,0,0,0
1760,1.9899e+07,1,0,0,0,0,0
1801,1.9909e+07,1,0,0,0,0,0
1841,1.992e+07,1,0,0,0,0,0
1883,1.993e+07,1,0,0,0,0,0
1923,1.994e+07,1,0,0,0,0,0
1964,1.995e+07,1,0,0,0,0,0
2009,1.996e+07,1,0,0,0,0,0
2052,1.9971e+07,1,0,0,0,0,0
2093,1.9981e+07,1,0,0,0,0,0
2133,1.9991e+07,1,0,0,0,0,0
2174,2.0002e+07,1,0,0,0,0,0
2215,2.0012e+07,1,0,0,0,0,0
2256,2.0022e+07,1,0,0,0,0,0
2297,2.0032e+07,1,0,0,0,0,0
2337,2.0042e+07,1,0,0,0,0,0
2380,2.0052e+07,1,0,0,0,0,0
2424,2.0062e+07,1,0,0,0,0,0
2465,2.0072e+07,1,0,0,0,0,0
2508,2.0082e+07,1,0,0,0,0,0
2548,2.0093e+07,1,0,0,0,0,0
2588,2.0103e+07,1,0,0,0,0,0
2626,2.0113e+07,1,0,0,0,0,0
2667,2.0123e+07,1,0,0,0,0,0
2708,2.0134e+07,1,0,0,0,0,0
2749,2.0144e+07,1,0,0,0,0,0
2790,2.0153e+07,1,0,0,0,0,0
2834,2.0164e+07,1,0,0,0,0,0
2876,2.0174e+07,1,0,0,0,0,0
2917,2.0183e+07,1,0,0,0,0,0
2958,2.0193e+07,1,0,0,0,0,0
2999,2.0203e+07,1,0,0,0,0,0
3037,2.0214e+07,1,0,0,0,0,0
3078,2.0224e+07,1,0,0,0,0,0
3118,2.0234e+07,1,0,0,0,0,0
3159,2.0244e+07,1,0,0,0,0,0
3202,2.0254e+07,1,0,0,0,0,0
3247,2.0264e+07,1,0,0,0,0,0
3288,2.0274e+07,1,0,0,0,0,0
3329,2.0284e+07,1,0,0,0,0,0
3370,2.0294e+07,1,0,0,0,0,0
3412,2.0304e+07,1,0,0,0,0,0
3452,2.0314e+07,1,0,0,0,0,0
3492,2.0324e+07,1,0,0,0,0,0
3533,2.0334e+07,1,0,0,0,0,0
3573,2.0344e+07,1,0,0,0,0,0
3615,2.0355e+07,1,0,0,0,0,0
3663,2.0365e+07,1,0,0,0,0,0
3703,2.0376e+07,1,0,0,0,0,0
