LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
316,1.9492e+07,43.601,13.482,81.77,-0.8025,-0.64075
660,1.9559e+07,43.601,13.482,81.77,-0.8025,-0.64166
887,1.9604e+07,43.601,13.482,81.77,-0.8025,-0.64398
1229,1.9765e+07,43.601,13.482,81.79,-0.90988,-0.62758
1505,1.9836e+07,43.601,13.482,81.79,-0.90988,-0.59907
1600,1.9858e+07,43.601,13.482,81.83,-0.74599,-0.59208
1640,1.9868e+07,43.601,13.482,81.83,-0.74599,-0.58668
1682,1.9878e+07,43.601,13.482,81.83,-0.74599,-0.58329
1723,1.9888e+07,43.601,13.482,81.83,-0.74599,-0.57986
1763,1.9901e+07,43.601,13.482,81.83,-0.74599,-0.57536
1804,1.9912e+07,43.601,13.482,81.83,-0.74599,-0.57226
1844,1.9922e+07,43.601,13.482,81.83,-0.74599,-0.56863
1886,1.9932e+07,43.601,13.482,81.83,-0.74599,-0.56376
1926,1.9942e+07,43.601,13.482,81.83,-0.74599,-0.56056
1967,1.9952e+07,43.601,13.482,81.83,-0.74599,-0.5573
2012,1.9962e+07,43.601,13.482,81.83,-0.45777,-0.55398
2055,1.9972e+07,43.601,13.482,81.83,-0.45777,-0.55013
2096,1.9983e+07,43.601,13.482,81.83,-0.45777,-0.54671
2136,1.9993e+07,43.601,13.482,81.83,-0.45777,-0.54188
2177,2.0004e+07,43.601,13.482,81.83,-0.45777,-0.53753
2218,2.0013e+07,43.601,13.482,81.83,-0.45777,-0.5327
2259,2.0024e+07,43.601,13.482,81.83,-0.45777,-0.52833
2300,2.0034e+07,43.601,13.482,81.83,-0.45777,-0.52396
2340,2.0044e+07,43.601,13.482,81.83,-0.45777,-0.51958
2383,2.0054e+07,43.601,13.482,81.87,-0.45777,-0.51474
2427,2.0064e+07,43.601,13.482,81.87,-0.63861,-0.51036
2468,2.0074e+07,43.601,13.482,81.87,-0.63861,-0.50596
2511,2.0085e+07,43.601,13.482,81.87,-0.63861,-0.50155
2551,2.0095e+07,43.601,13.482,81.87,-0.63861,-0.49665
2591,2.0105e+07,43.601,13.482,81.87,-0.63861,-0.49183
2629,2.0115e+07,43.601,13.482,81.87,-0.63861,-0.48782
2670,2.0125e+07,43.601,13.482,81.87,-0.63861,-0.48378
2711,2.0135e+07,43.601,13.482,81.87,-0.63861,-0.47972
2752,2.0145e+07,43.601,13.482,81.87,-0.63861,-0.47563
2793,2.0155e+07,43.601,13.482,81.87,-0.63861,-0.47081
2837,2.0165e+07,43.601,13.482,81.87,-0.75729,-0.46671
2879,2.0175e+07,43.601,13.482,81.87,-0.75729,-0.46258
2920,2.0186e+07,43.601,13.482,81.87,-0.75729,-0.45843
2961,2.0196e+07,43.601,13.482,81.87,-0.75729,-0.45426
3002,2.0205e+07,43.601,13.482,81.87,-0.75729,-0.44945
3040,2.0216e+07,43.601,13.482,81.87,-0.75729,-0.44599
3081,2.0226e+07,43.601,13.482,81.87,-0.75729,-0.44295
3121,2.0235e+07,43.601,13.482,81.87,-0.75729,-0.43985
3162,2.0246e+07,43.601,13.482,81.87,-0.75729,-0.43668
3205,2.0256e+07,43.601,13.482,81.91,-0.75729,-0.4319
