LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
297,1.9492e+07,-9.0068,0.10755,-0.022081,-4.979,0.072332,-0.013012,0.79204,0.59308,0.00070411,-5.3375,1.1441,0
641,1.9558e+07,-9.0155,0.10853,-0.021984,-4.987,0.0082333,-0.011552,0.79228,0.54218,0.00078596,-5.3375,-0.48761,0
868,1.9603e+07,-9.0136,-0.0045276,-0.021165,-4.9906,0.0091053,-0.011655,0.79229,0.68648,0.00069873,-5.3375,1.4913,0
1210,1.9764e+07,-9.0014,-0.16089,-0.020653,-4.9981,0.067832,-0.012024,0.79232,0.58747,0.0006967,-5.3375,-2.4649,0
1486,1.9835e+07,-9.002,0.15948,-0.022366,-4.9859,0.03002,-0.012083,0.79211,0.35161,0.0008436,-5.3375,1.6993,0
1581,1.9857e+07,-9.0129,0.11181,-0.021436,-4.9893,0.096647,-0.012271,0.79227,0.4786,0.0009106,-5.3375,-2.236,0
1621,1.9867e+07,-9.0184,0.10353,-0.021641,-4.9881,-0.0077035,-0.011458,0.79232,0.54228,0.00090567,-5.3375,-2.8267,0
1663,1.9877e+07,-9.0258,0.17099,-0.021935,-4.9915,0.057123,-0.012001,0.79243,0.45663,0.0009085,-5.3375,-1.6158,0
1704,1.9887e+07,-9.0279,0.055936,-0.02097,-4.9948,0.077049,-0.012048,0.7925,0.50123,0.00091341,-5.3375,-1.8291,0
1744,1.99e+07,-9.0205,-0.15238,-0.020163,-4.9971,0.035695,-0.011702,0.7925,0.5373,0.00088256,-5.3375,-1.1126,0
1785,1.9911e+07,-9.0202,-0.040093,-0.021388,-4.996,0.007025,-0.011636,0.79248,0.4542,0.00089684,-5.3375,-0.56295,0
1825,1.9921e+07,-9.0197,-0.026255,-0.021029,-4.993,-0.034965,-0.011477,0.79243,0.63282,0.00085762,-5.3375,-0.87223,0
1867,1.9931e+07,-9.0171,-0.075986,-0.020835,-4.9897,-0.066204,-0.011424,0.79233,0.65866,0.0008214,-5.3375,0.058842,0
1907,1.9941e+07,-9.009,-0.19877,-0.02004,-4.9909,0.051361,-0.012527,0.79229,0.63099,0.00078703,-5.3375,-0.030231,0
1948,1.9951e+07,-9.0077,-0.040566,-0.021529,-4.9885,-0.010312,-0.011626,0.79224,0.60002,0.00075328,-5.3375,0.016022,0
1993,1.9961e+07,-8.9921,-0.056365,-0.020997,-5.0061,-0.13214,-0.010812,0.08731,0.54063,0.00073084,-5.3375,-0.51126,0
2036,1.9972e+07,-8.9883,-0.07394,-0.020819,-5.0042,-0.01813,-0.012333,0.087249,0.41555,0.00059481,-5.3375,-1.1616,0
2077,1.9982e+07,-8.989,-0.018216,-0.021626,-5.0085,0.11259,-0.012799,0.087309,0.62737,0.00040016,-5.3375,-0.83628,0
2117,1.9992e+07,-8.9941,0.13801,-0.022293,-5.0104,0.044992,-0.011708,0.087388,0.49313,0.00018192,-5.3375,0.7432,0
2158,2.0003e+07,-9.0004,0.11328,-0.021392,-5.0087,-0.0051641,-0.011475,0.08744,0.38743,4.5481e-05,-5.3375,1.7509,0
2199,2.0013e+07,-9.0048,0.076455,-0.02122,-5.0087,0.0093954,-0.011789,0.087446,0.39665,-6.3986e-05,-5.3375,1.4046,0
2240,2.0023e+07,-9.0099,0.099117,-0.021342,-5.0051,-0.059855,-0.011384,0.08744,0.52414,-0.00019596,-5.3375,0.98724,0
2281,2.0033e+07,-9.0148,0.099697,-0.021423,-4.9985,-0.14572,-0.010715,0.087369,0.52101,-0.0003317,-5.3375,-0.13199,0
2321,2.0044e+07,-9.0188,0.099011,-0.021602,-4.9936,-0.10367,-0.011589,0.087342,0.44824,-0.00042631,-5.3375,-1.9485,0
2364,2.0054e+07,-9.0203,0.014485,-0.020927,-4.9895,-0.09287,-0.01139,0.087262,0.49139,-0.00053112,-5.3375,-1.9629,0
2408,2.0064e+07,-9.0175,-0.050718,-0.020752,-4.9889,-0.036576,-0.01163,0.087267,0.5674,-0.00063256,-5.3375,-2.3126,0
