LineNo,TimeUS,Id,Pri,Total,Free,Name
7568,2.1346e+07,4,183,1360,1008,0
16986,2.3741e+07,4,183,1360,1008,0
26431,2.6093e+07,4,183,1360,1008,0
35924,2.8473e+07,4,183,1360,1008,0
45373,3.0827e+07,4,183,1360,1008,0
54602,3.3136e+07,4,183,1360,1008,0
63934,3.5476e+07,4,183,1360,1008,0
73337,3.7859e+07,4,183,1360,1008,0
82601,4.018e+07,4,183,1360,1008,0
91857,4.2518e+07,4,183,1360,1008,0
1.0112e+05,4.4866e+07,4,183,1360,1008,0
1.1034e+05,4.7197e+07,4,183,1360,1008,0
1.1758e+05,1.0822e+08,4,183,1360,1008,0
1.2867e+05,1.108e+08,4,183,1360,1008,0
1.3966e+05,1.1335e+08,4,183,1360,1008,0
1.4935e+05,1.1579e+08,4,183,1360,1008,0
1.5899e+05,1.1822e+08,4,183,1360,1008,0
1.6882e+05,1.2071e+08,4,183,1360,1008,0
1.7861e+05,1.2316e+08,4,183,1360,1008,0
1.8836e+05,1.256e+08,4,183,1360,1008,0
1.9799e+05,1.2804e+08,4,183,1360,1008,0
2.0178e+05,1.7466e+08,4,183,1360,1008,0
2.1234e+05,1.7712e+08,4,183,1360,1008,0
2.2336e+05,1.7965e+08,4,183,1360,1008,0
2.3414e+05,1.8216e+08,4,183,1360,1008,0
2.4469e+05,1.8463e+08,4,183,1360,1008,0
2.5558e+05,1.872e+08,4,183,1360,1008,0
2.6639e+05,1.8972e+08,4,183,1360,1008,0
2.7749e+05,1.9235e+08,4,183,1360,1008,0
2.8841e+05,1.9496e+08,4,183,1360,1008,0
2.9907e+05,1.9753e+08,4,183,1360,1008,0
3.095e+05,2.0012e+08,4,183,1360,1008,0
3.2e+05,2.0271e+08,4,183,1360,1008,0
3.3066e+05,2.0547e+08,4,183,1360,1008,0
3.4093e+05,2.08e+08,4,183,1360,1008,0
3.5123e+05,2.1054e+08,4,183,1360,1008,0
3.6131e+05,2.1301e+08,4,183,1360,1008,0
3.717e+05,2.1556e+08,4,183,1360,1008,0
3.8224e+05,2.1814e+08,4,183,1360,1008,0
3.9272e+05,2.2071e+08,4,183,1360,1008,0
4.0329e+05,2.2341e+08,4,183,1360,1008,0
4.1369e+05,2.2596e+08,4,183,1360,1008,0
4.2435e+05,2.2858e+08,4,183,1360,1008,0
4.3459e+05,2.3115e+08,4,183,1360,1008,0
4.45e+05,2.3373e+08,4,183,1360,1008,0
4.5498e+05,2.3618e+08,4,183,1360,1008,0
4.6527e+05,2.3871e+08,4,183,1360,1008,0
4.7575e+05,2.413e+08,4,183,1360,1008,0
4.861e+05,2.4384e+08,4,183,1360,1008,0
4.9612e+05,2.4631e+08,4,183,1360,1008,0
5.0639e+05,2.4883e+08,4,183,1360,1008,0
5.1655e+05,2.5136e+08,4,183,1360,1008,0
5.272e+05,2.5398e+08,4,183,1360,1008,0
5.3754e+05,2.5653e+08,4,183,1360,1008,0
5.478e+05,2.5904e+08,4,183,1360,1008,0
5.5832e+05,2.6165e+08,4,183,1360,1008,0
5.6843e+05,2.6413e+08,4,183,1360,1008,0
5.7865e+05,2.6673e+08,4,183,1360,1008,0
5.8869e+05,2.6922e+08,4,183,1360,1008,0
5.9889e+05,2.7176e+08,4,183,1360,1008,0
6.0924e+05,2.7429e+08,4,183,1360,1008,0
6.1967e+05,2.7686e+08,4,183,1360,1008,0
6.2973e+05,2.7933e+08,4,183,1360,1008,0
6.4019e+05,2.8192e+08,4,183,1360,1008,0
6.506e+05,2.8448e+08,4,183,1360,1008,0
6.6128e+05,2.8709e+08,4,183,1360,1008,0
6.7211e+05,2.8967e+08,4,183,1360,1008,0
6.8282e+05,2.9222e+08,4,183,1360,1008,0
6.9357e+05,2.9476e+08,4,183,1360,1008,0
7.04e+05,2.9723e+08,4,183,1360,1008,0
7.1438e+05,2.9969e+08,4,183,1360,1008,0
7.251e+05,3.0224e+08,4,183,1360,1008,0
