LineNo,TimeUS,NLon,NLoop,MaxT,Mem,Load,ErrL,IntE,ErrC,SPIC,I2CC,I2CI,Ex
40945,2.9721e+07,109,4001,65164,44520,676,0,0,0,2.9999e+05,3812,17199,250
81379,3.987e+07,59,4001,3665,37976,741,0,0,0,4.1416e+05,4968,22904,50
1.2597e+05,1.1015e+08,67,4001,4780,29752,725,0,0,0,1.2063e+06,12961,62345,200
1.6761e+05,1.204e+08,189,4000,3623,31912,771,0,0,0,1.3214e+06,14103,68027,0
2.2855e+05,1.8085e+08,100,4000,3827,25376,676,0,0,0,2.0033e+06,20862,1.016e+05,350
2.7282e+05,1.9125e+08,393,4000,3981,25376,709,0,0,0,2.1199e+06,22014,1.0735e+05,250
3.1691e+05,2.0194e+08,666,4000,4017,31912,634,0,0,0,2.2396e+06,23190,1.1323e+05,700
3.6006e+05,2.127e+08,732,4000,3961,31912,668,0,0,0,2.36e+06,24388,1.1918e+05,700
4.0347e+05,2.2345e+08,723,4002,3981,31912,656,0,0,0,2.4803e+06,25591,1.2515e+05,700
4.4683e+05,2.3418e+08,682,4000,3940,32064,658,0,0,0,2.6005e+06,26792,1.3111e+05,650
4.9053e+05,2.4493e+08,728,4000,4116,32064,641,0,0,0,2.721e+06,27994,1.3708e+05,750
5.3406e+05,2.5567e+08,697,4000,4106,32064,691,0,0,0,2.8413e+06,29198,1.4306e+05,700
5.7729e+05,2.6639e+08,698,4000,4021,32064,710,0,0,0,2.9613e+06,30397,1.4901e+05,500
6.2074e+05,2.7713e+08,721,4000,5006,32064,625,0,0,0,3.0815e+06,31598,1.5497e+05,800
6.644e+05,2.8784e+08,670,4000,4853,32064,648,0,0,0,3.2016e+06,32797,1.6092e+05,450
7.0868e+05,2.9834e+08,544,4000,3919,32064,700,0,0,0,3.3193e+06,33973,1.6676e+05,250
