LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1575,1.9857e+07,2,123,-64,374,-399,44,42,0,0,0,1,1.9857e+07
1984,1.9959e+07,2,118,-61,369,-399,44,42,0,0,0,1,1.9959e+07
2399,2.0061e+07,2,122,-64,379,-399,44,42,0,0,0,1,2.0061e+07
2809,2.0162e+07,2,134,-67,391,-399,44,42,0,0,0,1,2.0162e+07
3221,2.0262e+07,2,135,-70,384,-399,44,42,0,0,0,1,2.0262e+07
3637,2.0364e+07,2,117,-62,368,-399,44,42,0,0,0,1,2.0364e+07
4048,2.0466e+07,2,123,-63,381,-399,44,42,0,0,0,1,2.0466e+07
4457,2.0568e+07,2,128,-67,393,-399,44,42,0,0,0,1,2.0568e+07
4872,2.0669e+07,2,129,-63,385,-399,44,42,0,0,0,1,2.0669e+07
5254,2.077e+07,2,127,-63,369,-399,44,42,0,0,0,1,2.077e+07
5668,2.0871e+07,2,120,-61,376,-399,44,42,0,0,0,1,2.0871e+07
6075,2.0972e+07,2,117,-64,374,-399,44,42,0,0,0,1,2.0972e+07
6487,2.1073e+07,2,114,-66,385,-399,44,42,0,0,0,1,2.1073e+07
6894,2.1173e+07,2,136,-59,394,-399,44,42,0,0,0,1,2.1173e+07
7277,2.1275e+07,2,121,-66,385,-399,44,42,0,0,0,1,2.1275e+07
7690,2.1375e+07,2,119,-60,377,-399,44,42,0,0,0,1,2.1375e+07
8075,2.1477e+07,2,115,-65,375,-399,44,42,0,0,0,1,2.1477e+07
8481,2.1578e+07,2,131,-65,390,-399,44,42,0,0,0,1,2.1578e+07
8891,2.168e+07,2,122,-65,387,-399,44,42,0,0,0,1,2.168e+07
9298,2.178e+07,2,109,-62,371,-399,44,42,0,0,0,1,2.178e+07
9551,2.188e+07,2,117,-59,377,-399,44,42,0,0,0,1,2.188e+07
9958,2.198e+07,2,118,-59,372,-399,44,42,0,0,0,1,2.198e+07
10368,2.208e+07,2,120,-62,386,-399,44,42,0,0,0,1,2.208e+07
10778,2.2182e+07,2,127,-66,391,-399,44,42,0,0,0,1,2.2182e+07
11165,2.2284e+07,2,121,-63,375,-399,44,42,0,0,0,1,2.2284e+07
