LineNo,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
2.6859e+05,1.9022e+08,2,43.601,13.482,100,82.98,0.061989,0,224,-4.9895
2.7283e+05,1.9126e+08,2,43.601,13.482,100,82.982,0.098998,0,224,-4.9895
2.7726e+05,1.9229e+08,2,43.601,13.482,100,82.984,0.11354,0,224,-4.9895
2.817e+05,1.9335e+08,2,43.601,13.482,100,82.987,0.43664,0,224,-4.9895
2.8614e+05,1.9441e+08,2,43.601,13.482,100,82.988,1.0818,0,224,-4.9895
2.9058e+05,1.9548e+08,2,43.601,13.482,100,82.985,1.8168,0,224,-4.9895
2.9504e+05,1.9654e+08,2,43.601,13.482,100,82.98,2.5155,0,224,-4.9895
2.9943e+05,1.9762e+08,2,43.601,13.482,100,82.976,3.0619,0,224,-4.9895
3.0381e+05,1.9871e+08,2,43.601,13.482,100,83.009,3.3398,0,224,-4.9895
3.0816e+05,1.9978e+08,2,43.601,13.482,100,83.109,3.4717,0,224,-4.9895
3.1254e+05,2.0087e+08,2,43.601,13.482,100,83.206,3.6724,0,224,-4.9895
3.1692e+05,2.0195e+08,2,43.601,13.482,100,83.317,3.9281,0,224,-4.9895
3.213e+05,2.0302e+08,2,43.601,13.482,100,83.404,3.9267,0,224,-4.9895
3.2571e+05,2.041e+08,2,43.601,13.482,100,83.464,3.8695,0,224,-4.9895
3.301e+05,2.0519e+08,2,43.601,13.482,100,83.504,3.8278,0,224,-4.9895
3.3392e+05,2.0627e+08,2,43.601,13.482,100,83.524,3.8594,0,224,-4.9895
3.3828e+05,2.0734e+08,2,43.601,13.482,100,83.528,3.6797,0,224,-4.9895
3.426e+05,2.0842e+08,2,43.601,13.482,100,83.497,3.7277,0,224,-4.9895
3.4698e+05,2.0949e+08,2,43.601,13.482,100,83.457,3.7792,0,224,-4.9895
3.5133e+05,2.1056e+08,2,43.601,13.482,100,83.5,3.9635,0,224,-4.9895
3.5572e+05,2.1163e+08,2,43.601,13.482,100,83.596,3.8266,0,224,-4.9895
3.601e+05,2.1271e+08,2,43.601,13.482,100,83.599,3.7748,0,224,-4.9895
3.6445e+05,2.1378e+08,2,43.601,13.482,100,83.488,3.7556,0,224,-4.9895
3.6884e+05,2.1487e+08,2,43.601,13.482,100,83.31,3.863,0,224,-4.9895
3.7323e+05,2.1594e+08,2,43.601,13.482,100,83.146,4.0278,0,224,-4.9895
3.7765e+05,2.1701e+08,2,43.601,13.482,100,83.015,4.2107,0,224,-4.9895
3.8207e+05,2.1809e+08,2,43.601,13.482,100,82.926,4.3387,0,224,-4.9895
3.8645e+05,2.1916e+08,2,43.601,13.482,100,82.88,4.4411,0,224,-4.9895
3.908e+05,2.2023e+08,2,43.601,13.482,100,82.856,4.6155,0,224,-4.9895
3.9518e+05,2.2131e+08,2,43.601,13.482,100,82.833,4.6688,0,224,-4.9895
4.0348e+05,2.2346e+08,2,43.601,13.482,100,82.816,4.5406,0,224,-4.9895
4.0786e+05,2.2452e+08,2,43.601,13.482,100,82.837,4.4801,0,224,-4.9895
4.1221e+05,2.2559e+08,2,43.601,13.482,100,82.856,4.5035,0,224,-4.9895
4.1656e+05,2.2667e+08,2,43.601,13.482,100,82.875,4.4243,0,224,-4.9895
4.2095e+05,2.2774e+08,2,43.601,13.482,100,82.879,4.4926,0,224,-4.9895
4.2529e+05,2.2881e+08,2,43.601,13.482,100,82.873,4.4621,0,224,-4.9895
4.2941e+05,2.2989e+08,2,43.601,13.482,100,82.869,4.506,0,224,-4.9895
4.3378e+05,2.3096e+08,2,43.601,13.482,100,82.879,4.4059,0,224,-4.9895
4.3812e+05,2.3203e+08,2,43.601,13.482,100,82.931,4.2897,0,224,-4.9895
4.4246e+05,2.3311e+08,2,43.601,13.482,100,82.973,4.2376,0,224,-4.9895
4.4684e+05,2.3418e+08,2,43.601,13.482,100,83.024,4.2145,0,224,-4.9895
4.5121e+05,2.3526e+08,2,43.601,13.482,100,83.121,4.3023,0,224,-4.9895
4.556e+05,2.3633e+08,2,43.601,13.482,100,83.26,4.269,0,224,-4.9895
4.6001e+05,2.3741e+08,2,43.601,13.482,100,83.402,3.9767,0,224,-4.9895
4.6437e+05,2.3848e+08,2,43.601,13.482,100,83.486,3.613,0,224,-4.9895
4.6875e+05,2.3956e+08,2,43.601,13.482,100,83.535,3.5063,0,224,-4.9895
4.731e+05,2.4064e+08,2,43.601,13.482,100,83.545,3.6312,0,224,-4.9895
4.7744e+05,2.4171e+08,2,43.601,13.482,100,83.545,3.7417,0,224,-4.9895
4.8179e+05,2.4279e+08,2,43.601,13.482,100,83.537,3.7689,0,224,-4.9895
4.8619e+05,2.4387e+08,2,43.601,13.482,100,83.512,3.7877,0,224,-4.9895
4.9054e+05,2.4494e+08,2,43.601,13.482,100,83.5,3.6828,0,224,-4.9895
4.9492e+05,2.4601e+08,2,43.601,13.482,100,83.479,3.6901,0,224,-4.9895
4.9926e+05,2.4708e+08,2,43.601,13.482,100,83.467,3.8675,0,224,-4.9895
5.0362e+05,2.4816e+08,2,43.601,13.482,100,83.452,3.9384,0,224,-4.9895
5.0796e+05,2.4923e+08,2,43.601,13.482,100,83.466,3.9039,0,224,-4.9895
5.1226e+05,2.503e+08,2,43.601,13.482,100,83.476,3.8468,0,224,-4.9895
5.1661e+05,2.5138e+08,2,43.601,13.482,100,83.437,3.7862,0,224,-4.9895
5.2101e+05,2.5246e+08,2,43.601,13.482,100,83.383,3.7843,0,224,-4.9895
5.2536e+05,2.5353e+08,2,43.601,13.482,100,83.358,3.8296,0,224,-4.9895
5.2967e+05,2.546e+08,2,43.601,13.482,100,83.359,3.8777,0,224,-4.9895
5.3407e+05,2.5568e+08,2,43.601,13.482,100,83.349,4.2503,0,224,-4.9895
5.3845e+05,2.5675e+08,2,43.601,13.482,100,83.333,5.6726,0,224,-4.9895
5.4283e+05,2.5783e+08,2,43.601,13.482,100,83.339,7.0411,0,224,-4.9895
5.4722e+05,2.589e+08,2,43.601,13.482,100,83.343,7.596,0,224,-4.9895
5.5156e+05,2.5997e+08,2,43.601,13.482,100,83.304,7.645,0,224,-4.9895
5.559e+05,2.6105e+08,2,43.601,13.482,100,83.153,7.7711,0,224,-4.9895
5.6024e+05,2.6212e+08,2,43.601,13.482,100,82.911,8.0945,0,224,-4.9895
5.6459e+05,2.6319e+08,2,43.601,13.482,100,82.735,8.3615,0,224,-4.9895
5.6889e+05,2.6425e+08,2,43.601,13.482,100,82.674,8.4719,0,224,-4.9895
5.7293e+05,2.6533e+08,2,43.601,13.482,100,82.66,8.2692,0,224,-4.9895
5.7731e+05,2.664e+08,2,43.601,13.482,100,82.697,8.2358,0,224,-4.9895
5.8162e+05,2.6747e+08,2,43.601,13.482,100,82.751,8.3302,0,224,-4.9895
5.8596e+05,2.6854e+08,2,43.601,13.482,100,82.849,8.2493,0,224,-4.9895
5.903e+05,2.6961e+08,2,43.601,13.482,100,82.998,8.0493,0,224,-4.9895
5.9458e+05,2.7068e+08,2,43.601,13.482,100,83.059,7.9335,0,224,-4.9895
5.9893e+05,2.7176e+08,2,43.601,13.482,100,83.044,7.9269,0,224,-4.9895
6.0331e+05,2.7284e+08,2,43.601,13.482,100,83.022,7.9634,0,224,-4.9895
6.0768e+05,2.7392e+08,2,43.601,13.482,100,82.994,7.9871,0,224,-4.9895
6.1203e+05,2.7499e+08,2,43.601,13.482,100,82.957,7.9989,0,224,-4.9895
6.1634e+05,2.7606e+08,2,43.601,13.482,100,82.941,8.0097,0,224,-4.9895
6.2078e+05,2.7713e+08,2,43.601,13.482,100,82.892,7.9131,0,224,-4.9895
6.2516e+05,2.7821e+08,2,43.601,13.482,100,82.9,7.442,0,224,-4.9895
6.2951e+05,2.7928e+08,2,43.601,13.482,100,82.919,5.4013,0,224,-4.9895
6.3388e+05,2.8035e+08,2,43.601,13.482,100,83.004,3.4207,0,224,-4.9895
6.3822e+05,2.8143e+08,2,43.601,13.482,100,83.146,1.5084,0,224,-4.9895
6.4256e+05,2.825e+08,2,43.601,13.482,100,83.272,0.69729,0,224,-4.9895
6.469e+05,2.8358e+08,2,43.601,13.482,100,83.335,0.20644,0,224,-4.9895
6.5126e+05,2.8465e+08,2,43.601,13.482,100,83.334,0.13495,0,224,-4.9895
6.5564e+05,2.8572e+08,2,43.601,13.482,100,83.332,0.20229,0,224,-4.9895
6.6002e+05,2.8679e+08,2,43.601,13.482,100,83.334,0.20161,0,224,-4.9895
6.6441e+05,2.8784e+08,2,43.601,13.482,100,83.334,0.16169,0,224,-4.9895
6.6881e+05,2.8889e+08,2,43.601,13.482,100,83.335,0.07857,0,224,-4.9895
6.7324e+05,2.8994e+08,2,43.601,13.482,100,83.335,-0.086689,0,224,-4.9895
6.7771e+05,2.91e+08,2,43.601,13.482,100,83.336,-0.082545,0,224,-4.9895
6.8214e+05,2.9206e+08,2,43.601,13.482,100,83.337,-0.11997,0,224,-4.9895
6.866e+05,2.9311e+08,2,43.601,13.482,100,83.338,-0.12212,0,224,-4.9895
6.911e+05,2.9417e+08,2,43.601,13.482,100,83.335,-0.12966,0,224,-4.9895
6.9549e+05,2.9522e+08,2,43.601,13.482,100,83.336,-0.14819,0,224,-4.9895
6.999e+05,2.9627e+08,2,43.601,13.482,100,83.337,-0.20488,0,224,-4.9895
7.0431e+05,2.9731e+08,2,43.601,13.482,100,83.345,0.17345,0,224,-4.9895
7.0872e+05,2.9835e+08,2,43.601,13.482,100,83.463,0.76581,0,224,-4.9895
7.131e+05,2.9939e+08,2,43.601,13.482,100,83.562,0.87217,0,224,-4.9895
7.1754e+05,3.0044e+08,2,43.601,13.482,100,83.7,0.88954,0,224,-4.9895
7.2191e+05,3.0149e+08,2,43.601,13.482,100,83.854,0.82141,0,224,-4.9895
7.2629e+05,3.0253e+08,2,43.601,13.482,100,83.993,0.80418,0,224,-4.9895
