LineNo,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
3747,2.0386e+07,1,385,0.0025,0.0025,0.012396,0.014662,0.010815,0.03303,0.008977,0.03303
23600,2.5388e+07,1,384,0.0025,0.0025,0.012687,0.01376,0.010765,0.023005,0.009062,0.023006
43661,3.0397e+07,1,375,0.0025,0.0025,0.012934,0.013802,0.010837,0.023764,0.00994,0.024064
63667,3.5406e+07,1,386,0.0025,0.0025,0.012638,0.013695,0.010764,0.023923,0.008459,0.02395
83555,4.0416e+07,1,390,0.0025,0.0025,0.012596,0.013148,0.010756,0.020065,0.009805,0.020075
1.0335e+05,4.5419e+07,1,398,0.0025,0.0025,0.012404,0.012952,0.010777,0.018095,0.009031,0.018117
1.2742e+05,1.1048e+08,1,380,0.0025,0.0025,0.012653,0.013508,0.010763,0.02299,0.009732,0.022933
1.4818e+05,1.1549e+08,1,379,0.0025,0.0025,0.012919,0.013547,0.010768,0.023002,0.009977,0.023955
1.6798e+05,1.2049e+08,1,381,0.0025,0.0025,0.012837,0.013715,0.010752,0.024007,0.008979,0.024007
1.8797e+05,1.255e+08,1,377,0.0025,0.0025,0.012862,0.013986,0.01076,0.024003,0.009018,0.024002
2.0573e+05,1.7557e+08,1,385,0.0025,0.0025,0.012714,0.013345,0.010788,0.023026,0.009949,0.023027
2.2739e+05,1.8058e+08,1,375,0.0025,0.0025,0.012899,0.013899,0.010768,0.023039,0.009007,0.023038
2.4876e+05,1.8559e+08,1,379,0.0025,0.0025,0.01271,0.013835,0.010797,0.024979,0.009279,0.024046
2.6999e+05,1.9059e+08,1,381,0.0025,0.0025,0.012691,0.013334,0.010782,0.022946,0.009921,0.022938
2.9111e+05,1.956e+08,1,376,0.0025,0.0025,0.012786,0.014074,0.010795,0.025017,0.009922,0.025004
3.115e+05,2.006e+08,1,379,0.0025,0.0025,0.01292,0.013692,0.010756,0.025076,0.009988,0.025084
3.3127e+05,2.0561e+08,1,379,0.0025,0.0025,0.012903,0.013556,0.010761,0.024907,0.009965,0.024067
3.5158e+05,2.1061e+08,1,382,0.0025,0.0025,0.012693,0.013503,0.010796,0.024905,0.009051,0.02406
3.72e+05,2.1562e+08,1,380,0.0025,0.0025,0.012806,0.013505,0.010865,0.024069,0.009926,0.024095
3.9243e+05,2.2063e+08,1,382,0.0025,0.0025,0.012761,0.013652,0.010863,0.024029,0.009987,0.02409
4.1237e+05,2.2563e+08,1,377,0.0025,0.0025,0.012851,0.013869,0.010811,0.022902,0.009979,0.022955
4.3252e+05,2.3064e+08,1,380,0.0025,0.0025,0.012843,0.013507,0.010757,0.022986,0.009978,0.022994
4.5278e+05,2.3564e+08,1,374,0.0025,0.0025,0.012795,0.013864,0.010763,0.024014,0.009902,0.024014
4.7317e+05,2.4065e+08,1,378,0.0025,0.0025,0.012735,0.013878,0.010801,0.024061,0.009895,0.024071
4.9346e+05,2.4565e+08,1,374,0.0025,0.0025,0.012857,0.01392,0.010778,0.024007,0.009365,0.024069
5.1376e+05,2.5067e+08,1,374,0.0025,0.0025,0.012948,0.014063,0.010861,0.024623,0.010008,0.025599
5.3405e+05,2.5567e+08,1,373,0.0025,0.0025,0.01298,0.013905,0.0109,0.025001,0.009982,0.025027
5.5441e+05,2.6068e+08,1,376,0.0025,0.0025,0.012883,0.013966,0.0108,0.024022,0.009975,0.024039
5.7442e+05,2.6569e+08,1,375,0.0025,0.0025,0.012945,0.013853,0.010784,0.02404,0.00937,0.023968
5.9465e+05,2.7069e+08,1,375,0.0025,0.0025,0.012847,0.013731,0.010894,0.024011,0.009975,0.024016
6.1489e+05,2.7569e+08,1,374,0.0025,0.0025,0.013059,0.013757,0.010795,0.025022,0.009917,0.025023
6.3529e+05,2.807e+08,1,379,0.0025,0.0025,0.012856,0.013616,0.010789,0.025004,0.009975,0.025013
6.5558e+05,2.857e+08,1,376,0.0025,0.0025,0.012694,0.013752,0.010885,0.024073,0.009044,0.024013
6.7648e+05,2.9071e+08,1,373,0.0025,0.0025,0.013127,0.013962,0.01079,0.023004,0.009852,0.023003
6.9761e+05,2.9572e+08,1,380,0.0025,0.0025,0.012855,0.013742,0.010791,0.024993,0.009951,0.024938
7.1874e+05,3.0073e+08,1,391,0.0025,0.0025,0.012557,0.013197,0.010807,0.020997,0.009945,0.020994
