LineNo,TimeUS,Id
24643,2.5646e+07,25
1.2452e+05,1.0982e+08,57
1.3883e+05,1.1314e+08,11
1.3884e+05,1.1315e+08,56
1.984e+05,1.7388e+08,10
2.0705e+05,1.7588e+08,57
2.4133e+05,1.8382e+08,11
2.4133e+05,1.8382e+08,56
2.5508e+05,1.8709e+08,10
2.637e+05,1.8909e+08,57
2.6756e+05,1.8998e+08,15
2.7953e+05,1.9283e+08,28
2.9553e+05,1.9666e+08,62
6.5426e+05,2.8538e+08,17
6.5801e+05,2.8631e+08,18
6.6668e+05,2.8839e+08,11
6.6669e+05,2.8839e+08,56
