LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
302,1.9491e+07,0,0,0,0,0.01,0,0.03827,0,0,0,50,65703,0,0
646,1.9556e+07,0,0,0,0.01,0,0,0.036792,0,0,0,50,65703,0,0
873,1.9602e+07,0,0,0,0.01,0,0,0.037232,0,0,0,50,65703,0,0
1215,1.9763e+07,0,0,0,0.01,0,0,0.037782,0,0,0,50,65703,0,0
1491,1.9834e+07,0,0,0,0.02,0.01,0,0.035839,0,0,0,50,65703,0,0
1586,1.9856e+07,0,0,0,0.02,0.01,0,0.036051,0,0,0,50,65703,0,0
1626,1.9866e+07,0,0,0,0.02,0.01,0,0.036051,0,0,0,50,65703,0,0
1668,1.9876e+07,0,0,0,0.02,0.01,0,0.036159,0,0,0,50,65703,0,0
1709,1.9886e+07,0,0,0,0.02,0.01,0,0.036263,0,0,0,50,65703,0,0
1749,1.9899e+07,0,0,0,0,0.01,0,0.03637,0,0,0,50,65703,0,0
1790,1.9909e+07,0,0,0,0,0,0,0.034227,0,0,0,50,65703,0,0
1830,1.992e+07,0,0,0,0,0,0,0.034326,0,0,0,50,65703,0,0
1872,1.993e+07,0,0,0,0,0,0,0.034326,0,0,0,50,65703,0,0
1912,1.994e+07,0,0,0,0,0,0,0.034425,0,0,0,50,65703,0,0
1953,1.995e+07,0,0,0,0,0,0,0.034524,0,0,0,50,65703,0,0
1998,1.996e+07,0,0,0,0,0,0,0.034622,0,0,0,50,65703,0,0
2041,1.9971e+07,0,0,0,0,0,0,0.034721,0,0,0,50,65703,0,0
2082,1.9981e+07,0,0,0,0,0,0,0.03482,0,0,0,50,65703,0,0
2122,1.9991e+07,0,0,0,0,0,0,0.03482,0,0,0,50,65703,0,0
2163,2.0002e+07,0,0,0,0.01,0,0,0.034919,0,0,0,50,65703,0,0
2204,2.0012e+07,0,0,0,0.01,0,0,0.032943,0,0,0,50,65703,0,0
2245,2.0022e+07,0,0,0,0.01,0,0,0.033037,0,0,0,50,65703,0,0
2286,2.0032e+07,0,0,0,0.01,0,0,0.03313,0,0,0,50,65703,0,0
2326,2.0042e+07,0,0,0,0.01,0,0,0.033224,0,0,0,50,65703,0,0
2369,2.0052e+07,0,0,0,0.01,0,0,0.033224,0,0,0,50,65703,0,0
2413,2.0062e+07,0,0,0,0.01,0,0,0.033318,0,0,0,50,65703,0,0
2454,2.0072e+07,0,0,0,0.01,0,0,0.033412,0,0,0,50,65703,0,0
2497,2.0082e+07,0,0,0,0.01,0,0,0.033506,0,0,0,50,65703,0,0
2537,2.0093e+07,0,0,0,0.01,0,0,0.0336,0,0,0,50,65703,0,0
2577,2.0103e+07,0,0,0,0.01,0,0,0.0336,0,0,0,50,65703,0,0
2615,2.0113e+07,0,0,0,0,0,0,0.033694,0,0,0,50,65703,0,0
2656,2.0123e+07,0,0,0,0,0,0,0.031826,0,0,0,50,65703,0,0
2697,2.0134e+07,0,0,0,0,0,0,0.031915,0,0,0,50,65703,0,0
2738,2.0144e+07,0,0,0,0,0,0,0.032005,0,0,0,50,65703,0,0
2779,2.0153e+07,0,0,0,0,0,0,0.032005,0,0,0,50,65703,0,0
2823,2.0164e+07,0,0,0,0,0,0,0.032095,0,0,0,50,65703,0,0
2865,2.0174e+07,0,0,0,0,0,0,0.032185,0,0,0,50,65703,0,0
2906,2.0183e+07,0,0,0,0,0,0,0.032274,0,0,0,50,65703,0,0
2947,2.0193e+07,0,0,0,0,0,0,0.032363,0,0,0,50,65703,0,0
2988,2.0203e+07,0,0,0,0,0,0,0.032363,0,0,0,50,65703,0,0
3026,2.0214e+07,0,0,0,0.02,0.01,0,0.032453,0,0,0,50,65703,0,0
3067,2.0224e+07,0,0,0,0.02,0.01,0,0.030722,0,0,0,50,65703,0,0
3107,2.0234e+07,0,0,0,0.02,0.01,0,0.030807,0,0,0,50,65703,0,0
3148,2.0244e+07,0,0,0,0.02,0.01,0,0.030893,0,0,0,50,65703,0,0
3191,2.0254e+07,0,0,0,0.02,0.01,0,0.030893,0,0,0,50,65703,0,0
3236,2.0264e+07,0,0,0,0.02,0.01,0,0.030978,0,0,0,50,65703,0,0
3277,2.0274e+07,0,0,0,0.02,0.01,0,0.031064,0,0,0,50,65703,0,0
3318,2.0284e+07,0,0,0,0.02,0.01,0,0.031149,0,0,0,50,65703,0,0
3359,2.0294e+07,0,0,0,0.02,0.01,0,0.031235,0,0,0,50,65703,0,0
3399,2.0304e+07,0,0,0,0.02,0.01,0,0.031235,0,0,0,50,65703,0,0
3441,2.0314e+07,0,0,0,0,0,0,0.03132,0,0,0,50,65703,0,0
3481,2.0324e+07,0,0,0,0,0,0,0.029714,0,0,0,50,65703,0,0
3522,2.0334e+07,0,0,0,0,0,0,0.029795,0,0,0,50,65703,0,0
3562,2.0344e+07,0,0,0,0,0,0,0.029877,0,0,0,50,65703,0,0
3604,2.0355e+07,0,0,0,0,0,0,0.029959,0,0,0,50,65703,0,0
3652,2.0365e+07,0,0,0,0,0,0,0.030041,0,0,0,50,65703,0,0
3692,2.0376e+07,0,0,0,0,0,0,0.030041,0,0,0,50,65703,0,0
3733,2.0386e+07,0,0,0,0,0,0,0.030122,0,0,0,50,65703,0,0
3777,2.0396e+07,0,0,0,0,0,0,0.030204,0,0,0,50,65703,0,0
3814,2.0406e+07,0,0,0,0.03,0,0,0.030286,0,0,0,50,65703,0,0
3852,2.0417e+07,0,0,0,0.03,0,0,0.028782,0,0,0,50,65703,0,0
3892,2.0427e+07,0,0,0,0.03,0,0,0.028782,0,0,0,50,65703,0,0
3933,2.0437e+07,0,0,0,0.03,0,0,0.02886,0,0,0,50,65703,0,0
3974,2.0447e+07,0,0,0,0.03,0,0,0.028938,0,0,0,50,65703,0,0
4016,2.0458e+07,0,0,0,0.03,0,0,0.029016,0,0,0,50,65703,0,0
4062,2.0468e+07,0,0,0,0.03,0,0,0.029094,0,0,0,50,65703,0,0
4102,2.0478e+07,0,0,0,0.03,0,0,0.029172,0,0,0,50,65703,0,0
4144,2.0488e+07,0,0,0,0.03,0,0,0.029172,0,0,0,50,65703,0,0
4185,2.0499e+07,0,0,0,0.03,0,0,0.029251,0,0,0,50,65703,0,0
4222,2.0509e+07,0,0,0,0,0.01,0,0.029329,0,0,0,50,65703,0,0
4264,2.0518e+07,0,0,0,0,0.01,0,0.027927,0,0,0,50,65703,0,0
4304,2.0529e+07,0,0,0,0,0.01,0,0.028002,0,0,0,50,65703,0,0
4345,2.0539e+07,0,0,0,0,0.01,0,0.028077,0,0,0,50,65703,0,0
4385,2.0549e+07,0,0,0,0,0.01,0,0.028077,0,0,0,50,65703,0,0
4426,2.0559e+07,0,0,0,0,0.01,0,0.028152,0,0,0,50,65703,0,0
4473,2.057e+07,0,0,0,0,0.01,0,0.028227,0,0,0,50,65703,0,0
4513,2.058e+07,0,0,0,0,0.01,0,0.028302,0,0,0,50,65703,0,0
4555,2.059e+07,0,0,0,0,0.01,0,0.028377,0,0,0,50,65703,0,0
4598,2.0602e+07,0,0,0,0.01,0.01,0,0.028452,0,0,0,50,65703,0,0
4642,2.0615e+07,0,0,0,0.01,0.01,0,0.027131,0,0,0,50,65703,0,0
4683,2.0625e+07,0,0,0,0.01,0.01,0,0.027202,0,0,0,50,65703,0,0
4723,2.0635e+07,0,0,0,0.01,0.01,0,0.027202,0,0,0,50,65703,0,0
4766,2.0645e+07,0,0,0,0.01,0.01,0,0.027274,0,0,0,50,65703,0,0
4807,2.0655e+07,0,0,0,0.01,0.01,0,0.027347,0,0,0,50,65703,0,0
4848,2.0665e+07,0,0,0,0.01,0.01,0,0.027419,0,0,0,50,65703,0,0
4893,2.0676e+07,0,0,0,0.01,0.01,0,0.02749,0,0,0,50,65703,0,0
4934,2.0686e+07,0,0,0,0.01,0.01,0,0.02749,0,0,0,50,65703,0,0
4975,2.0696e+07,0,0,0,0.01,0.01,0,0.027562,0,0,0,50,65703,0,0
5016,2.0706e+07,0,0,0,0.01,0.01,0,0.027635,0,0,0,50,65703,0,0
5057,2.0719e+07,0,0,0,0.01,0,0,0.027707,0,0,0,50,65703,0,0
5097,2.0729e+07,0,0,0,0.01,0,0,0.026426,0,0,0,50,65703,0,0
5139,2.0739e+07,0,0,0,0.01,0,0,0.026426,0,0,0,50,65703,0,0
5180,2.0749e+07,0,0,0,0.01,0,0,0.026495,0,0,0,50,65703,0,0
5220,2.0759e+07,0,0,0,0.01,0,0,0.026564,0,0,0,50,65703,0,0
5265,2.0769e+07,0,0,0,0.01,0,0,0.026634,0,0,0,50,65703,0,0
5306,2.078e+07,0,0,0,0.01,0,0,0.026703,0,0,0,50,65703,0,0
5350,2.079e+07,0,0,0,0.01,0,0,0.026773,0,0,0,50,65703,0,0
5391,2.08e+07,0,0,0,0.01,0,0,0.026773,0,0,0,50,65703,0,0
5433,2.081e+07,0,0,0,0.01,0,0,0.026842,0,0,0,50,65703,0,0
5471,2.0822e+07,0,0,0,0.01,0,0,0.026912,0,0,0,50,65703,0,0
5512,2.0832e+07,0,0,0,0.01,0,0,0.025694,0,0,0,50,65703,0,0
5556,2.0842e+07,0,0,0,0.01,0,0,0.02576,0,0,0,50,65703,0,0
5597,2.0853e+07,0,0,0,0.01,0,0,0.025827,0,0,0,50,65703,0,0
5637,2.0863e+07,0,0,0,0.01,0,0,0.025893,0,0,0,50,65703,0,0
5682,2.0873e+07,0,0,0,0.01,0,0,0.02596,0,0,0,50,65703,0,0
5722,2.0883e+07,0,0,0,0.01,0,0,0.02596,0,0,0,50,65703,0,0
5765,2.0893e+07,0,0,0,0.01,0,0,0.026026,0,0,0,50,65703,0,0
5805,2.0903e+07,0,0,0,0.01,0,0,0.026093,0,0,0,50,65703,0,0
5843,2.0914e+07,0,0,0,0,0,0,0.026159,0,0,0,50,65703,0,0
5882,2.0924e+07,0,0,0,0,0,0,0.025004,0,0,0,50,65703,0,0
5922,2.0934e+07,0,0,0,0,0,0,0.025068,0,0,0,50,65703,0,0
5964,2.0944e+07,0,0,0,0,0,0,0.025068,0,0,0,50,65703,0,0
6005,2.0954e+07,0,0,0,0,0,0,0.025132,0,0,0,50,65703,0,0
6045,2.0964e+07,0,0,0,0,0,0,0.025197,0,0,0,50,65703,0,0
6090,2.0974e+07,0,0,0,0,0,0,0.025261,0,0,0,50,65703,0,0
6130,2.0984e+07,0,0,0,0,0,0,0.025325,0,0,0,50,65703,0,0
6172,2.0994e+07,0,0,0,0,0,0,0.025389,0,0,0,50,65703,0,0
6213,2.1004e+07,0,0,0,0,0,0,0.025389,0,0,0,50,65703,0,0
6253,2.1014e+07,0,0,0,0.04,0,0,0.025453,0,0,0,50,65703,0,0
6291,2.1024e+07,0,0,0,0.04,0,0,0.024368,0,0,0,50,65703,0,0
6332,2.1034e+07,0,0,0,0.04,0,0,0.024429,0,0,0,50,65703,0,0
6376,2.1044e+07,0,0,0,0.04,0,0,0.02449,0,0,0,50,65703,0,0
6416,2.1054e+07,0,0,0,0.04,0,0,0.02449,0,0,0,50,65703,0,0
6460,2.1067e+07,0,0,0,0.04,0,0,0.024552,0,0,0,50,65703,0,0
6504,2.1077e+07,0,0,0,0.04,0,0,0.024614,0,0,0,50,65703,0,0
6545,2.1087e+07,0,0,0,0.04,0,0,0.024675,0,0,0,50,65703,0,0
6587,2.1097e+07,0,0,0,0.04,0,0,0.024737,0,0,0,50,65703,0,0
6627,2.111e+07,0,0,0,0.04,0,0,0.0248,0,0,0,50,65703,0,0
6665,2.112e+07,0,0,0,0.04,0,0,0.023767,0,0,0,50,65703,0,0
6705,2.113e+07,0,0,0,0.04,0,0,0.023826,0,0,0,50,65703,0,0
6748,2.114e+07,0,0,0,0.04,0,0,0.023826,0,0,0,50,65703,0,0
6788,2.115e+07,0,0,0,0.04,0,0,0.023886,0,0,0,50,65703,0,0
6829,2.116e+07,0,0,0,0.04,0,0,0.023945,0,0,0,50,65703,0,0
6870,2.117e+07,0,0,0,0.04,0,0,0.024005,0,0,0,50,65703,0,0
6915,2.118e+07,0,0,0,0.04,0,0,0.024064,0,0,0,50,65703,0,0
6956,2.119e+07,0,0,0,0.04,0,0,0.024064,0,0,0,50,65703,0,0
6996,2.1201e+07,0,0,0,0.04,0,0,0.024124,0,0,0,50,65703,0,0
7037,2.1214e+07,0,0,0,0.02,0,0,0.024184,0,0,0,50,65703,0,0
7077,2.1224e+07,0,0,0,0.02,0,0,0.023194,0,0,0,50,65703,0,0
7118,2.1234e+07,0,0,0,0.02,0,0,0.02325,0,0,0,50,65703,0,0
7161,2.1244e+07,0,0,0,0.02,0,0,0.023308,0,0,0,50,65703,0,0
7203,2.1254e+07,0,0,0,0.02,0,0,0.023366,0,0,0,50,65703,0,0
7244,2.1264e+07,0,0,0,0.02,0,0,0.023366,0,0,0,50,65703,0,0
7288,2.1274e+07,0,0,0,0.02,0,0,0.023424,0,0,0,50,65703,0,0
7330,2.1284e+07,0,0,0,0.02,0,0,0.023482,0,0,0,50,65703,0,0
7371,2.1294e+07,0,0,0,0.02,0,0,0.023539,0,0,0,50,65703,0,0
7413,2.1304e+07,0,0,0,0.02,0,0,0.023597,0,0,0,50,65703,0,0
7457,2.132e+07,0,0,0,0.04,0,0,0.023655,0,0,0,50,65703,0,0
7498,2.133e+07,0,0,0,0.04,0,0,0.02268,0,0,0,50,65703,0,0
7539,2.134e+07,0,0,0,0.04,0,0,0.022735,0,0,0,50,65703,0,0
7581,2.135e+07,0,0,0,0.04,0,0,0.022791,0,0,0,50,65703,0,0
7621,2.136e+07,0,0,0,0.04,0,0,0.022791,0,0,0,50,65703,0,0
7662,2.137e+07,0,0,0,0.04,0,0,0.022846,0,0,0,50,65703,0,0
7708,2.138e+07,0,0,0,0.04,0,0,0.022902,0,0,0,50,65703,0,0
7749,2.139e+07,0,0,0,0.04,0,0,0.022957,0,0,0,50,65703,0,0
7791,2.14e+07,0,0,0,0.04,0,0,0.023013,0,0,0,50,65703,0,0
7834,2.1412e+07,0,0,0,0.02,0,0,0.023069,0,0,0,50,65703,0,0
7875,2.1425e+07,0,0,0,0.02,0.03,0,0.022145,0,0,0,50,65703,0,0
7915,2.1435e+07,0,0,0,0.02,0.03,0,0.022198,0,0,0,50,65703,0,0
7956,2.1445e+07,0,0,0,0.02,0.03,0,0.022198,0,0,0,50,65703,0,0
8001,2.1455e+07,0,0,0,0.02,0.03,0,0.022252,0,0,0,50,65703,0,0
8041,2.1466e+07,0,0,0,0.02,0.03,0,0.022306,0,0,0,50,65703,0,0
8086,2.1476e+07,0,0,0,0.02,0.03,0,0.022359,0,0,0,50,65703,0,0
8126,2.1486e+07,0,0,0,0.02,0.03,0,0.022413,0,0,0,50,65703,0,0
8168,2.1496e+07,0,0,0,0.02,0.03,0,0.022467,0,0,0,50,65703,0,0
8209,2.1506e+07,0,0,0,0.02,0.03,0,0.022467,0,0,0,50,65703,0,0
8249,2.1516e+07,0,0,0,0.02,0.03,0,0.022521,0,0,0,50,65703,0,0
8284,2.1527e+07,0,0,0,0.05,0.01,0,0.022574,0,0,0,50,65703,0,0
8325,2.1537e+07,0,0,0,0.05,0.01,0,0.02167,0,0,0,50,65703,0,0
8365,2.1547e+07,0,0,0,0.05,0.01,0,0.021722,0,0,0,50,65703,0,0
8406,2.1557e+07,0,0,0,0.05,0.01,0,0.021773,0,0,0,50,65703,0,0
8447,2.1567e+07,0,0,0,0.05,0.01,0,0.021773,0,0,0,50,65703,0,0
8497,2.158e+07,0,0,0,0.05,0.01,0,0.021878,0,0,0,50,65703,0,0
8538,2.159e+07,0,0,0,0.05,0.01,0,0.021878,0,0,0,50,65703,0,0
8579,2.16e+07,0,0,0,0.05,0.01,0,0.02193,0,0,0,50,65703,0,0
8620,2.161e+07,0,0,0,0.05,0.01,0,0.021982,0,0,0,50,65703,0,0
8657,2.162e+07,0,0,0,0.03,0,0,0.022034,0,0,0,50,65703,0,0
8698,2.1632e+07,0,0,0,0.03,0,0,0.021171,0,0,0,50,65703,0,0
8740,2.1642e+07,0,0,0,0.03,0,0,0.021221,0,0,0,50,65703,0,0
8781,2.1653e+07,0,0,0,0.03,0,0,0.021272,0,0,0,50,65703,0,0
8823,2.1663e+07,0,0,0,0.03,0,0,0.021272,0,0,0,50,65703,0,0
8864,2.1673e+07,0,0,0,0.03,0,0,0.021322,0,0,0,50,65703,0,0
8909,2.1683e+07,0,0,0,0.03,0,0,0.021372,0,0,0,50,65703,0,0
8949,2.1693e+07,0,0,0,0.03,0,0,0.021422,0,0,0,50,65703,0,0
8990,2.1703e+07,0,0,0,0.03,0,0,0.021472,0,0,0,50,65703,0,0
9030,2.1714e+07,0,0,0,0.03,0,0,0.021472,0,0,0,50,65703,0,0
9071,2.1724e+07,0,0,0,0.03,0,0,0.021522,0,0,0,50,65703,0,0
9109,2.1734e+07,0,0,0,0.03,0,0,0.020701,0,0,0,50,65703,0,0
9149,2.1744e+07,0,0,0,0.03,0,0,0.020749,0,0,0,50,65703,0,0
9190,2.1754e+07,0,0,0,0.03,0,0,0.020797,0,0,0,50,65703,0,0
9230,2.1764e+07,0,0,0,0.03,0,0,0.020797,0,0,0,50,65703,0,0
9271,2.1774e+07,0,0,0,0.03,0,0,0.020846,0,0,0,50,65703,0,0
9315,2.1784e+07,0,0,0,0.03,0,0,0.020895,0,0,0,50,65703,0,0
9357,2.1794e+07,0,0,0,0.03,0,0,0.020944,0,0,0,50,65703,0,0
9400,2.1804e+07,0,0,0,0.03,0,0,0.020993,0,0,0,50,65703,0,0
9440,2.1814e+07,0,0,0,0.03,0,0,0.020993,0,0,0,50,65703,0,0
9479,2.1824e+07,0,0,0,0,0,0,0.021042,0,0,0,50,65703,0,0
9524,2.1874e+07,0,0,0,0,0,0,0.020394,0,0,0,50,65703,0,0
9569,2.1884e+07,0,0,0,0,0,0,0.020441,0,0,0,50,65703,0,0
9610,2.1894e+07,0,0,0,0,0,0,0.020488,0,0,0,50,65703,0,0
9651,2.1904e+07,0,0,0,0,0,0,0.020536,0,0,0,50,65703,0,0
9691,2.1914e+07,0,0,0,0,0,0,0.020536,0,0,0,50,65703,0,0
9725,2.1924e+07,0,0,0,0.01,0,0,0.020583,0,0,0,50,65703,0,0
9766,2.1934e+07,0,0,0,0.01,0.01,0,0.019823,0,0,0,50,65703,0,0
9807,2.1944e+07,0,0,0,0.01,0.01,0,0.019868,0,0,0,50,65703,0,0
9848,2.1954e+07,0,0,0,0.01,0.01,0,0.019914,0,0,0,50,65703,0,0
9889,2.1964e+07,0,0,0,0.01,0.01,0,0.019914,0,0,0,50,65703,0,0
9930,2.1974e+07,0,0,0,0.01,0.01,0,0.01996,0,0,0,50,65703,0,0
9975,2.1984e+07,0,0,0,0.01,0.01,0,0.020006,0,0,0,50,65703,0,0
10016,2.1994e+07,0,0,0,0.01,0.01,0,0.020052,0,0,0,50,65703,0,0
10057,2.2004e+07,0,0,0,0.01,0.01,0,0.020098,0,0,0,50,65703,0,0
10097,2.2014e+07,0,0,0,0.01,0.01,0,0.020098,0,0,0,50,65703,0,0
10135,2.2024e+07,0,0,0,0.03,0.01,0,0.020144,0,0,0,50,65703,0,0
10175,2.2034e+07,0,0,0,0.03,0.01,0,0.019411,0,0,0,50,65703,0,0
10218,2.2044e+07,0,0,0,0.03,0.01,0,0.019454,0,0,0,50,65703,0,0
10258,2.2054e+07,0,0,0,0.03,0.01,0,0.019499,0,0,0,50,65703,0,0
10300,2.2064e+07,0,0,0,0.03,0.01,0,0.019499,0,0,0,50,65703,0,0
10340,2.2074e+07,0,0,0,0.03,0.01,0,0.019543,0,0,0,50,65703,0,0
10386,2.2084e+07,0,0,0,0.03,0.01,0,0.019588,0,0,0,50,65703,0,0
10426,2.2094e+07,0,0,0,0.03,0.01,0,0.019632,0,0,0,50,65703,0,0
10468,2.2104e+07,0,0,0,0.03,0.01,0,0.019677,0,0,0,50,65703,0,0
