LineNo,TimeUS,C,Q1,Q2,Q3,Q4
314,1.9491e+07,1,0.97341,0.012003,0.0033974,0.22874
658,1.9556e+07,1,0.97335,0.011999,0.0033476,0.22899
885,1.9602e+07,1,0.9733,0.011912,0.0033764,0.22922
1227,1.9763e+07,1,0.97315,0.011898,0.0036657,0.22983
1503,1.9834e+07,1,0.97309,0.011881,0.0036485,0.23009
1598,1.9856e+07,1,0.97306,0.011914,0.0036398,0.23022
1638,1.9866e+07,1,0.97306,0.011938,0.0036676,0.2302
1680,1.9876e+07,1,0.97306,0.011952,0.0036606,0.23022
1721,1.9886e+07,1,0.97306,0.011948,0.0036641,0.23023
1761,1.9899e+07,1,0.97305,0.011925,0.003655,0.23024
1802,1.9909e+07,1,0.97305,0.011892,0.0036528,0.23025
1842,1.992e+07,1,0.97305,0.011916,0.0036297,0.23026
1884,1.993e+07,1,0.97305,0.011902,0.0036198,0.23024
1924,1.994e+07,1,0.97306,0.011897,0.0036291,0.23022
1965,1.995e+07,1,0.97306,0.011877,0.0036441,0.23023
2010,1.996e+07,1,0.97306,0.011862,0.0036697,0.23021
2053,1.9971e+07,1,0.97306,0.011829,0.0036682,0.23022
2094,1.9981e+07,1,0.97306,0.011818,0.0036845,0.2302
2134,1.9991e+07,1,0.97307,0.011797,0.0037271,0.23019
2175,2.0002e+07,1,0.97307,0.011812,0.003721,0.2302
2216,2.0012e+07,1,0.97306,0.011807,0.0037247,0.23023
2257,2.0022e+07,1,0.97306,0.011816,0.0037401,0.23021
2298,2.0032e+07,1,0.97306,0.011797,0.0037505,0.23022
2338,2.0042e+07,1,0.97306,0.011797,0.0037582,0.23022
2381,2.0052e+07,1,0.97306,0.01179,0.0037908,0.23022
2425,2.0062e+07,1,0.97306,0.011772,0.0037851,0.23023
2466,2.0072e+07,1,0.97306,0.011797,0.0037815,0.23023
2509,2.0082e+07,1,0.97306,0.011783,0.0037795,0.23021
2549,2.0093e+07,1,0.97305,0.011792,0.0037918,0.23025
2589,2.0103e+07,1,0.97304,0.011762,0.0037987,0.2303
2627,2.0113e+07,1,0.97304,0.011741,0.0037851,0.2303
2668,2.0123e+07,1,0.97304,0.01172,0.0038048,0.2303
2709,2.0134e+07,1,0.97303,0.011729,0.0038146,0.23036
2750,2.0144e+07,1,0.97302,0.011735,0.0037977,0.23038
2791,2.0153e+07,1,0.97301,0.011732,0.0037819,0.23042
2835,2.0164e+07,1,0.973,0.011759,0.0037836,0.23047
2877,2.0174e+07,1,0.973,0.011737,0.0037734,0.23047
2918,2.0183e+07,1,0.97299,0.011746,0.0037615,0.23051
2959,2.0193e+07,1,0.97298,0.011748,0.0037735,0.23055
3000,2.0203e+07,1,0.97297,0.011759,0.0037693,0.23061
3038,2.0214e+07,1,0.97296,0.011769,0.0037726,0.23065
3079,2.0224e+07,1,0.97295,0.011784,0.0037354,0.23067
3119,2.0234e+07,1,0.97294,0.011766,0.0037193,0.23072
3160,2.0244e+07,1,0.97293,0.011778,0.0036792,0.23076
3203,2.0254e+07,1,0.97293,0.011814,0.0036898,0.23077
3248,2.0264e+07,1,0.97293,0.011795,0.0036994,0.23078
3289,2.0274e+07,1,0.97292,0.011788,0.003664,0.23081
3330,2.0284e+07,1,0.97293,0.011777,0.0036623,0.23079
3371,2.0294e+07,1,0.97292,0.011762,0.0036564,0.23081
3413,2.0304e+07,1,0.97292,0.011768,0.0036496,0.23082
3453,2.0314e+07,1,0.97291,0.011761,0.0036603,0.23085
3493,2.0324e+07,1,0.9729,0.011784,0.0036214,0.23088
3534,2.0334e+07,1,0.9729,0.011778,0.0036112,0.23089
3574,2.0344e+07,1,0.9729,0.011786,0.0036025,0.2309
3616,2.0355e+07,1,0.97289,0.011768,0.0035958,0.23094
3664,2.0365e+07,1,0.97289,0.011771,0.0035898,0.23096
3704,2.0376e+07,1,0.97288,0.011801,0.0035991,0.231
3746,2.0386e+07,1,0.97288,0.011832,0.0035987,0.23099
3789,2.0396e+07,1,0.97287,0.011871,0.0035964,0.231
3826,2.0406e+07,1,0.97287,0.011843,0.0036259,0.23102
3864,2.0417e+07,1,0.97287,0.011801,0.0036376,0.23103
3904,2.0427e+07,1,0.97286,0.011779,0.0036237,0.23106
3945,2.0437e+07,1,0.97286,0.011771,0.0036316,0.23108
3986,2.0447e+07,1,0.97285,0.011776,0.0036126,0.23111
4028,2.0458e+07,1,0.97284,0.011763,0.0036016,0.23113
4074,2.0468e+07,1,0.97284,0.011765,0.0035993,0.23115
4114,2.0478e+07,1,0.97284,0.011758,0.0035995,0.23117
4156,2.0488e+07,1,0.97283,0.011763,0.0036179,0.23121
4197,2.0499e+07,1,0.97281,0.011778,0.0036014,0.23126
4234,2.0509e+07,1,0.9728,0.011781,0.0035946,0.2313
4276,2.0518e+07,1,0.9728,0.011783,0.0035882,0.23133
4316,2.0529e+07,1,0.9728,0.011768,0.0035993,0.23131
4357,2.0539e+07,1,0.97281,0.011723,0.0035935,0.23129
4397,2.0549e+07,1,0.9728,0.011707,0.0035897,0.2313
4438,2.0559e+07,1,0.9728,0.01172,0.003573,0.23131
4485,2.057e+07,1,0.97281,0.01172,0.0035667,0.23129
4525,2.058e+07,1,0.97281,0.011695,0.0035819,0.23129
4567,2.059e+07,1,0.9728,0.01169,0.003572,0.23131
4610,2.0602e+07,1,0.9728,0.01168,0.003588,0.23134
4654,2.0615e+07,1,0.9728,0.011676,0.0035735,0.23134
4695,2.0625e+07,1,0.9728,0.011674,0.0035945,0.23134
4735,2.0635e+07,1,0.97279,0.011644,0.0035896,0.23136
4778,2.0645e+07,1,0.97279,0.011655,0.0035742,0.23137
4819,2.0655e+07,1,0.97279,0.011679,0.0035889,0.23139
4860,2.0665e+07,1,0.97279,0.011675,0.0035929,0.23138
4905,2.0676e+07,1,0.97279,0.011687,0.0035995,0.23136
4946,2.0686e+07,1,0.97279,0.011671,0.0035973,0.23138
4987,2.0696e+07,1,0.97278,0.011654,0.0035956,0.2314
5028,2.0706e+07,1,0.97278,0.011629,0.0036222,0.2314
5069,2.0719e+07,1,0.97278,0.011597,0.0035855,0.23141
5109,2.0729e+07,1,0.97278,0.01157,0.0035853,0.2314
5151,2.0739e+07,1,0.97279,0.011517,0.0035937,0.23137
5192,2.0749e+07,1,0.97279,0.011485,0.0035888,0.23136
5232,2.0759e+07,1,0.9728,0.011455,0.003552,0.23135
5277,2.0769e+07,1,0.97279,0.011447,0.0035588,0.23137
5318,2.078e+07,1,0.97278,0.011459,0.0035425,0.23141
5362,2.079e+07,1,0.97278,0.011453,0.0035391,0.23143
5405,2.08e+07,1,0.97278,0.011459,0.0035669,0.23142
5445,2.081e+07,1,0.97277,0.011467,0.0035518,0.23145
5483,2.0822e+07,1,0.97276,0.011464,0.0035554,0.23149
5524,2.0832e+07,1,0.97275,0.011469,0.0035499,0.23153
5568,2.0842e+07,1,0.97275,0.011485,0.003575,0.23156
5609,2.0853e+07,1,0.97274,0.011526,0.0035835,0.2316
5649,2.0863e+07,1,0.97273,0.011528,0.003618,0.23164
5694,2.0873e+07,1,0.97272,0.011519,0.003636,0.23165
5734,2.0883e+07,1,0.97271,0.011537,0.0036543,0.23172
5777,2.0893e+07,1,0.97269,0.01154,0.0036499,0.23179
5817,2.0903e+07,1,0.97267,0.011543,0.0036445,0.23186
5855,2.0914e+07,1,0.97266,0.011522,0.0036342,0.2319
5894,2.0924e+07,1,0.97265,0.011516,0.0036345,0.23198
