LineNo,TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
3426,2.0313e+07,0,111,13,1,1560,8184
23277,2.5314e+07,0,111,15,1,1560,488
43336,3.0316e+07,0,110,8,1,1482,0
63229,3.5302e+07,0,103,7,1,1638,0
83160,4.0322e+07,0,102,10,1,1482,0
1.029e+05,4.5309e+07,0,102,9,1,1482,0
1.2667e+05,1.1032e+08,0,101,13,1,1482,0
1.4745e+05,1.1531e+08,0,102,8,1,1404,0
1.6723e+05,1.2031e+08,0,102,19,1,1404,0
1.8719e+05,1.2531e+08,0,102,12,1,1404,0
2.0457e+05,1.7531e+08,0,110,8,1,1560,0
2.2622e+05,1.8031e+08,0,110,11,1,1560,0
2.4755e+05,1.8531e+08,0,110,14,1,1560,0
2.69e+05,1.9032e+08,0,109,11,1,1560,0
2.899e+05,1.9532e+08,0,109,9,1,1560,0
3.1022e+05,2.003e+08,0,109,4,1,1560,0
3.3055e+05,2.0531e+08,0,110,15,1,1560,0
3.5034e+05,2.1032e+08,0,110,15,1,1560,0
3.7074e+05,2.1532e+08,0,109,10,1,1560,0
3.9114e+05,2.2032e+08,0,109,16,1,1560,0
4.1104e+05,2.2531e+08,0,109,19,1,1560,0
4.3114e+05,2.3031e+08,0,109,4,1,1560,0
4.5139e+05,2.3531e+08,0,109,8,1,1560,0
4.7184e+05,2.4033e+08,0,109,17,1,1560,0
4.9209e+05,2.4532e+08,0,109,13,1,1560,0
5.123e+05,2.5031e+08,0,109,15,1,1560,0
5.326e+05,2.5532e+08,0,109,9,1,1560,0
5.529e+05,2.6031e+08,0,109,10,1,1560,0
5.7288e+05,2.6532e+08,0,109,3,1,1560,0
5.9309e+05,2.7032e+08,0,109,14,1,1560,0
6.1337e+05,2.7532e+08,0,109,8,1,1560,0
6.337e+05,2.8031e+08,0,109,12,1,1560,0
6.54e+05,2.8532e+08,0,109,16,1,1560,0
6.7482e+05,2.9032e+08,0,109,16,1,1560,0
6.9592e+05,2.9532e+08,0,108,9,1,1560,0
7.1705e+05,3.0033e+08,0,108,12,1,1560,0
