LineNo,TimeUS,Id,Pri,Total,Free,Name
9914,2.1966e+07,9,59,1360,840,0
19144,2.4288e+07,9,59,1360,840,0
28619,2.6644e+07,9,59,1360,840,0
38062,2.9004e+07,9,59,1360,840,0
47430,3.1343e+07,9,59,1360,840,0
56834,3.3691e+07,9,59,1360,840,0
66292,3.6078e+07,9,59,1360,840,0
75407,3.8377e+07,9,59,1360,840,0
84720,4.0712e+07,9,59,1360,840,0
93968,4.3052e+07,9,59,1360,840,0
1.0324e+05,4.5395e+07,9,59,1360,840,0
1.1249e+05,4.7734e+07,9,59,1360,840,0
1.2018e+05,1.0883e+08,9,59,1360,840,0
1.3099e+05,1.1134e+08,9,59,1360,840,0
1.418e+05,1.1389e+08,9,59,1360,840,0
1.5146e+05,1.1633e+08,9,59,1360,840,0
1.611e+05,1.1876e+08,9,59,1360,840,0
1.7092e+05,1.2123e+08,9,59,1360,840,0
1.8076e+05,1.237e+08,9,59,1360,840,0
1.9056e+05,1.2615e+08,9,59,1360,840,0
2.0406e+05,1.7519e+08,9,59,1360,840,0
2.1485e+05,1.777e+08,9,59,1360,840,0
2.2577e+05,1.802e+08,9,59,1360,840,0
2.3649e+05,1.827e+08,9,59,1360,840,0
2.4709e+05,1.8519e+08,9,59,1360,840,0
2.5799e+05,1.8776e+08,9,59,1360,840,0
2.6902e+05,1.9037e+08,9,59,1360,840,0
2.798e+05,1.9289e+08,9,59,1360,840,0
2.9085e+05,1.9554e+08,9,59,1360,840,0
3.0108e+05,1.9803e+08,9,59,1360,840,0
3.1186e+05,2.007e+08,9,59,1360,840,0
3.2231e+05,2.0327e+08,9,59,1360,840,0
3.3294e+05,2.0603e+08,9,59,1360,840,0
3.4326e+05,2.0858e+08,9,59,1360,840,0
3.5339e+05,2.1107e+08,9,59,1360,840,0
3.6351e+05,2.1355e+08,9,59,1360,840,0
3.7398e+05,2.1612e+08,9,59,1360,840,0
3.8452e+05,2.1869e+08,9,59,1360,840,0
3.9508e+05,2.2129e+08,9,59,1360,840,0
4.0552e+05,2.2396e+08,9,59,1360,840,0
4.1593e+05,2.2652e+08,9,59,1360,840,0
4.2649e+05,2.2916e+08,9,59,1360,840,0
4.3682e+05,2.3171e+08,9,59,1360,840,0
4.4728e+05,2.3429e+08,9,59,1360,840,0
4.5721e+05,2.3673e+08,9,59,1360,840,0
4.6759e+05,2.3928e+08,9,59,1360,840,0
4.781e+05,2.4187e+08,9,59,1360,840,0
4.8839e+05,2.444e+08,9,59,1360,840,0
4.984e+05,2.4687e+08,9,59,1360,840,0
5.0846e+05,2.4935e+08,9,59,1360,840,0
5.1879e+05,2.5191e+08,9,59,1360,840,0
5.2944e+05,2.5454e+08,9,59,1360,840,0
5.3969e+05,2.5706e+08,9,59,1360,840,0
5.502e+05,2.5963e+08,9,59,1360,840,0
5.6051e+05,2.6219e+08,9,59,1360,840,0
5.7092e+05,2.6482e+08,9,59,1360,840,0
5.808e+05,2.6727e+08,9,59,1360,840,0
5.9085e+05,2.6976e+08,9,59,1360,840,0
6.0112e+05,2.723e+08,9,59,1360,840,0
6.1153e+05,2.7487e+08,9,59,1360,840,0
6.2182e+05,2.7739e+08,9,59,1360,840,0
6.3191e+05,2.7987e+08,9,59,1360,840,0
6.4256e+05,2.825e+08,9,59,1360,840,0
6.5297e+05,2.8507e+08,9,59,1360,840,0
6.6356e+05,2.8763e+08,9,59,1360,840,0
6.745e+05,2.9024e+08,9,59,1360,840,0
6.8516e+05,2.9277e+08,9,59,1360,840,0
6.9579e+05,2.9529e+08,9,59,1360,840,0
7.0623e+05,2.9777e+08,9,59,1360,840,0
7.1696e+05,3.0031e+08,9,59,1360,840,0
7.2736e+05,3.0278e+08,9,59,1360,840,0
