LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
5737,2.0885e+07,0.88733,0.92893,1,0.022177,2
5780,2.0895e+07,0.88735,0.92894,1,0.022177,2
5820,2.0906e+07,0.88737,0.92895,1,0.022177,2
5858,2.0915e+07,0.88739,0.92897,1,0.022177,2
5897,2.0925e+07,0.88741,0.92898,1,0.022177,2
5937,2.0936e+07,0.88743,0.92899,1,0.022177,2
5979,2.0946e+07,0.88745,0.929,1,0.022177,2
6020,2.0956e+07,0.88747,0.92901,1,0.022177,2
6060,2.0966e+07,0.88748,0.92902,1,0.022177,2
6105,2.0976e+07,0.8875,0.92903,1,0.022177,2
6145,2.0986e+07,0.8875,0.92903,1,0.022177,2
6187,2.0996e+07,0.8875,0.92903,1,0.022177,2
6228,2.1006e+07,0.8875,0.92903,1,0.022177,2
6268,2.1016e+07,0.8875,0.92903,1,0.022177,2
6306,2.1026e+07,0.8875,0.92903,1,0.022177,2
6347,2.1036e+07,0.8875,0.92903,1,0.022177,2
6391,2.1046e+07,0.8875,0.92903,1,0.022177,2
6431,2.1056e+07,0.8875,0.92903,1,0.022177,2
6475,2.1069e+07,0.8875,0.92903,1,0.022177,2
6519,2.1079e+07,0.88749,0.92903,1,0.022177,2
6560,2.1089e+07,0.88749,0.92903,1,0.022177,2
6602,2.1099e+07,0.88748,0.92902,1,0.022177,2
6642,2.1111e+07,0.88748,0.92902,1,0.022177,2
6680,2.1122e+07,0.88747,0.92902,1,0.022177,2
6720,2.1132e+07,0.88747,0.92901,1,0.022177,2
6763,2.1142e+07,0.88746,0.92901,1,0.022177,2
6803,2.1152e+07,0.88746,0.92901,1,0.022177,2
6844,2.1162e+07,0.88745,0.929,1,0.022177,2
6885,2.1172e+07,0.88745,0.929,1,0.022177,2
6930,2.1182e+07,0.88742,0.92898,1,0.022177,2
6971,2.1192e+07,0.88738,0.92896,1,0.022177,2
7011,2.1203e+07,0.88734,0.92893,1,0.022177,2
7052,2.1215e+07,0.8873,0.9289,1,0.022177,2
7092,2.1226e+07,0.88726,0.92888,1,0.022177,2
7133,2.1236e+07,0.88723,0.92886,1,0.022177,2
7176,2.1246e+07,0.88719,0.92884,1,0.022177,2
7218,2.1256e+07,0.88716,0.92882,1,0.022177,2
7259,2.1265e+07,0.88713,0.9288,1,0.022177,2
7303,2.1276e+07,0.8871,0.92878,1,0.022177,2
7345,2.1286e+07,0.88711,0.92878,1,0.022177,2
7388,2.1296e+07,0.88712,0.92879,1,0.022177,2
7428,2.1307e+07,0.88713,0.92879,1,0.022177,2
7472,2.1321e+07,0.88714,0.9288,1,0.022177,2
7513,2.1332e+07,0.88715,0.92881,1,0.022177,2
7554,2.1341e+07,0.88716,0.92881,1,0.022177,2
7596,2.1352e+07,0.88716,0.92882,1,0.022177,2
7636,2.1361e+07,0.88717,0.92882,1,0.022177,2
7677,2.1372e+07,0.88718,0.92883,1,0.022177,2
7723,2.1382e+07,0.88719,0.92884,1,0.022177,2
7764,2.1392e+07,0.88721,0.92885,1,0.022177,2
7806,2.1402e+07,0.88723,0.92886,1,0.022177,2
7849,2.1414e+07,0.88726,0.92888,1,0.022177,2
7890,2.1426e+07,0.88728,0.92889,1,0.022177,2
7930,2.1437e+07,0.8873,0.9289,1,0.022177,2
7971,2.1447e+07,0.88731,0.92891,1,0.022177,2
8016,2.1457e+07,0.88733,0.92892,1,0.022177,2
8056,2.1468e+07,0.88734,0.92893,1,0.022177,2
8101,2.1478e+07,0.88736,0.92894,1,0.022177,2
8141,2.1487e+07,0.88735,0.92894,1,0.022177,2
8183,2.1498e+07,0.88735,0.92894,1,0.022177,2
8224,2.1508e+07,0.88734,0.92893,1,0.022177,2
8264,2.1518e+07,0.88733,0.92893,1,0.022177,2
8299,2.1528e+07,0.88733,0.92892,1,0.022177,2
8340,2.1539e+07,0.88732,0.92892,1,0.022177,2
8380,2.1548e+07,0.88732,0.92892,1,0.022177,2
8421,2.1559e+07,0.88731,0.92891,1,0.022177,2
