LineNo,TimeUS,C,MI,BI,GI,AI,SS
307,1.9491e+07,0,0,0,0,0,0
651,1.9556e+07,0,0,0,0,0,0
878,1.9602e+07,0,0,0,0,0,0
1220,1.9763e+07,0,0,0,0,0,0
1496,1.9834e+07,0,0,0,0,0,0
1591,1.9856e+07,0,0,0,0,0,0
1631,1.9866e+07,0,0,0,0,0,0
1673,1.9876e+07,0,0,0,0,0,0
1714,1.9886e+07,0,0,0,0,0,0
1754,1.9899e+07,0,0,0,0,0,0
1795,1.9909e+07,0,0,0,0,0,0
1835,1.992e+07,0,0,0,0,0,0
1877,1.993e+07,0,0,0,0,0,0
1917,1.994e+07,0,0,0,0,0,0
1958,1.995e+07,0,0,0,0,0,0
2003,1.996e+07,0,0,0,0,0,0
2046,1.9971e+07,0,0,0,0,0,0
2087,1.9981e+07,0,0,0,0,0,0
2127,1.9991e+07,0,0,0,0,0,0
2168,2.0002e+07,0,0,0,0,0,0
2209,2.0012e+07,0,0,0,0,0,0
2250,2.0022e+07,0,0,0,0,0,0
2291,2.0032e+07,0,0,0,0,0,0
2331,2.0042e+07,0,0,0,0,0,0
2374,2.0052e+07,0,0,0,0,0,0
2418,2.0062e+07,0,0,0,0,0,0
2459,2.0072e+07,0,0,0,0,0,0
2502,2.0082e+07,0,0,0,0,0,0
2542,2.0093e+07,0,0,0,0,0,0
2582,2.0103e+07,0,0,0,0,0,0
2620,2.0113e+07,0,0,0,0,0,0
2661,2.0123e+07,0,0,0,0,0,0
2702,2.0134e+07,0,0,0,0,0,0
2743,2.0144e+07,0,0,0,0,0,0
2784,2.0153e+07,0,0,0,0,0,0
2828,2.0164e+07,0,0,0,0,0,0
2870,2.0174e+07,0,0,0,0,0,0
2911,2.0183e+07,0,0,0,0,0,0
2952,2.0193e+07,0,0,0,0,0,0
2993,2.0203e+07,0,0,0,0,0,0
3031,2.0214e+07,0,0,0,0,0,0
3072,2.0224e+07,0,0,0,0,0,0
3112,2.0234e+07,0,0,0,0,0,0
3153,2.0244e+07,0,0,0,0,0,0
3196,2.0254e+07,0,0,0,0,0,0
3241,2.0264e+07,0,0,0,0,0,0
3282,2.0274e+07,0,0,0,0,0,0
3323,2.0284e+07,0,0,0,0,0,0
3364,2.0294e+07,0,0,0,0,0,0
3404,2.0304e+07,0,0,0,0,0,0
3446,2.0314e+07,0,0,0,0,0,0
3486,2.0324e+07,0,0,0,0,0,0
3527,2.0334e+07,0,0,0,0,0,0
3567,2.0344e+07,0,0,0,0,0,0
3609,2.0355e+07,0,0,0,0,0,0
3657,2.0365e+07,0,0,0,0,0,0
3697,2.0376e+07,0,0,0,0,0,0
3738,2.0386e+07,0,0,0,0,0,0
3782,2.0396e+07,0,0,0,0,0,0
3819,2.0406e+07,0,0,0,0,0,0
3857,2.0417e+07,0,0,0,0,0,0
3897,2.0427e+07,0,0,0,0,0,0
3938,2.0437e+07,0,0,0,0,0,0
3979,2.0447e+07,0,0,0,0,0,0
4021,2.0458e+07,0,0,0,0,0,0
4067,2.0468e+07,0,0,0,0,0,0
4107,2.0478e+07,0,0,0,0,0,0
4149,2.0488e+07,0,0,0,0,0,0
4190,2.0499e+07,0,0,0,0,0,0
4227,2.0509e+07,0,0,0,0,0,0
4269,2.0518e+07,0,0,0,0,0,0
4309,2.0529e+07,0,0,0,0,0,0
4350,2.0539e+07,0,0,0,0,0,0
4390,2.0549e+07,0,0,0,0,0,0
4431,2.0559e+07,0,0,0,0,0,0
4478,2.057e+07,0,0,0,0,0,0
4518,2.058e+07,0,0,0,0,0,0
4560,2.059e+07,0,0,0,0,0,0
4603,2.0602e+07,0,0,0,0,0,0
4647,2.0615e+07,0,0,0,0,0,0
4688,2.0625e+07,0,0,0,0,0,0
4728,2.0635e+07,0,0,0,0,0,0
4771,2.0645e+07,0,0,0,0,0,0
4812,2.0655e+07,0,0,0,0,0,0
4853,2.0665e+07,0,0,0,0,0,0
4898,2.0676e+07,0,0,0,0,0,0
4939,2.0686e+07,0,0,0,0,0,0
4980,2.0696e+07,0,0,0,0,0,0
5021,2.0706e+07,0,0,0,0,0,0
5062,2.0719e+07,0,0,0,0,0,0
5102,2.0729e+07,0,0,0,0,0,0
5144,2.0739e+07,0,0,0,0,0,0
5185,2.0749e+07,0,0,0,0,0,0
5225,2.0759e+07,0,0,0,0,0,0
5270,2.0769e+07,0,0,0,0,0,0
5311,2.078e+07,0,0,0,0,0,0
5355,2.079e+07,0,0,0,0,0,0
5396,2.08e+07,0,0,0,0,0,0
5438,2.081e+07,0,0,0,0,0,0
5476,2.0822e+07,0,0,0,0,0,0
5517,2.0832e+07,0,0,0,0,0,0
5561,2.0842e+07,0,0,0,0,0,0
5602,2.0853e+07,0,0,0,0,0,0
5642,2.0863e+07,0,0,0,0,0,0
5687,2.0873e+07,0,0,0,0,0,0
5727,2.0883e+07,0,0,0,0,0,0
5770,2.0893e+07,0,0,0,0,0,0
5810,2.0903e+07,0,0,0,0,0,0
5848,2.0914e+07,0,0,0,0,0,0
5887,2.0924e+07,0,0,0,0,0,0
5927,2.0934e+07,0,0,0,0,0,0
5969,2.0944e+07,0,0,0,0,0,0
6010,2.0954e+07,0,0,0,0,0,0
6050,2.0964e+07,0,0,0,0,0,0
6095,2.0974e+07,0,0,0,0,0,0
6135,2.0984e+07,0,0,0,0,0,0
6177,2.0994e+07,0,0,0,0,0,0
6218,2.1004e+07,0,0,0,0,0,0
6258,2.1014e+07,0,0,0,0,0,0
6296,2.1024e+07,0,0,0,0,0,0
6337,2.1034e+07,0,0,0,0,0,0
6381,2.1044e+07,0,0,0,0,0,0
6421,2.1054e+07,0,0,0,0,0,0
6465,2.1067e+07,0,0,0,0,0,0
6509,2.1077e+07,0,0,0,0,0,0
6550,2.1087e+07,0,0,0,0,0,0
6592,2.1097e+07,0,0,0,0,0,0
6632,2.111e+07,0,0,0,0,0,0
6670,2.112e+07,0,0,0,0,0,0
6710,2.113e+07,0,0,0,0,0,0
6753,2.114e+07,0,0,0,0,0,0
6793,2.115e+07,0,0,0,0,0,0
6834,2.116e+07,0,0,0,0,0,0
6875,2.117e+07,0,0,0,0,0,0
6920,2.118e+07,0,0,0,0,0,0
6961,2.119e+07,0,0,0,0,0,0
7001,2.1201e+07,0,0,0,0,0,0
7042,2.1214e+07,0,0,0,0,0,0
7082,2.1224e+07,0,0,0,0,0,0
7123,2.1234e+07,0,0,0,0,0,0
7166,2.1244e+07,0,0,0,0,0,0
7208,2.1254e+07,0,0,0,0,0,0
7249,2.1264e+07,0,0,0,0,0,0
7293,2.1274e+07,0,0,0,0,0,0
7335,2.1284e+07,0,0,0,0,0,0
7376,2.1294e+07,0,0,0,0,0,0
7418,2.1304e+07,0,0,0,0,0,0
7462,2.132e+07,0,0,0,0,0,0
7503,2.133e+07,0,0,0,0,0,0
7544,2.134e+07,0,0,0,0,0,0
7586,2.135e+07,0,0,0,0,0,0
7626,2.136e+07,0,0,0,0,0,0
7667,2.137e+07,0,0,0,0,0,0
7713,2.138e+07,0,0,0,0,0,0
7754,2.139e+07,0,0,0,0,0,0
7796,2.14e+07,0,0,0,0,0,0
7839,2.1412e+07,0,0,0,0,0,0
7880,2.1425e+07,0,0,0,0,0,0
7920,2.1435e+07,0,0,0,0,0,0
7961,2.1445e+07,0,0,0,0,0,0
8006,2.1455e+07,0,0,0,0,0,0
8046,2.1466e+07,0,0,0,0,0,0
8091,2.1476e+07,0,0,0,0,0,0
8131,2.1486e+07,0,0,0,0,0,0
8173,2.1496e+07,0,0,0,0,0,0
8214,2.1506e+07,0,0,0,0,0,0
8254,2.1516e+07,0,0,0,0,0,0
8289,2.1527e+07,0,0,0,0,0,0
8330,2.1537e+07,0,0,0,0,0,0
8370,2.1547e+07,0,0,0,0,0,0
8411,2.1557e+07,0,0,0,0,0,0
8452,2.1567e+07,0,0,0,0,0,0
8502,2.158e+07,0,0,0,0,0,0
8543,2.159e+07,0,0,0,0,0,0
8584,2.16e+07,0,0,0,0,0,0
