LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1574,1.9857e+07,1,127,-25,301,47,-57,-99,0,0,0,1,1.9857e+07
1983,1.9959e+07,1,127,-25,299,47,-57,-99,0,0,0,1,1.9959e+07
2398,2.0061e+07,1,130,-24,302,47,-57,-99,0,0,0,1,2.0061e+07
2808,2.0162e+07,1,132,-22,306,47,-57,-99,0,0,0,1,2.0162e+07
3220,2.0262e+07,1,132,-22,303,47,-57,-99,0,0,0,1,2.0262e+07
3636,2.0364e+07,1,127,-27,299,47,-57,-99,0,0,0,1,2.0364e+07
4047,2.0466e+07,1,129,-25,301,47,-57,-99,0,0,0,1,2.0466e+07
4456,2.0568e+07,1,133,-23,303,47,-57,-99,0,0,0,1,2.0568e+07
4871,2.0669e+07,1,130,-24,304,47,-57,-99,0,0,0,1,2.0669e+07
5253,2.077e+07,1,127,-25,300,47,-57,-99,0,0,0,1,2.077e+07
5667,2.0871e+07,1,127,-24,301,47,-57,-99,0,0,0,1,2.0871e+07
6074,2.0972e+07,1,129,-23,301,47,-57,-99,0,0,0,1,2.0972e+07
6486,2.1073e+07,1,130,-25,297,47,-57,-99,0,0,0,1,2.1073e+07
6893,2.1173e+07,1,133,-23,302,47,-57,-99,0,0,0,1,2.1173e+07
7276,2.1275e+07,1,130,-23,301,47,-57,-99,0,0,0,1,2.1275e+07
7689,2.1375e+07,1,128,-24,300,47,-57,-99,0,0,0,1,2.1375e+07
8074,2.1477e+07,1,129,-24,302,47,-57,-99,0,0,0,1,2.1477e+07
8480,2.1578e+07,1,133,-23,303,47,-57,-99,0,0,0,1,2.1578e+07
8890,2.168e+07,1,131,-23,302,47,-57,-99,0,0,0,1,2.168e+07
9297,2.178e+07,1,127,-26,298,47,-57,-99,0,0,0,1,2.178e+07
9550,2.188e+07,1,130,-23,300,47,-57,-99,0,0,0,1,2.188e+07
9957,2.198e+07,1,127,-26,298,47,-57,-99,0,0,0,1,2.198e+07
10367,2.208e+07,1,130,-23,301,47,-57,-99,0,0,0,1,2.208e+07
10777,2.2182e+07,1,133,-22,303,47,-57,-99,0,0,0,1,2.2182e+07
11164,2.2284e+07,1,131,-25,299,47,-57,-99,0,0,0,1,2.2284e+07
11575,2.2386e+07,1,127,-26,299,47,-57,-99,0,0,0,1,2.2386e+07
11989,2.2488e+07,1,129,-26,301,47,-57,-99,0,0,0,1,2.2488e+07
12399,2.2591e+07,1,134,-25,301,47,-57,-99,0,0,0,1,2.2591e+07
12810,2.2693e+07,1,130,-24,301,47,-57,-99,0,0,0,1,2.2693e+07
13217,2.2793e+07,1,128,-25,300,47,-57,-99,0,0,0,1,2.2793e+07
13629,2.2896e+07,1,127,-27,299,47,-57,-99,0,0,0,1,2.2895e+07
14039,2.2997e+07,1,127,-25,301,47,-57,-99,0,0,0,1,2.2997e+07
14450,2.3099e+07,1,132,-23,302,47,-57,-99,0,0,0,1,2.3099e+07
14832,2.32e+07,1,133,-23,303,47,-57,-99,0,0,0,1,2.32e+07
15243,2.3302e+07,1,131,-23,302,47,-57,-99,0,0,0,1,2.3302e+07
15655,2.3405e+07,1,127,-26,297,47,-57,-99,0,0,0,1,2.3405e+07
16068,2.3507e+07,1,132,-23,302,47,-57,-99,0,0,0,1,2.3507e+07
16450,2.361e+07,1,134,-21,301,47,-57,-99,0,0,0,1,2.361e+07
16861,2.3712e+07,1,130,-24,302,47,-57,-99,0,0,0,1,2.3712e+07
17269,2.3814e+07,1,127,-28,295,47,-57,-99,0,0,0,1,2.3814e+07
17684,2.3915e+07,1,127,-27,300,47,-57,-99,0,0,0,1,2.3915e+07
18069,2.4018e+07,1,127,-25,299,47,-57,-99,0,0,0,1,2.4018e+07
18482,2.4119e+07,1,132,-24,300,47,-57,-99,0,0,0,1,2.4119e+07
