LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
426,4.5014e+07,1,1.62,-0.42,24.19,-0.23017,-0.10604,-0.029059,0.047407,-0.82376,0.77388,-0.087742,0.11,0.21,0.15,86.2
883,4.51e+07,1,1.64,-0.43,24.2,-0.2284,-0.10891,-0.024669,0.041441,-0.82376,0.77388,-0.084415,0.1,0.2,0.14,86.2
1110,4.5178e+07,1,1.62,-0.41,24.19,-0.23223,-0.1103,-0.18188,-0.12404,-0.82376,0.77388,-0.087159,0.1,0.2,0.14,86.2
1312,4.5305e+07,1,1.62,-0.38,24.2,-0.23418,-0.11021,-0.43986,-0.35585,-0.84602,0.77388,-0.11866,0.1,0.19,0.13,86.2
1588,4.5364e+07,1,1.62,-0.38,24.2,-0.23472,-0.10893,-0.43441,-0.35682,-0.84602,0.77388,-0.13971,0.1,0.19,0.13,86.2
1630,4.5374e+07,1,1.62,-0.38,24.2,-0.23588,-0.10991,-0.43448,-0.35657,-0.84602,0.77388,-0.14448,0.1,0.19,0.13,86.2
1671,4.5384e+07,1,1.62,-0.37,24.2,-0.23581,-0.11025,-0.43287,-0.35592,-0.84602,0.77388,-0.14805,0.1,0.19,0.13,86.2
1711,4.5394e+07,1,1.63,-0.37,24.2,-0.23478,-0.10936,-0.43136,-0.35493,-0.84602,0.77388,-0.1512,0.1,0.19,0.13,86.2
1752,4.5404e+07,1,1.63,-0.37,24.2,-0.23311,-0.10946,-0.43162,-0.35503,-0.84602,0.77388,-0.15449,0.1,0.19,0.14,86.2
1794,4.5414e+07,1,1.63,-0.38,24.2,-0.2323,-0.11049,-0.43182,-0.35539,-0.85716,0.76582,-0.1578,0.1,0.19,0.14,86.2
1836,4.5424e+07,1,1.63,-0.38,24.19,-0.23382,-0.11201,-0.43177,-0.35423,-0.85716,0.76582,-0.16213,0.1,0.19,0.14,86.2
1876,4.5434e+07,1,1.63,-0.38,24.19,-0.23356,-0.11237,-0.43118,-0.35337,-0.85716,0.76582,-0.1655,0.1,0.19,0.14,86.2
1917,4.5445e+07,1,1.63,-0.38,24.19,-0.23408,-0.11197,-0.43002,-0.35154,-0.85716,0.76582,-0.16936,0.1,0.2,0.14,86.2
1962,4.5456e+07,1,1.62,-0.38,24.19,-0.23354,-0.11137,-0.42875,-0.34996,-0.85716,0.76582,-0.17285,0.1,0.2,0.14,86.2
2002,4.5466e+07,1,1.62,-0.38,24.19,-0.23404,-0.11104,-0.42725,-0.34918,-0.85716,0.76582,-0.1768,0.1,0.2,0.14,86.2
2045,4.5476e+07,1,1.62,-0.38,24.19,-0.23301,-0.11198,-0.42637,-0.34959,-0.85716,0.76582,-0.18035,0.1,0.2,0.14,86.2
2085,4.5486e+07,1,1.62,-0.37,24.18,-0.23392,-0.11346,-0.42442,-0.34979,-0.85716,0.76582,-0.18396,0.1,0.2,0.14,86.2
2129,4.55e+07,1,1.61,-0.37,24.18,-0.23443,-0.11315,-0.42468,-0.35229,-0.85716,0.76582,-0.18875,0.1,0.2,0.14,86.2
2169,4.551e+07,1,1.61,-0.37,24.18,-0.23385,-0.11269,-0.42554,-0.35535,-0.85716,0.76582,-0.19234,0.1,0.2,0.14,86.2
2210,4.552e+07,1,1.61,-0.37,24.17,-0.23403,-0.11312,-0.42317,-0.35457,-0.85716,0.76582,-0.1966,0.1,0.2,0.14,86.2
2254,4.553e+07,1,1.61,-0.37,24.18,-0.23238,-0.11191,-0.42386,-0.35772,-0.85716,0.76582,-0.2006,0.1,0.2,0.14,86.2
2295,4.554e+07,1,1.62,-0.37,24.18,-0.23276,-0.11147,-0.42604,-0.36251,-0.85716,0.76582,-0.20428,0.1,0.2,0.14,86.2
2338,4.555e+07,1,1.62,-0.38,24.18,-0.23173,-0.11056,-0.42652,-0.36593,-0.85716,0.76582,-0.20797,0.1,0.2,0.14,86.2
2382,4.556e+07,1,1.62,-0.38,24.18,-0.23341,-0.11076,-0.42722,-0.36949,-0.85716,0.76582,-0.21226,0.1,0.2,0.14,86.2
2423,4.5571e+07,1,1.62,-0.38,24.18,-0.23209,-0.10951,-0.42739,-0.37276,-0.85716,0.76582,-0.216,0.1,0.2,0.14,86.2
2465,4.5581e+07,1,1.63,-0.37,24.18,-0.23233,-0.10907,-0.42611,-0.37532,-0.85716,0.76582,-0.22023,0.1,0.2,0.14,86.2
2506,4.5591e+07,1,1.63,-0.37,24.18,-0.2325,-0.11012,-0.42734,-0.37994,-0.85716,0.76582,-0.22448,0.1,0.2,0.14,86.2
2546,4.5602e+07,1,1.63,-0.38,24.17,-0.23099,-0.11058,-0.42749,-0.38426,-0.85716,0.76582,-0.22872,0.1,0.2,0.14,86.2
2589,4.5612e+07,1,1.63,-0.37,24.17,-0.23273,-0.11057,-0.42749,-0.38802,-0.85716,0.76582,-0.233,0.1,0.2,0.14,86.2
2631,4.5623e+07,1,1.63,-0.38,24.16,-0.23078,-0.11239,-0.42786,-0.38933,-0.86829,0.7497,-0.23642,0.1,0.2,0.14,86.2
2671,4.5633e+07,1,1.63,-0.38,24.16,-0.23028,-0.11313,-0.42749,-0.38766,-0.86829,0.7497,-0.23952,0.1,0.2,0.14,86.2
2712,4.5643e+07,1,1.62,-0.38,24.16,-0.23023,-0.11263,-0.42776,-0.3842,-0.86829,0.7497,-0.24268,0.1,0.2,0.14,86.2
2752,4.5653e+07,1,1.62,-0.38,24.16,-0.22946,-0.11204,-0.42655,-0.37886,-0.86829,0.7497,-0.2459,0.1,0.2,0.14,86.2
2798,4.5663e+07,1,1.62,-0.39,24.16,-0.23031,-0.11314,-0.42613,-0.37463,-0.86829,0.7497,-0.25016,0.1,0.2,0.14,86.2
2839,4.5673e+07,1,1.62,-0.39,24.16,-0.22948,-0.11207,-0.42608,-0.37092,-0.86829,0.7497,-0.25339,0.1,0.2,0.14,86.2
2880,4.5684e+07,1,1.62,-0.39,24.15,-0.22963,-0.11159,-0.42655,-0.36839,-0.86829,0.7497,-0.25677,0.1,0.2,0.14,86.2
2922,4.5694e+07,1,1.62,-0.39,24.15,-0.22961,-0.1124,-0.42669,-0.36586,-0.86829,0.7497,-0.2606,0.1,0.2,0.14,86.2
2962,4.5704e+07,1,1.62,-0.39,24.15,-0.23092,-0.11282,-0.42782,-0.36537,-0.86829,0.7497,-0.26487,0.1,0.2,0.14,86.2
3000,4.5715e+07,1,1.62,-0.39,24.14,-0.2303,-0.1116,-0.426,-0.36103,-0.86829,0.7497,-0.26773,0.1,0.2,0.14,86.2
3041,4.5725e+07,1,1.63,-0.39,24.15,-0.22861,-0.11223,-0.42369,-0.35688,-0.86829,0.7497,-0.27065,0.1,0.2,0.14,86.2
3081,4.5735e+07,1,1.63,-0.39,24.15,-0.2286,-0.11303,-0.42214,-0.35257,-0.86829,0.7497,-0.27363,0.1,0.2,0.14,86.2
3123,4.5745e+07,1,1.64,-0.39,24.15,-0.23032,-0.11437,-0.42414,-0.34977,-0.86829,0.7497,-0.27831,0.1,0.2,0.14,86.2
3163,4.5756e+07,1,1.64,-0.39,24.15,-0.23001,-0.11326,-0.42417,-0.34662,-0.86829,0.7497,-0.28138,0.1,0.2,0.14,86.2
3208,4.5766e+07,1,1.64,-0.39,24.15,-0.23108,-0.11319,-0.42285,-0.3446,-0.86829,0.7497,-0.28562,0.1,0.2,0.14,86.2
3248,4.5776e+07,1,1.64,-0.39,24.15,-0.23058,-0.11218,-0.42248,-0.34361,-0.86829,0.7497,-0.28871,0.1,0.2,0.14,86.2
3289,4.5786e+07,1,1.64,-0.4,24.15,-0.2301,-0.11377,-0.42342,-0.3447,-0.86829,0.7497,-0.29231,0.1,0.2,0.14,86.2
3330,4.5796e+07,1,1.64,-0.4,24.15,-0.23048,-0.11367,-0.42418,-0.34587,-0.86829,0.7497,-0.29558,0.1,0.2,0.14,86.2
3372,4.5807e+07,1,1.64,-0.4,24.15,-0.23018,-0.11451,-0.42478,-0.34578,-0.86829,0.7497,-0.29931,0.1,0.2,0.14,86.2
3416,4.5817e+07,1,1.64,-0.39,24.15,-0.23093,-0.11581,-0.42459,-0.34438,-0.86829,0.7497,-0.30354,0.1,0.2,0.14,86.2
3453,4.5828e+07,1,1.63,-0.39,24.15,-0.23004,-0.11524,-0.42475,-0.34127,-0.87942,0.7497,-0.3064,0.1,0.2,0.14,86.2
3496,4.5838e+07,1,1.63,-0.39,24.15,-0.22927,-0.11501,-0.424,-0.33504,-0.87942,0.7497,-0.30892,0.1,0.2,0.14,86.2
3536,4.5848e+07,1,1.63,-0.38,24.15,-0.22837,-0.1143,-0.42324,-0.32831,-0.87942,0.7497,-0.31155,0.1,0.2,0.14,86.2
3578,4.5858e+07,1,1.62,-0.38,24.15,-0.22724,-0.1137,-0.42295,-0.32446,-0.87942,0.7497,-0.31425,0.1,0.2,0.14,86.2
3626,4.5869e+07,1,1.62,-0.38,24.15,-0.22859,-0.11323,-0.42203,-0.31787,-0.87942,0.7497,-0.31888,0.1,0.2,0.14,86.2
3666,4.5879e+07,1,1.63,-0.38,24.15,-0.22633,-0.11257,-0.42292,-0.31503,-0.87942,0.7497,-0.32123,0.1,0.2,0.14,86.2
3707,4.5889e+07,1,1.63,-0.39,24.16,-0.22608,-0.11157,-0.42516,-0.31391,-0.87942,0.7497,-0.32455,0.1,0.2,0.14,86.2
3748,4.5899e+07,1,1.63,-0.39,24.16,-0.22589,-0.11058,-0.42443,-0.31089,-0.87942,0.7497,-0.32751,0.1,0.2,0.14,86.2
3792,4.5913e+07,1,1.64,-0.38,24.16,-0.2255,-0.11124,-0.42533,-0.3089,-0.87942,0.7497,-0.33105,0.1,0.2,0.14,86.2
3832,4.5922e+07,1,1.64,-0.39,24.16,-0.22689,-0.11202,-0.42395,-0.30471,-0.87942,0.7497,-0.33528,0.1,0.2,0.14,86.2
3874,4.5933e+07,1,1.64,-0.39,24.16,-0.22619,-0.11275,-0.42523,-0.3031,-0.87942,0.7497,-0.33765,0.1,0.2,0.14,86.2
3915,4.5942e+07,1,1.64,-0.39,24.16,-0.22531,-0.11312,-0.42321,-0.29751,-0.87942,0.7497,-0.34013,0.1,0.2,0.14,86.2
3955,4.5952e+07,1,1.64,-0.39,24.16,-0.2246,-0.11369,-0.42282,-0.29439,-0.87942,0.7497,-0.34268,0.1,0.2,0.14,86.2
3996,4.5963e+07,1,1.64,-0.39,24.16,-0.22468,-0.11425,-0.42326,-0.29236,-0.87942,0.7497,-0.34531,0.1,0.2,0.14,86.2
4042,4.5972e+07,1,1.63,-0.38,24.15,-0.22626,-0.11469,-0.42294,-0.28828,-0.87942,0.7497,-0.34951,0.1,0.2,0.14,86.2
4084,4.5982e+07,1,1.63,-0.38,24.15,-0.2267,-0.11472,-0.42219,-0.28559,-0.87942,0.7497,-0.35226,0.1,0.2,0.14,86.2
4124,4.5992e+07,1,1.63,-0.38,24.15,-0.22542,-0.11523,-0.42283,-0.28516,-0.87942,0.7497,-0.35502,0.1,0.2,0.14,86.2
4168,4.6002e+07,1,1.63,-0.38,24.15,-0.22485,-0.11569,-0.42362,-0.28634,-0.87942,0.74164,-0.35793,0.1,0.2,0.14,86.2
4208,4.6016e+07,1,1.63,-0.38,24.15,-0.22452,-0.11517,-0.4241,-0.28552,-0.87942,0.74164,-0.36176,0.1,0.21,0.14,86.2
4249,4.6025e+07,1,1.62,-0.38,24.15,-0.22358,-0.11488,-0.42325,-0.28463,-0.87942,0.74164,-0.36438,0.1,0.21,0.14,86.2
4290,4.6036e+07,1,1.62,-0.38,24.15,-0.22478,-0.11564,-0.42209,-0.28325,-0.87942,0.74164,-0.36868,0.1,0.21,0.14,86.2
4332,4.6046e+07,1,1.62,-0.38,24.15,-0.22315,-0.11634,-0.42172,-0.28361,-0.87942,0.74164,-0.3713,0.1,0.21,0.14,86.2
4373,4.6056e+07,1,1.63,-0.37,24.15,-0.22268,-0.11582,-0.42182,-0.2846,-0.87942,0.74164,-0.3741,0.1,0.21,0.14,86.2
4413,4.6066e+07,1,1.63,-0.37,24.15,-0.2217,-0.11548,-0.42037,-0.28332,-0.87942,0.74164,-0.37695,0.1,0.21,0.14,86.2
4459,4.6076e+07,1,1.63,-0.37,24.16,-0.22057,-0.11469,-0.42086,-0.28419,-0.87942,0.74164,-0.38032,0.1,0.21,0.14,86.2
4499,4.6086e+07,1,1.64,-0.37,24.16,-0.22048,-0.11466,-0.41978,-0.28471,-0.87942,0.74164,-0.38331,0.11,0.21,0.14,86.2
4540,4.6096e+07,1,1.64,-0.37,24.16,-0.21998,-0.11438,-0.41924,-0.2857,-0.87942,0.74164,-0.3864,0.11,0.21,0.15,86.2
4581,4.6106e+07,1,1.64,-0.37,24.16,-0.22011,-0.11511,-0.42055,-0.29,-0.87942,0.74164,-0.3906,0.11,0.21,0.15,86.2
4622,4.6119e+07,1,1.64,-0.37,24.16,-0.2194,-0.11512,-0.41976,-0.29199,-0.87942,0.74164,-0.39436,0.11,0.21,0.15,86.2
4664,4.613e+07,1,1.64,-0.37,24.16,-0.21935,-0.11599,-0.41975,-0.2936,-0.87942,0.74164,-0.39699,0.11,0.21,0.15,86.2
4704,4.614e+07,1,1.64,-0.38,24.15,-0.2197,-0.11552,-0.41989,-0.29674,-0.87942,0.74164,-0.39966,0.1,0.21,0.15,86.2
4745,4.615e+07,1,1.64,-0.38,24.15,-0.22038,-0.11591,-0.42096,-0.29969,-0.87942,0.74164,-0.40388,0.1,0.21,0.15,86.2
