LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
3218,20363950,0,1.4,0.4,17.54,0.004525072,-0.001753468,-0.5225408,-0.3892474,0,0,-0.5197172,0,0,-0.21,0
3260,20373938,0,1.4,0.4,17.55,0.00445298,-0.001910038,-0.5221237,-0.3808945,0,0,-0.5249346,0,0,-0.21,0
3301,20383952,0,1.4,0.4,17.55,0.004147857,-0.001986118,-0.5206383,-0.3710135,0,0,-0.5274463,0,0,-0.21,0
3342,20394092,0,1.4,0.39,17.56,0.003669714,-0.002225233,-0.5196982999999999,-0.362366,0,0,-0.5300662,0,0,-0.21,0
3382,20403931,0,1.4,0.39,17.56,0.002816502,-0.0025527,-0.5190123,-0.3540408,0,0,-0.5327938,0,0,-0.21,0
3428,20413957,0,1.39,0.38,17.56,0.001834839,-0.002158818,-0.5183645,-0.3476978,0,0,-0.5356199,0,0,-0.21,0
3468,20424088,0,1.39,0.38,17.56,0.0006334665,-0.001501598,-0.518522,-0.3397608,0,0,-0.5407983,0,0,-0.21,0
3510,20433969,0,1.38,0.38,17.57,-0.0006721043,-0.0007957045,-0.5180081,-0.3359411,0,0,-0.5437066,0,0,-0.21,0
3552,20443939,0,1.38,0.38,17.57,-0.001946863,-0.0002069805,-0.5170531,-0.3322334,0,0,-0.5467092,0,0,-0.21,0
3594,20456865,0,1.38,0.38,17.58,-0.003991582,0.0007499877,-0.5154508,-0.3271215,0,0,-0.5505727,0,0,-0.21,0
3631,20466966,0,1.38,0.38,17.58,-0.005546083,0.001281911,-0.5140643,-0.3237836,0,0,-0.5529931,0,0,-0.21,0
3672,20476938,0,1.38,0.38,17.59,-0.006742306,0.001450022,-0.513655,-0.3169886,0,0,-0.5581262,0,0,-0.21,0
3715,20486866,0,1.38,0.39,17.59,-0.007751108,0.001735177,-0.5120378,-0.3101751,0,0,-0.5606403,0,0,-0.21,0
3755,20496893,0,1.39,0.39,17.6,-0.008124126000000001,0.002070984,-0.5107680999999999,-0.3054641,0,0,-0.5632508000000001,0,0,-0.21,0
3796,20506906,0,1.39,0.39,17.61,-0.0084729,0.002146103,-0.5098501,-0.3018262,0,0,-0.5659631000000001,0,0,-0.21,0
3840,20516900,0,1.4,0.4,17.61,-0.008358132000000001,0.002047339,-0.5091544,-0.3006299,0,0,-0.5687713,0,0,-0.21,0
3883,20527121,0,1.4,0.4,17.62,-0.008221997,0.001801895,-0.5093374000000001,-0.2981021,0,0,-0.5738577,0,0,-0.21,0
3924,20537067,0,1.41,0.4,17.63,-0.007677746,0.001105643,-0.5084579,-0.297321,0,0,-0.5767466,0,0,-0.21,0
3964,20546964,0,1.41,0.41,17.63,-0.006680274,0.0004848297,-0.5075449,-0.2973874,0,0,-0.5797256,0,0,-0.22,0
4002,20559679,0,1.4,0.41,17.64,-0.005372139,0.0001898194,-0.5060811,-0.2926034,0,0,-0.5824186,0,0,-0.22,0
4042,20569764,0,1.4,0.41,17.64,-0.004000878,7.667825e-05,-0.5045927,-0.285859,0,0,-0.5842325,0,0,-0.22,0
4083,20579406,0,1.4,0.42,17.64,-0.002477246,0.0001530152,-0.5030822,-0.2800921,0,0,-0.5861699,0,0,-0.22,0
4124,20589728,0,1.39,0.42,17.65,-0.0009251245,0.0001077658,-0.5016884,-0.2743778,0,0,-0.5882290999999999,0,0,-0.22,0
4165,20599734,0,1.39,0.42,17.65,0.0006696023,4.759121e-05,-0.5005457,-0.2664412,0,0,-0.5909122999999999,0,0,-0.22,0
4206,20609744,0,1.38,0.42,17.65,0.00211322,5.801584e-05,-0.5003499,-0.2587934,0,0,-0.595912,0,0,-0.22,0
4252,20620593,0,1.38,0.42,17.65,0.003615567,0.0002325504,-0.4995164,-0.2533833,0,0,-0.5981948,0,0,-0.22,0
4296,20630767,0,1.38,0.42,17.66,0.004858405,0.0006671798,-0.498507,-0.2487268,0,0,-0.6005916,0,0,-0.22,0
4337,20640946,0,1.38,0.41,17.66,0.005824147,0.001021992,-0.4977243,-0.2471752,0,0,-0.6035857,0,0,-0.22,0
4378,20653762,0,1.38,0.4,17.66,0.006277402,0.0009260286,-0.4957414,-0.2483454,0,0,-0.6052776,0,0,-0.22,0
4418,20663682,0,1.39,0.39,17.66,0.006379595,0.000840618,-0.4937241,-0.2446779,0,0,-0.6066357,0,0,-0.21,0
4458,20674184,0,1.39,0.39,17.66,0.005973807,0.0008883875,-0.4918688,-0.2347604,0,0,-0.608155,0,0,-0.21,0
4499,20684828,0,1.39,0.39,17.66,0.005628208,0.0006727114,-0.4914041,-0.2224049,0,0,-0.6130656,0,0,-0.21,0
4539,20694719,0,1.4,0.38,17.66,0.004841481,0.0004645455,-0.4897139,-0.2123769,0,0,-0.6142201,0,0,-0.21,0
4580,20704769,0,1.4,0.38,17.66,0.003853416,0.0002994669,-0.4876991,-0.2028793,0,0,-0.6155226,0,0,-0.21,0
4625,20714851,0,1.4,0.38,17.66,0.002558142,-0.0001110065,-0.4864682,-0.1972762,0,0,-0.6169612,0,0,-0.21,0
