LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
2027,5.8437e+07,5,0,0,15.57,0.05,25,0,0,0
2490,5.8548e+07,5,0,0,15.57,0.05,25,0,0,0
2908,5.8653e+07,5,0,0,15.57,0.05,24,0,0,0
3774,5.8872e+07,5,0,0,15.57,0.05,24,0,0,0
4190,5.8975e+07,5,0,0,15.57,0.06,25,0,0,0
4609,5.9079e+07,5,0,0,15.57,0.05,24,0,0,0
5063,5.9195e+07,5,0,0,15.57,0.05,24,0,0,0
5472,5.9298e+07,5,0,0,15.57,0.05,24,0,0,0
5922,5.9408e+07,5,0,0,15.57,0.05,25,0,0,0
6300,5.9506e+07,5,0,0,15.57,0.05,24,0,0,0
7164,5.9723e+07,5,0,0,15.56,0.05,24,0,0,0
7580,5.9827e+07,5,0,0,15.57,0.06,24,0,0,0
8033,5.9938e+07,5,0,0,15.57,0.05,24,0,0,0
8451,6.0043e+07,5,0,0,15.57,0.05,24,0,0,0
8901,6.0153e+07,5,0,0,15.57,0.05,24,0,0,0
9315,6.0254e+07,5,0,0,15.57,0.05,24,0,0,0
9771,6.0369e+07,5,0,0,15.57,0.05,24,0,0,0
10184,6.0471e+07,5,0,0,15.57,0.05,24,0,0,0
10634,6.0583e+07,5,0,0,15.57,0.04,24,0,0,0
11347,6.0788e+07,5,0,0,15.57,0.05,24,0,0,0
11802,6.0901e+07,5,0,0,15.57,0.05,24,0,0,0
12192,6.1002e+07,5,0,0,15.57,0.05,25,0,0,0
12606,6.1108e+07,5,0,0,15.57,0.05,25,0,0,0
13023,6.1212e+07,5,0,0,15.57,0.05,25,0,0,0
13477,6.1327e+07,5,0,0,15.57,0.05,24,0,0,0
13891,6.143e+07,5,0,0,15.57,0.05,24,0,0,0
14342,6.1541e+07,5,0,0,15.57,0.05,25,0,0,0
14759,6.1648e+07,5,0,0,15.57,0.05,24,0,0,0
15593,6.1853e+07,5,0,0,15.57,0.05,24,0,0,0
16045,6.1962e+07,5,0,0,15.57,0.05,24,0,0,0
16458,6.2064e+07,5,0,0,15.57,0.05,24,0,0,0
16911,6.2178e+07,5,0,0,15.57,0.05,24,0,0,0
17328,6.2282e+07,5,0,0,15.57,0.05,24,0,0,0
17742,6.2386e+07,5,0,0,15.57,0.05,24,0,0,0
