LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1664,58345890,0,0,0,15.41,0.04,31,0,0,0
2115,58457013,0,0,0,15.41,0.04,31,0,0,0
2531,58558148,0,0,0,15.41,0.04,31,0,0,0
2949,58663382,0,0,0,15.41,0.04,31,0,0,0
3815,58882364,0,0,0,15.41,0.04,31,0,0,0
4274,58994515,0,0,0,15.41,0.04,31,0,0,0
4687,59100324,0,0,0,15.41,0.04,31,0,0,0
5141,59214017,0,0,0,15.41,0.04,31,0,0,0
5553,59316907,0,0,0,15.41,0.04,31,0,0,0
5966,59420307,0,0,0,15.41,0.04,31,0,0,0
6382,59527500,0,0,0,15.41,0.03,31,0,0,0
7245,59742990,0,0,0,15.41,0.04,31,0,0,0
7662,59846997,0,0,0,15.41,0.04,31,0,0,0
8115,59958554,0,0,0,15.41,0.04,31,0,0,0
8532,60062994,0,0,0,15.41,0.04,31,0,0,0
8982,60172774,0,0,0,15.41,0.04,31,0,0,0
9397,60274500,0,0,0,15.41,0.04,31,0,0,0
9816,60379771,0,0,0,15.41,0.04,31,0,0,0
10270,60491911,0,0,0,15.41,0.04,31,0,0,0
10677,60593895,0,0,0,15.41,0.04,31,0,0,0
11019,60703784,0,0,0,15.41,0.04,31,0,0,0
11429,60808114,0,0,0,15.41,0.04,31,0,0,0
11843,60910669,0,0,0,15.41,0.04,31,0,0,0
12274,61022787,0,0,0,15.41,0.04,31,0,0,0
12687,61129544,0,0,0,15.41,0.04,31,0,0,0
13105,61232406,0,0,0,15.41,0.04,31,0,0,0
13555,61347804,0,0,0,15.41,0.04,31,0,0,0
13972,61449895,0,0,0,15.41,0.04,31,0,0,0
14383,61551342,0,0,0,15.41,0.04,31,0,0,0
14801,61659128,0,0,0,15.41,0.04,31,0,0,0
15214,61762099,0,0,0,15.41,0.04,31,0,0,0
15674,61872378,0,0,0,15.41,0.04,31,0,0,0
16127,61983312,0,0,0,15.41,0.04,31,0,0,0
16540,62084470,0,0,0,15.41,0.04,31,0,0,0
16952,62188014,0,0,0,15.42,0.04,31,0,0,0
17410,62301997,0,0,0,15.42,0.04,31,0,0,0
17828,62406042,0,0,0,15.41,0.04,31,0,0,0
18248,62510353,0,0,0,15.41,0.04,31,0,0,0
18667,62616489,0,0,0,15.41,0.04,31,0,0,0
19077,62717506,0,0,0,15.41,0.04,31,0,0,0
19528,62829789,0,0,0,15.41,0.04,31,0,0,0
19984,62940542,0,0,0,15.41,0.04,31,0,0,0
20401,63046154,0,0,0,15.41,0.04,31,0,0,0
20814,63147008,0,0,0,15.41,0.04,31,0,0,0
21229,63251928,0,0,0,15.41,0.04,31,0,0,0
21682,63364045,0,0,0,15.41,0.04,31,0,0,0
22096,63469158,0,0,0,15.41,0.04,31,0,0,0
22547,63580953,0,0,0,15.41,0.04,31,0,0,0
22953,63682617,0,0,0,15.41,0.04,31,0,0,0
23407,63793576,0,0,0,15.42,0.04,31,0,0,0
23821,63895364,0,0,0,15.42,0.04,31,0,0,0
24276,64011999,0,0,0,15.42,0.04,31,0,0,0
24690,64114398,0,0,0,15.41,0.04,31,0,0,0
25096,64214758,0,0,0,15.41,0.04,31,0,0,0
25549,64325969,0,0,0,15.41,0.04,31,0,0,0
25966,64433399,0,0,0,15.41,0.04,31,0,0,0
26378,64534930,0,0,0,15.41,0.04,31,0,0,0
26833,64649950,0,0,0,15.41,0.04,31,0,0,0
27246,64752730,0,0,0,15.41,0.04,31,0,0,0
27668,64862511,0,0,0,15.41,0.04,31,0,0,0
28120,64976899,0,0,0,15.41,0.04,31,0,0,0
28341,65081736,0,0,0,15.41,0.04,31,0,0,0
28754,65183973,0,0,0,15.41,0.04,31,0,0,0
29166,65290959,0,0,0,15.42,0.04,31,0,0,0
29624,65408574,0,0,0,15.42,0.04,31,0,0,0
30037,65508970,0,0,0,15.41,0.04,31,0,0,0
30488,65622208,0,0,0,15.41,0.04,31,0,0,0
30900,65723907,0,0,0,15.41,0.04,31,0,0,0
31320,65833323,0,0,0,15.41,0.04,31,0,0,0
31737,65935020,0,0,0,15.41,0.04,31,0,0,0
32153,66042697,0,0,0,15.41,0.04,31,0,0,0
32608,66154740,0,0,0,15.41,0.04,31,0,0,0
33020,66259909,0,0,0,15.41,0.04,31,0,0,0
33434,66361879,0,0,0,15.41,0.04,31,0,0,0
33848,66469382,0,0,0,15.41,0.04,31,0,0,0
34307,66582557,0,0,0,15.41,0.04,31,0,0,0
34748,66689676,0,0,0,15.41,0.04,31,0,0,0
35165,66793910,0,0,0,15.41,0.04,31,0,0,0
