LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
296,5.796e+07,0,0.68,0,-0.18,19.08,19.07,0,0.01,3
526,5.8009e+07,0,0.67,0,-0.18,19.08,19.07,0,0,3
748,5.8053e+07,0,0.67,0,-0.18,19.07,19.06,0,0,3
1296,5.8278e+07,0,0.67,0,-0.18,19.07,19.06,0,0.01,3
1393,5.8293e+07,0,0.67,0,-0.18,19.06,19.06,0,0.01,3
1573,5.8328e+07,0,0.67,0,-0.18,19.06,19.05,0,0.01,3
1627,5.8338e+07,0,0.67,0,-0.18,19.06,19.05,0,0.01,3
1668,5.8348e+07,0,0.67,0,-0.18,19.06,19.05,0,0.01,3
1708,5.8358e+07,0,0.67,0,-0.18,19.06,19.05,0,0.01,3
1749,5.8369e+07,0,0.67,0,-0.18,19.06,19.05,0,0.01,3
1789,5.8382e+07,0,0.67,0,-0.18,19.05,19.05,0,0.01,3
1832,5.8393e+07,0,0.67,0,-0.18,19.05,19.04,0,0.01,3
1873,5.8403e+07,0,0.67,0,-0.18,19.05,19.04,0,0.01,3
1914,5.8413e+07,0,0.67,0,-0.18,19.04,19.04,0,0.01,3
1955,5.8424e+07,0,0.67,0,-0.18,19.04,19.03,0,0.01,3
1996,5.8435e+07,0,0.67,0,-0.18,19.04,19.03,0,0.01,3
2042,5.8444e+07,0,0.67,0,-0.18,19.04,19.03,0,0.01,3
2084,5.8455e+07,0,0.67,0,-0.18,19.03,19.02,0,0.01,3
2125,5.8465e+07,0,0.67,0,-0.18,19.03,19.02,0,0.01,3
2165,5.8475e+07,0,0.67,0,-0.18,19.03,19.02,0,0.01,3
2206,5.8485e+07,0,0.67,0,-0.18,19.02,19.01,0,0.01,3
2248,5.8495e+07,0,0.67,0,-0.18,19.02,19.01,0,0.01,3
2291,5.8505e+07,0,0.67,0,-0.18,19.02,19.01,0,0.01,3
2332,5.8515e+07,0,0.67,0,-0.19,19.01,19.01,0,0.01,3
2372,5.8525e+07,0,0.67,0,-0.19,19.01,19,0,0.01,3
2413,5.8535e+07,0,0.67,0,-0.19,19.01,19,0,0.01,3
